id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean,z_m,z_source,depth_regime,depth_regime_threshold_m,spherical_pred_z,spherical_residual_z,hat_leverage,cooks_distance_proxy
97365460fc4b3c6524e127390ed3552e937ebfa5db9bf4c0c6d967714ba30ffc,vogt1984,sea_level_indicator,Chain,101.8±3.4,30.5669897,79.5387943,inferred_text,10000.0,-4753.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""101.8\u00b13.4""",Radiocarbon,"Guyot summit depth 4753m, age 101.8±3.4 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""101.8\u00b13.4\u00b6 | 141 | 39 | 25.1 | 5700 | 700 | 6400 | 4753 | 11.19 | 4 | 25 | 20 | 24.2 | 3.4 | 3300""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""101.8\u00b13.4"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4753.0,-4753.0,-4753.0,-4753.0,-4753.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4691.097291972005,0.0016190844537126714,0.13291124902661408
66e15780b5b588cebf7838ffa2722e1412e9867a6ec26bbcbc613a08244a5adb,vogt1984,sea_level_indicator,Chain,22.4±3.9,30.5669897,79.5387943,inferred_text,10000.0,-4649.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""22.4\u00b13.9""",Radiocarbon,"Guyot summit depth 4649m, age 22.4±3.9 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""98 Ma | 148 Ma | 50 Ma | 22.4\u00b13.9 | 5800 | 450 | 6250 | 4649 | 10.83 | 5 | 23 | 18 | 20.7\u00b12.7 | 4.0 | 3637\u00b167""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""22.4\u00b13.9"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4649.0,-4649.0,-4649.0,-4649.0,-4649.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4587.097291972005,0.0016190844537126714,0.1270833814550612
ca7de78213041064b1be2de88eca57eefa9a0234acf2e5b774adf18c607d9978,vogt1984,sea_level_indicator,Chain,93.9±1.3,30.5669897,79.5387943,inferred_text,10000.0,-4536.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""93.9\u00b11.3""",Radiocarbon,"Guyot summit depth 4536m, age 93.9±1.3 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""93.9\u00b11.3\u00b6 | 156(M-25) | 62 | 19.3 | 5700 | 300 | 6000 | 4536 | 11.94 | 5 | 23 | 18 | 16.7 | 2.9 | 3850""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""93.9\u00b11.3"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4536.0,-4536.0,-4536.0,-4536.0,-4536.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4474.097291972005,0.0016190844537126714,0.12089927781817826
aaa03045eb676f4b2fa9337923911bd2dc74c64aa4daf60ea247a19af00db498,vogt1984,sea_level_indicator,Chain,56.2±0.6,30.5669897,79.5387943,inferred_text,10000.0,-4419.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""56.2\u00b10.6""",Radiocarbon,"Guyot summit depth 4419m, age 56.2±0.6 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""56.2\u00b10.6 | 80-120 |  | 16.4 | 5500 | 200 | 5700 | 4419 | 15.80 | 6 | 140 | 88 | 13.5 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""56.2\u00b10.6"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4419.0,-4419.0,-4419.0,-4419.0,-4419.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4357.097291972005,0.0016190844537126714,0.11465879524619511
55e2e78804e1a1328a61c045a21cd8014bdc07d9305aa965009e9d989af237ab,vogt1984,sea_level_indicator,Chain,15.7,30.5669897,79.5387943,inferred_text,10000.0,-4386.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""15.7""",Radiocarbon,"Guyot summit depth 4386m, age 15.7 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""(probably | probably |  | 15.7 | 5500 | 350 | 5850 | 4386 | 13.71 | 5 | 185 | 103 | 18.8 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""15.7"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4386.0,-4386.0,-4386.0,-4386.0,-4386.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4324.097291972005,0.0016190844537126714,0.11292855547848342
b0dcb68c097d7a7644f3372af054003ee9b45e99985960353125431623feeab2,vogt1984,sea_level_indicator,Chain,13.2,30.5669897,79.5387943,inferred_text,10000.0,-4269.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""13.2""",Radiocarbon,"Guyot summit depth 4269m, age 13.2 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""or Late | Jurassic |  | 13.2 | 5200 | 350 | 5550 | 4269 | 14.65 | 7 | 95 | 64 | 15.6 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""13.2"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4269.0,-4269.0,-4269.0,-4269.0,-4269.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4207.097291972005,0.0016190844537126714,0.10690006515214714
12664d7377782a52c752963b70fa823145fcdd2d5bd7410a6234fa3fb2284377,vogt1984,sea_level_indicator,Chain,55.2±0.7,30.5669897,79.5387943,inferred_text,10000.0,-4236.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""55.2\u00b10.7""",Radiocarbon,"Guyot summit depth 4236m, age 55.2±0.7 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""55.2\u00b10.7 | 105? |  | 12.5 | 5500 | 200 | 5700 | 4236 | 14.59 | 5 | 90 | 55 | 13.5 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""55.2\u00b10.7"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4236.0,-4236.0,-4236.0,-4236.0,-4236.0,elevation_m,deepwater,-200.0,-61.90270802799439,-4174.097291972005,0.0016190844537126714,0.1052296180691051
0d8fc12eb64255d477821389a3c814aed3b70c6ae1aa8f725314ca9c01e033d1,vogt1984,sea_level_indicator,Chain,8.0,30.5669897,79.5387943,inferred_text,10000.0,-3987.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""8.0""",Radiocarbon,"Guyot summit depth 3987m, age 8.0 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": "" |  |  | 8.0 | 5400 | 600 | 6000 | 3987 | 14.42 | 4 | 132 | 60 | 8.0 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""8.0"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-3987.0,-3987.0,-3987.0,-3987.0,-3987.0,elevation_m,deepwater,-200.0,-61.90270802799439,-3925.0972919720057,0.0016190844537126714,0.09304942873868992
f7195d824cb7be0bfa3f4b01133bc0066ae5d6b9064346af687187c726d1f7b2,vogt1984,sea_level_indicator,Chain,64.7±1.1,30.5669897,79.5387943,inferred_text,10000.0,-3870.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""64.7\u00b11.1""",Radiocarbon,"Guyot summit depth 3870m, age 64.7±1.1 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""64.7\u00b11.1\u2021 | 80-120 |  | 6.2 | 5500 | 200 | 5700 | 3870 | 15.36 | 10 | 87 | 53 | 15.1 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""64.7\u00b11.1"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,elevation_m,deepwater,-200.0,-61.90270802799439,-3808.0972919720057,0.0016190844537126714,0.08758483778577439
5263865678a7931bf4e087f62e0d9fe89f32fd1df5fd354dbd9bcd74b57b096f,vogt1984,sea_level_indicator,Chain,3.3,30.5669897,79.5387943,inferred_text,10000.0,-3637.0,MSL,reported,guyot_or_drowned_platform,summit depth,,"""3.3""",Radiocarbon,"Guyot summit depth 3637m, age 3.3 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": "" |  |  | 3.3 | 5200 | 450 | 5650 | 3637 | 13.47 | 4 | 94 | 78 | 11.3 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""3.3"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-3637.0,-3637.0,-3637.0,-3637.0,-3637.0,elevation_m,deepwater,-200.0,-61.90270802799439,-3575.0972919720057,0.0016190844537126714,0.07719489647590853
