n,z_min,z_max,z_median,spherical_r2,spherical_axis_lat,spherical_axis_lon,spherical_rmse,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree,best_harmonic_k,best_harmonic_r2,best_harmonic_amplitude_m,best_harmonic_phase_deg,scheme
15,-136.0,70.0,-40.2,0.024480054605763857,48.93300211394237,-156.02779498986183,47.456295185385564,0.024281763306859383,-48.0,40.0,-0.28589445427195653,2,0.49909192493664745,50.720728905553216,172.32359190860126,cell_then_source
16,-132.0,70.0,-22.0,0.10555815137343572,21.59340492397592,-171.86350216667276,46.6004718492019,0.1043125628169761,-20.0,8.0,-0.5987716606984211,2,0.2861516393402117,38.78436744304936,-173.6878934799115,cell_then_source
15,-145.0,70.0,-31.7,0.04150984535874569,47.170925384099135,-174.9196923715485,49.401855904576095,0.03935527143922535,44.0,-180.0,0.4300033229048641,2,0.6396588556240741,59.59592892447802,177.3244641119622,cell_then_source
15,-120.0,70.0,-35.0,0.3864640135868158,33.292313903929774,-146.78337005158463,35.32209070011476,0.3871886724453263,-32.0,36.0,-0.8393893471955397,2,0.48612879469817705,41.71905280920791,169.822733109649,cell_then_source
15,-158.0,70.0,-31.7,0.23223541132415704,12.578808743555737,-141.10303496779778,52.28936942295257,0.23309873906211098,16.0,-140.0,0.9764238483233982,2,0.5567429808730661,57.08699008404152,157.8436569471034,cell_then_source
13,-145.0,70.0,-13.0,0.1707922981377149,19.09224526648775,-134.96512110424146,48.75241485909751,0.16805467914993888,-24.0,44.0,-0.9670593540790223,2,0.7087030785799837,61.37453864872648,175.1649855631759,cell_then_source
18,-132.0,70.0,-27.35,0.09732181329687828,48.65000590348979,-113.03476642057518,44.44839838457226,0.11964229445456043,-44.0,104.0,-0.3427221410437711,2,0.3288060482143669,41.67761239691022,-161.73509505633905,cell_then_source
17,-150.0,70.0,-22.86,0.09699307953197611,25.719087187916184,-139.05004330792602,47.08660675308618,0.08555928418385761,20.0,-136.0,0.5315329272040505,2,0.48534549375521696,47.28939187268697,172.54142523744795,cell_then_source
16,-136.0,70.0,-10.370000000000001,0.21610748505332433,30.22226843812422,-136.52527210797135,44.74718824936663,0.2019987143130042,-28.0,48.0,-0.765033927635324,2,0.5226192626054478,48.452804335278074,-174.992538271647,cell_then_source
15,-132.0,82.0,-13.0,0.15642107460588295,37.10726988978157,-163.14870870249695,53.41516618596353,0.15291753121498908,-36.0,20.0,-1.25917818485352,7,0.17446638371268963,37.084887938440794,-149.56056676574488,cell_then_source
17,-132.0,138.75,-31.7,0.18466106452522557,58.18326255178473,-164.72935337165245,54.852707474981806,0.20380046325355505,-76.0,-24.0,-0.90164829812548,2,0.5369881125056941,60.670549504190774,-172.54828252313357,cell_then_source
15,-145.0,74.0,-23.0,0.07559031307750397,64.00508315680463,-88.97110861824177,52.66912189858745,0.1042334950777799,44.0,-72.0,0.388958068423703,4,0.3333891311710614,64.46903565820725,-102.89103142855207,cell_then_source
17,-132.0,70.0,-22.9,0.17447034322373967,49.70775034391462,-147.92343406219194,44.23562955476258,0.180515401289573,-48.0,36.0,-1.08296363599999,2,0.4674977066560756,49.428879008713444,-170.59638045068453,cell_then_source
17,-145.0,70.0,-14.4,0.21962287798182034,20.66726576460014,-151.45542874683366,46.87728178546241,0.21153910658410047,-24.0,28.0,-1.1419160302110845,3,0.3680525534955178,44.84496231664184,178.18355366680638,cell_then_source
16,-158.0,198.35,-30.35,0.36159609886675703,17.769612866444856,-152.92742838217598,62.51537478095781,0.35325851482214066,-20.0,24.0,-1.6132770690919662,1,0.38477479743222776,86.61414505909721,145.54248139765775,cell_then_source
15,-136.0,70.0,-13.0,0.3694953814879973,3.9235351632136033,-149.7442832243108,44.195027975857926,0.3687680162153023,-4.0,32.0,-1.0891170914099866,1,0.4671143188786825,68.58524891650141,148.04029678501885,cell_then_source
16,-136.0,138.75,-43.85,0.37723876473485574,52.31817235011029,-146.0019955410372,53.68506286000814,0.39653785598514346,-56.0,32.0,-1.528442485768474,2,0.4555363117781439,67.75642362284876,-171.08278086306254,cell_then_source
15,-136.0,70.0,-29.0,0.3808722430622272,18.52503634297918,-146.78363615333498,40.88290581949442,0.3856497190473479,-20.0,32.0,-1.168591984283396,2,0.6938540474674072,56.841865205845174,153.31895090551103,cell_then_source
18,-150.0,120.0,-22.35,0.040985404159121,-31.516328715342233,-51.56680214335482,59.56894696851881,0.035007113752014596,-40.0,-20.0,0.3613752985145358,4,0.4478442472277204,68.93784209125427,-99.70911793919252,cell_then_source
14,-158.0,70.0,-21.0,0.22996645886486056,-24.125583340519093,-137.95346262979987,46.825979738429034,0.2403365113517606,32.0,40.0,-0.9593832919131633,2,0.6748178848862147,58.35681096254683,168.1035888324313,cell_then_source
16,-150.0,70.0,-22.0,0.10977040102151181,29.435700516948824,-131.33261030950996,53.82008306328055,0.11356281182537831,-12.0,48.0,-0.5384248172086424,2,0.41056004231753285,52.512649083479644,167.04568357014836,cell_then_source
14,-150.0,74.0,-8.83,0.0582587129199702,19.780164070692578,-132.75927301881637,52.91231426391822,0.05225653234548899,-44.0,56.0,-0.3698898594825712,2,0.25146990625397125,43.172068754565856,-158.08129160080415,cell_then_source
16,-136.0,70.0,-26.6,0.22891276129373195,39.961799819039314,-144.59714128638308,43.05690935376498,0.23560954338208084,-40.0,36.0,-1.1810338677516652,2,0.46279232896623856,47.715861677046405,-169.46486492773658,cell_then_source
