spatial_cell,n
5_5,340
13_9,240
6_5,230
12_9,207
12_3,189
4_5,179
8_4,135
11_1,112
7_5,102
12_2,96
10_6,95
11_4,94
8_15,85
8_11,79
11_5,75
10_5,74
12_15,62
11_3,44
12_5,41
12_8,37
13_2,36
6_14,36
14_8,36
9_4,27
9_15,25
5_10,24
4_17,24
8_5,24
10_4,24
16_13,23
13_8,23
8_16,20
7_1,20
7_11,19
14_9,19
5_17,18
5_16,18
5_14,17
6_16,16
5_6,16
6_1,15
10_16,13
8_7,13
5_15,12
12_4,11
12_10,11
7_9,10
8_10,10
8_14,9
11_15,8
9_11,7
6_10,6
12_14,6
6_6,5
7_7,5
10_17,5
15_9,5
7_15,5
11_12,5
7_0,5
10_11,4
3_5,4
5_9,4
13_16,3
16_7,3
11_11,2
6_11,2
7_16,2
9_6,1
10_10,1
4_16,1
6_2,1
6_15,1
13_5,1
13_15,1
13_10,1
12_16,1
11_13,1
10_9,1
10_15,1
10_14,1
9_8,1
