term,degree,coefficient
l1_x,1,-9.724294246643586
l1_y,1,-3.2165608842266282
l1_z,1,42.61860024886719
l2_xy,2,-10.23932691781674
l2_xz,2,-6.660046576671763
l2_yz,2,46.1429523716853
l2_x2_minus_y2,2,9.477308935801501
l2_3z2_minus_1,2,-9.239835722806198
l3_z_5z2_minus_3,3,17.353148356999593
l3_x_5z2_minus_1,3,-3.6343890205554805
l3_y_5z2_minus_1,3,-3.785841171111851
l3_z_x2_minus_y2,3,-17.437973018620337
l3_2xyz,3,44.29433693202412
l3_x_x2_minus_3y2,3,-1.5546193763374359
l3_y_3x2_minus_y2,3,23.68931156618893
