mode,gradient_r2,l1_r2,l2_r2,l3_r2,l2_delta_r2,l3_delta_r2,residual_best_harmonic_k,residual_best_harmonic_r2
global,0.0030032640126216315,0.0030032640126216315,0.004168216109188272,0.007418017853557557,0.0011649520965666404,0.003249801744369285,3,0.0014329761101732341
global,0.0009743348878511471,0.0009743348878511471,0.0020524801650877444,0.002727667052195404,0.0010781452772365974,0.0006751868871076594,6,0.0006591023580764244
global,0.00021241934591476053,0.00021241934591476053,0.0013961846791542554,0.002513453469700999,0.0011837653332394948,0.0011172687905467438,4,0.0007220107968712863
global,0.0028506752779136058,0.0028506752779136058,0.0037899001754486683,0.005939022008576766,0.0009392248975350626,0.002149121833128098,7,0.002089494974822026
global,0.0016670196650645508,0.0016670196650645508,0.002688584991497822,0.006078131294363742,0.0010215653264332714,0.00338954630286592,5,0.000974210821840571
global,0.0010759714527354136,0.0010759714527354136,0.0022552968791473837,0.0041579003497856926,0.0011793254264119701,0.0019026034706383088,5,0.00294062987794641
global,0.0004005678440868188,0.0004005678440868188,0.003954920323598676,0.005424433029301623,0.0035543524795118575,0.0014695127057029467,4,0.0017454068788067545
global,0.0010842044730305922,0.0010842044730305922,0.0033433797975109814,0.0040404334450683255,0.002259175324480389,0.0006970536475573441,2,0.000694356114584016
global,0.0003823841402301742,0.0003823841402301742,0.004121268429459146,0.008375382186932456,0.003738884289228972,0.00425411375747331,7,0.0013148986184818856
global,0.00011999740972035156,0.00011999740972035156,0.0009254295704760329,0.003676261419028326,0.0008054321607556814,0.002750831848552293,7,0.0005270601753533111
global,0.0006396489792486193,0.0006396489792486193,0.0015739749933819658,0.0029205323632505165,0.0009343260141333465,0.0013465573698685507,4,0.0004076449787218106
global,0.0010096650108962768,0.0010096650108962768,0.004326550752602909,0.007709301421816472,0.003316885741706632,0.0033827506692135634,3,0.002370123593110507
global,0.0017575262972205907,0.0017575262972205907,0.0021433275130501306,0.006590639425625433,0.00038580121582953986,0.0044473119125753025,6,0.0014842826629675177
global,0.002575285423111806,0.002575285423111806,0.003898662185584989,0.004965589679087223,0.001323376762473183,0.0010669274935022344,4,0.001679486159143484
global,0.0006633995151893446,0.0006633995151893446,0.0015765165426464556,0.0033117323034499435,0.000913117027457111,0.001735215760803488,8,0.000514251835934898
global,0.000391986839640035,0.000391986839640035,0.0013390953859938604,0.0023689965870673513,0.0009471085463538254,0.001029901201073491,6,0.0007837990818375662
global,0.0008718930185438456,0.0008718930185438456,0.0019349990750113788,0.004586000195970663,0.0010631060564675332,0.0026510011209592843,4,0.0006357032407915408
global,0.00016838067394053802,0.00016838067394053802,0.0007539487306039705,0.0038286355662865423,0.0005855680566634325,0.003074686835682572,7,0.0010319553205393461
global,0.00035967535044878485,0.00035967535044878485,0.0016082009421949373,0.0060723783913656515,0.0012485255917461524,0.004464177449170714,5,0.002252301656175848
global,0.0014891302766127934,0.0014891302766127934,0.0029858213742726125,0.004176866169794957,0.0014966910976598191,0.0011910447955223447,5,0.0005539894502284426
global,0.0004314351607208611,0.0004314351607208611,0.0013153551532815166,0.005582372967031457,0.0008839199925606556,0.00426701781374994,8,0.0023061334124787614
global,0.00038449045996613584,0.00038449045996613584,0.0037500794437473894,0.004464617033340446,0.0033655889837812536,0.0007145375895930561,2,0.0018459950129083857
global,0.0013159549868504428,0.0013159549868504428,0.0014221336010065144,0.003420086014392698,0.00010617861415607166,0.0019979524133861837,3,0.0007679245132855561
global,0.0018837483503758579,0.0018837483503758579,0.005434561246551395,0.007767726635523831,0.003550812896175537,0.0023331653889724357,8,0.0008174740317469231
global,0.0018685528430444354,0.0018685528430444354,0.002746604604628833,0.006024156669073966,0.0008780517615843975,0.003277552064445133,8,0.0014788089499181423
global,0.001323746789146485,0.001323746789146485,0.0027275174727495743,0.003904716737984093,0.0014037706836030894,0.0011771992652345187,4,0.0024851892246302576
global,0.0006073227330999353,0.0006073227330999353,0.0025923951585200555,0.003472434006692282,0.00198507242542012,0.0008800388481722266,7,0.0013623308791057553
global,0.0007118784846893433,0.0007118784846893433,0.0011378547640779058,0.0031186996341976414,0.0004259762793885624,0.0019808448701197356,8,0.0006166984479265558
global,0.00018864146759811629,0.00018864146759811629,0.0010921539787986934,0.0021763425022939265,0.0009035125112005771,0.001084188523495233,7,0.0005898579085905631
global,6.353509673096003e-05,6.353509673096003e-05,0.0014431924978209887,0.004250541534368879,0.0013796574010900287,0.0028073490365478904,8,0.0009064541084605748
global,0.00038388422005208866,0.00038388422005208866,0.0025389783319960113,0.003599948733696512,0.0021550941119439226,0.0010609704017005006,2,0.0011453520971785869
global,0.003137400123201073,0.003137400123201073,0.0041710184327881095,0.00830663420874167,0.0010336183095870366,0.0041356157759535606,3,0.0007656042156830578
global,0.0037794175532813723,0.0037794175532813723,0.006395079875515242,0.01115733839279176,0.0026156623222338693,0.004762258517276519,6,0.002067829730247772
global,0.0005039576978428384,0.0005039576978428384,0.0018663797225174639,0.005594245784560359,0.0013624220246746255,0.003727866062042895,7,0.0006899747089016417
global,0.000631294576436181,0.000631294576436181,0.002559086578430958,0.0047707544324805395,0.001927792001994777,0.0022116678540495815,5,0.003037734725444663
global,0.00012997123875357897,0.00012997123875357897,0.003408286507496583,0.005295838683951115,0.003278315268743004,0.0018875521764545322,5,0.0014180112866163386
global,0.000817906743571073,0.000817906743571073,0.001738977563222388,0.00371109779205836,0.0009210708196513151,0.001972120228835972,4,0.0009036328690382733
global,0.0005804428219616797,0.0005804428219616797,0.0038062294563090404,0.005790912659647374,0.0032257866343473607,0.0019846832033383333,6,0.0007196191516759542
global,0.0004355142962704228,0.0004355142962704228,0.00135044629721226,0.004206638726105827,0.0009149320009418371,0.002856192428893567,8,0.001200087493996027
global,0.00025538457184126617,0.00025538457184126617,0.0028702208280216857,0.007127364940649694,0.0026148362561804195,0.0042571441126280085,4,0.0005219824549583807
global,0.0009358058107663547,0.0009358058107663547,0.0014383205160753976,0.0035409965579884517,0.0005025147053090429,0.002102676041913054,7,0.0014956660858590487
global,0.0015387879093834433,0.0015387879093834433,0.0035442404458129184,0.010116512801955357,0.002005452536429475,0.006572272356142439,8,0.002096864098434237
global,0.00040940803977729257,0.00040940803977729257,0.0018114087118744626,0.004151360216859801,0.00140200067209717,0.002339951504985338,5,0.000769120328866113
global,0.00021885673170685127,0.00021885673170685127,0.0017291004746659011,0.0044226121410304575,0.0015102437429590498,0.0026935116663645564,8,0.001219360684923898
global,0.0010530728012964063,0.0010530728012964063,0.0016011532248719762,0.004534516142763789,0.0005480804235755699,0.002933362917891813,3,0.0015089637326164418
global,0.001512559405587588,0.001512559405587588,0.0025254834696296635,0.004182797315657849,0.0010129240640420756,0.0016573138460281855,6,0.0008426206194642738
global,0.0002985367181405074,0.0002985367181405074,0.0006216576316627753,0.0024569082090017957,0.0003231209135222679,0.0018352505773390204,3,0.00046349427975789226
global,0.0008487723273161718,0.0008487723273161718,0.0020827422322303724,0.006852895506448853,0.0012339699049142006,0.0047701532742184805,3,0.0019943098573090845
global,0.0010679345557447206,0.0010679345557447206,0.004416893551969503,0.005370575935990773,0.0033489589962247823,0.0009536823840212705,7,0.0015478181355779164
global,0.0006868055878760382,0.0006868055878760382,0.0018947922743985934,0.004372761336655762,0.0012079866865225553,0.002477969062257168,3,0.0009002981180158409
global,0.0001368593285037134,0.0001368593285037134,0.002009232036914055,0.003485293919021526,0.0018723727084103414,0.0014760618821074711,2,0.0010308229654947265
global,0.0008487404844075286,0.0008487404844075286,0.0011243776599667576,0.00179379126093826,0.00027563717555922906,0.0006694136009715024,6,0.000586105242114332
global,0.001202699933802398,0.001202699933802398,0.0022981628754059624,0.0038164663793449627,0.0010954629416035644,0.0015183035039390003,7,0.0015391901045368472
global,0.00043133258963301557,0.00043133258963301557,0.001284616637577285,0.002630580808581362,0.0008532840479442694,0.001345964171004077,6,0.001278772322615418
global,0.00010382758627935917,0.00010382758627935917,0.0010193638398054983,0.004111512545029061,0.0009155362535261391,0.003092148705223563,6,0.0006750051193744611
global,0.0032049307044186293,0.0032049307044186293,0.0033150103852858104,0.0051853006442030836,0.00011007968086718112,0.0018702902589172732,8,0.0008888796606283389
global,0.00213564405119937,0.00213564405119937,0.005738738557314216,0.008054356372950933,0.0036030945061148456,0.002315617815636717,2,0.001579210608702808
global,0.00027269300305521327,0.00027269300305521327,0.004343424173814392,0.006143245648887019,0.004070731170759179,0.0017998214750726271,2,0.0014038614232638746
global,0.0005039056296870514,0.0005039056296870514,0.000805781133839556,0.002801299177392913,0.0003018755041525045,0.001995518043553357,8,0.0002402667914722656
global,0.00038582509185824954,0.00038582509185824954,0.0015253812632407548,0.003492564494876116,0.0011395561713825053,0.001967183231635361,4,0.0007317892573849294
global,0.00013001555856928526,0.00013001555856928526,0.0016823225586611867,0.0036145849158307763,0.0015523070000919015,0.0019322623571695896,4,0.0010612117773685092
global,0.0009810400389289597,0.0009810400389289597,0.0029608028178076395,0.005642910300227122,0.00197976277887868,0.0026821074824194824,7,0.0033475873725052896
global,0.00024252810372382694,0.00024252810372382694,0.0028207984329100544,0.00791479878673329,0.0025782703291862274,0.005094000353823236,2,0.0019532719970029033
global,0.00014876968606891694,0.00014876968606891694,0.0024903369668880515,0.006479786245713992,0.0023415672808191346,0.003989449278825941,8,0.0014673346060126713
global,0.0010126362223368268,0.0010126362223368268,0.001081601449478331,0.0016407856078879401,6.896522714150422e-05,0.0005591841584096091,8,0.0005868560400031919
global,0.0012773790477836888,0.0012773790477836888,0.0017803712296975416,0.0030486983684410163,0.0005029921819138528,0.0012683271387434747,4,0.0010131449948060922
global,0.0013489795661332238,0.0013489795661332238,0.002450261770368556,0.00381495525469544,0.001101282204235332,0.0013646934843268843,4,0.00080778723288355
global,0.0005082375619559487,0.0005082375619559487,0.0023876609281782146,0.004667769866230076,0.001879423366222266,0.0022801089380518613,8,0.0006916789623621078
global,0.00047621339748327163,0.00047621339748327163,0.002133956508881152,0.003519808840088845,0.0016577431113978802,0.0013858523312076931,8,0.002465365381198459
global,0.0006372450777424321,0.0006372450777424321,0.0016216429029113355,0.0032614603536103015,0.0009843978251689034,0.001639817450698966,3,0.0006496364776050756
global,0.00027248869563722966,0.00027248869563722966,0.002411398006993637,0.005283569998912774,0.0021389093113564073,0.002872171991919137,4,0.0006594718199374183
global,0.0018592901690781538,0.0018592901690781538,0.0031821531504543366,0.0053379741017755,0.0013228629813761827,0.0021558209513211635,6,0.0006313672905969847
global,0.0004566068546636437,0.0004566068546636437,0.001645908989499012,0.0045046270384709874,0.0011893021348353683,0.0028587180489719755,7,0.0008056813135596252
global,0.0010419682557323284,0.0010419682557323284,0.002644419988003577,0.0037096556472761,0.0016024517322712484,0.0010652356592725232,5,0.0011939359746880873
global,0.0015456312078723222,0.0015456312078723222,0.0031382474501755464,0.006152383546530804,0.0015926162423032242,0.0030141360963552577,6,0.0012374686081771946
global,0.001574369408982479,0.001574369408982479,0.0024611766006633617,0.004590974105685319,0.0008868071916808828,0.0021297975050219575,6,0.0023504842486138378
global,0.0017923883274950647,0.0017923883274950647,0.004162459721795075,0.008136781726448827,0.0023700713943000107,0.003974322004653752,6,0.0023092783496905245
global,0.00015423916846601937,0.00015423916846601937,0.0018867887455400467,0.0039232370664975535,0.0017325495770740273,0.002036448320957507,8,0.0005401597073700914
global,0.0004167822212494121,0.0004167822212494121,0.001687841945701818,0.0052671524084166865,0.0012710597244524058,0.0035793104627148686,5,0.0013863829496810753
global,0.0005773801160624537,0.0005773801160624537,0.0011201945738149588,0.0028452516076756806,0.0005428144577525051,0.0017250570338607218,5,0.00038808982823490545
global,0.0019121352705717687,0.0019121352705717687,0.0037623165123471525,0.004609534818306615,0.0018501812417753838,0.0008472183059594629,4,0.0011742066013760155
global,0.0010956747442896209,0.0010956747442896209,0.0016768823726914794,0.00409932720028916,0.0005812076284018586,0.0024224448275976806,4,0.0007975129459267816
global,0.00040360691647767233,0.00040360691647767233,0.0026382729665616056,0.005192120720315274,0.0022346660500839333,0.0025538477537536686,2,0.0012606214964261397
global,0.0003354382592691829,0.0003354382592691829,0.0014216448082905453,0.004301762848047064,0.0010862065490213624,0.0028801180397565185,4,0.0007661582526845567
