mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.000873347561925919,0.0014169549057551079,0.0005436073438291888,0.000431828178300786,2.47897843739995
global,3176,0.00036208791428749,0.000827868005837229,0.000465780091549739,0.0003358314722544664,2.224285716876456
global,3176,0.0018598396494391434,0.0027401111988087923,0.0008802715493696489,0.0006655985964741928,2.9522454493622576
global,3176,0.00044146593167337933,0.001965973759917361,0.0015245078282439817,0.0006723343621103384,3.050519896092017
global,3176,0.00025538457184126617,0.0028702208280216857,0.0026148362561804195,0.002316009351800985,5.867476615930444
global,3176,0.0009358058107663547,0.0014383205160753976,0.0005025147053090429,0.0004743607930915994,2.9838931342929897
global,3176,0.0015387879093834433,0.0035442404458129184,0.002005452536429475,0.0014806722715032805,4.809642833900846
global,3176,0.00040940803977729257,0.0018114087118744626,0.00140200067209717,0.0013273234631032693,4.096014576351297
global,3176,0.00021885673170685127,0.0017291004746659011,0.0015102437429590498,0.0009086133474999203,4.573212455579229
global,3176,0.0010530728012964063,0.0016011532248719762,0.0005480804235755699,0.00032893335560424397,2.1657872876404625
global,3176,0.001512559405587588,0.0025254834696296635,0.0010129240640420756,0.0005844277090687466,3.056072653625734
global,3176,0.0002985367181405074,0.0006216576316627753,0.0003231209135222679,0.0002424725538511252,1.1942816194091788
global,3176,0.0008487723273161718,0.0020827422322303724,0.0012339699049142006,0.0010108069908661976,4.725851711949654
global,3176,0.0010679345557447206,0.004416893551969503,0.0033489589962247823,0.0028105396803279614,7.381072228152053
global,3176,0.0006868055878760382,0.0018947922743985934,0.0012079866865225553,0.0010072767029971619,2.482681910716194
global,3176,0.0001368593285037134,0.002009232036914055,0.0018723727084103414,0.001208165969096564,3.9073457949358015
global,3176,0.0008487404844075286,0.0011243776599667576,0.00027563717555922906,0.00025346590511354794,2.277239792213445
global,3176,0.001202699933802398,0.0022981628754059624,0.0010954629416035644,0.0007257043706054844,4.39411491176174
global,3176,0.00043133258963301557,0.001284616637577285,0.0008532840479442694,0.00041927633397098596,1.853193276633836
global,3176,0.00010382758627935917,0.0010193638398054983,0.0009155362535261391,0.0006745605132143506,3.8353234288459506
global,3176,0.0032049307044186293,0.0033150103852858104,0.00011007968086718112,7.9708179265503e-05,0.9082861340878653
