left_out_cell,left_out_n,remaining_n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model
10_10,1,3175,0.0024517243236951147,0.0828440305522613,0.08039230622856619,0.04055469113397847,-37.309608381599965,-110.68664178490967,25.083176367298528
10_11,4,3172,0.002414914926517353,0.0829807824516754,0.08056586752515804,0.04062685214381945,-37.66412160512472,-110.55034536639353,25.224243294634736
10_14,1,3175,0.0024504060652056348,0.08299230005026381,0.08054189398505818,0.040565748753309316,-37.3253684260623,-111.09750915813389,25.047530942210837
10_15,1,3175,0.0024516829139508145,0.08296613077022452,0.08051444785627371,0.04056142720402922,-37.30927514573787,-111.11539520559671,25.043518943032826
10_16,13,3163,0.002461400214554099,0.0831983213174935,0.0807369211029394,0.04057054075985822,-37.194674350961165,-110.62565250300858,25.159461189049118
10_17,5,3171,0.0024350536387953703,0.08297820268562872,0.08054314904683335,0.040659085156625974,-37.02450208734842,-114.1752217109745,25.024799771508565
10_4,24,3152,0.002725748349697188,0.08219310014668069,0.0794673517969835,0.03974987173293487,-30.104250051394523,-109.36637186318593,25.000412305813025
10_5,74,3102,0.002787752675969757,0.0818442920626995,0.07905653938672974,0.03910488796590983,-30.780532825948544,-103.39925953425136,24.60879484760936
10_6,95,3081,0.003415853966707849,0.08110660455558749,0.07769075058887964,0.036797334887513244,-22.510829367718326,-90.65359111701608,22.259464322972473
10_9,1,3175,0.0023875657798855254,0.08237252490621105,0.07998495912632553,0.04035561735304727,-38.04269335701678,-109.10482594818066,24.99917721400447
11_1,112,3064,0.0031558077815695418,0.08584022941536262,0.08268442163379308,0.04358876119563193,-18.828563906093645,-138.15164126319544,26.44760086012483
11_11,2,3174,0.0023427151664292545,0.08398973420225686,0.0816470190358276,0.041063268730639146,-37.810255828412494,-110.40302764255664,25.437139175434275
11_12,5,3171,0.0025557692754284433,0.08311038216436117,0.08055461288893273,0.04034417847417682,-36.60360431540818,-110.84225283597827,25.031988549379324
11_13,1,3175,0.0024121249877916418,0.08366703855300628,0.08125491356521464,0.04081412434415721,-37.494951933697955,-111.17730334589488,25.197978545370418
11_15,8,3168,0.002603970827319446,0.08288316009492858,0.08027918926760913,0.03996761826035644,-36.92403006294994,-107.55182545490591,24.958638378777515
11_3,44,3132,0.0027250580853591666,0.08244084689570441,0.07971578881034524,0.04079362402301445,-27.031955703141712,-115.99841740350018,25.54890100495677
11_4,94,3082,0.0033981139070989874,0.07890631566316975,0.07550820175607076,0.03764129688692541,-11.553925615360376,-108.04394179815432,24.576364432741784
11_5,75,3101,0.003055744178952824,0.0786956304547799,0.07563988627582707,0.03726995255701704,-17.888569495380057,-103.48977077480352,24.054689991151285
12_10,11,3165,0.0021765247555917133,0.08470602796910964,0.08252950321351793,0.0414734931084878,-38.09338015841183,-108.71214736244241,25.834055805273387
12_14,6,3170,0.0022519774950510163,0.0874870071770788,0.08523502968202779,0.04196559358068819,-36.92182560230317,-114.21770208396443,25.307549660664613
12_15,62,3114,0.0024351456500525392,0.10446641756448294,0.1020312719144304,0.04076352367026592,-37.447623758150115,-109.10334969689846,24.754969531320587
12_16,1,3175,0.0024763855875228336,0.08283637559643342,0.08035999000891059,0.04047106971038417,-37.260245401815375,-110.44678499345423,25.039289793369587
12_2,96,3080,0.002497771487769862,0.08462136168935175,0.08212359020158189,0.0429391035496397,-38.92438054721289,-109.4892746014426,26.39278409699961
12_3,189,2987,0.0025856721318967546,0.09013181438363194,0.08754614225173518,0.047932904546062916,-60.164866022272484,-84.84313200019523,27.83530199138244
