left_out_source,left_out_n,remaining_n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model
aloisi2011,3,3173,0.002338633922268185,0.0827652455891833,0.08042661166691512,0.04061035089422105,-36.71855652973287,-109.19074991737243,25.01547433405111
bateman2011,3,3173,0.002524645268556891,0.08615289454571673,0.08362824927715984,0.04154384659427546,-34.84011377626346,-111.86936262683574,25.357628173134437
bilbao-lasa2020,10,3166,0.0017596968031523552,0.08217380331075896,0.08041410650760661,0.040826810016624915,-31.456903173830884,-97.41866775298904,24.45466111695605
brooke2017,21,3155,0.003953937121587203,0.07318783765168568,0.06923390053009848,0.03457858702463701,-53.44437996416023,-168.85214955949903,22.038108771042722
cawthra2015,6,3170,0.0023831393616480234,0.07824697446150974,0.07586383509986172,0.03815696132370017,-48.36303061235525,-104.27021803966382,23.872590693248053
cawthra2020,2,3174,0.0024628748034027925,0.0833738548869214,0.0809109800835186,0.040603744951324905,-38.33261096693014,-110.18552851953034,24.948735130854406
cronin2007,1,3175,0.0024646477570604564,0.08277101274831922,0.08030636499125876,0.04051505228168206,-36.9536709695197,-110.71142350056418,25.042004907419734
day1866,3,3173,0.002403785332621644,0.08282691879217363,0.08042313345955199,0.04059236383180975,-36.83821245522285,-110.18487402587357,25.024464540430863
fleming1998,12,3164,0.0030816166144248536,0.07867447153634888,0.07559285492192402,0.03636502729717417,-27.471563249145568,-90.86999873784367,21.950339288735737
foglini2015,4,3172,0.002140720370713667,0.08326021689462759,0.08111949652391393,0.041004558583402684,-37.271437573783324,-106.34577117469972,25.242402766025158
hoffmann2009,2,3174,0.002416189529096502,0.08285913364419395,0.08044294411509745,0.040452812053011544,-38.637797299494366,-116.10389356951315,24.85725119795599
hovland1981,6,3170,0.001527167312989186,0.0893206657865585,0.08779349847356932,0.04526368790285895,-22.83837974442349,-101.84027663814648,24.767412105933662
jongsma1970,1,3175,0.00239056774146551,0.0830390318249753,0.08064846408350979,0.040435413526707986,-39.70950378743598,-116.92430584285349,24.78229900452218
lambeck1996b,1,3175,0.0023805727371153385,0.08353633560947926,0.08115576287236392,0.040886970124267896,-37.587449838210276,-110.45860480455653,25.288600395898946
lebrec2022,1,3175,0.0024411895397835615,0.08262554051325077,0.08018435097346721,0.04039833653813518,-38.0391625782548,-111.72869663116096,25.000002126938227
maio2014,1,3175,0.002469985406214459,0.08269946683307905,0.08022948142686459,0.040426991763433784,-37.11623708181444,-110.32304983192496,24.986118688147325
martinez-martos2016,1,3175,0.0023330959855167865,0.08309837576134294,0.08076527977582615,0.0407974614979435,-36.41105497710487,-109.29324097819939,25.01616725181118
passos2019,1,3175,0.002445757847293173,0.08230542602125313,0.07985966817395995,0.040210205221438144,-38.85586620961131,-113.41697453125306,24.88445588908545
petersen1981,1,3175,0.002441352844482658,0.08288716730473489,0.08044581446025223,0.04058504727133161,-37.05240261229783,-110.6195033009785,25.044553012260458
peterson2010,2,3174,0.002460147341735941,0.08270816102672851,0.08024801368499257,0.04056245916573731,-36.20584044493278,-111.39333463102447,25.03607785463952
peterson2016,10,3166,0.0025019981684165638,0.08188947668191926,0.0793874785135027,0.040809409295694765,-24.660123600051886,-117.16023380747352,24.641102083403457
pretorius2016,1,3175,0.0023718593042817426,0.08284608268688576,0.08047422338260402,0.040630225337027315,-36.65314905206847,-109.6144141002157,24.996829190074294
sager1992,7,3169,0.0030783855905612834,0.0812465084532148,0.07816812286265351,0.039051910933085354,-41.62971714804571,-111.7274595822151,24.661288056220023
salvaterra2017,1,3175,0.0024121249877916418,0.08366703855300628,0.08125491356521464,0.04081412434415721,-37.494951933697955,-111.17730334589488,25.197978545370418
schimanski2005,1,3175,0.0023875657798855254,0.08237252490621105,0.07998495912632553,0.04035561735304727,-38.04269335701678,-109.10482594818066,24.99917721400447
sprigg1979,12,3164,0.003120663120117273,0.07509563921054607,0.0719749760904288,0.03621053431676924,-53.2802018415639,-146.58543214731102,22.815308552541637
taira1975,9,3167,0.0023660221662029635,0.08302882913386578,0.08066280696766281,0.04053309682148665,-38.86464207436671,-112.64750248546153,25.1023150446421
walis_v1_0_post_review,3023,153,0.02428355128425308,0.1730654544459843,0.14878190316173123,0.10123282762723296,64.88931895090812,118.46093562989218,78.30693189842385
wang2015,6,3170,0.0022519774950510163,0.0874870071770788,0.08523502968202779,0.04196559358068819,-36.92182560230317,-114.21770208396443,25.307549660664613
woodroffe1981,21,3155,0.0026161790225768256,0.08175284592758292,0.07913666690500609,0.039670848350848775,-31.679509930526486,-109.7349376037134,24.8656030929395
yanko-hombach2014,2,3174,0.0024587387882801792,0.08295357809715787,0.08049483930887769,0.040564013720708836,-37.02996466936601,-110.41894275919508,25.049465066918856
zhou2014,1,3175,0.0024170326788196528,0.08303034758894023,0.08061331491012058,0.04067177978172365,-36.99550215373901,-110.45607606677245,25.07619174653266
