name,axis_lat,axis_lon,angle_deg,lambda_q,rotated_pole_lat,rotated_pole_lon,rotation_only_r2,constrained_joint_r2,quadrupole_gain_r2,rotation_only_rmse,constrained_joint_rmse,spearman_pred_obs,rotation_coeff,quadrupole_coeff_norm
best_07_40N_110E_107,40.0,110.0,107.0,0.1,13.981297107547157,60.98011480143162,0.0006399939772067098,0.0476888366033138,0.04704884262610709,33.57311309707828,32.773292084401014,0.3890468448940049,2.8498633551827917,7.0273998222707155
ECDO_31E_26,0.0,31.0,26.0,0.1,64.00000000000001,-59.00000000000001,0.038012966760200495,0.047688836590425,0.009675869830224504,32.93936631252479,32.773292084622796,0.38902736788154413,-6.38563688158968,4.733362326956661
ECDO_31E_52,0.0,31.0,52.0,0.1,38.0,-59.00000000000001,0.020913371970166295,0.047688836583289373,0.02677546461312308,33.23083013534446,32.77329208474558,0.38903537545570954,-5.5275317993455975,5.845714807522856
ECDO_149W_104,0.0,-149.0,104.0,0.1,-14.000000000000004,121.0,0.0019985963377785465,0.04768883655942946,0.04569024022165091,33.550284475153056,32.77329208515614,0.38904089788190155,-3.363991804894026,7.453187315179553
observed_77E_104,0.0,77.0,104.0,0.1,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.047688836558758996,0.04763174901179967,33.58290292783399,32.773292085167675,0.3890428668592657,-1.225110440587359,7.830486368962377
observed_77E_107,0.0,77.0,107.0,0.1,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04768883655725131,0.04767352605434927,33.58360445776333,32.773292085193624,0.3890428668592657,-1.0908677412528127,7.871227715433499
ECDO_31E_107,0.0,31.0,107.0,0.1,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04768883654465572,0.03934512641483756,33.44346107005107,32.77329208541036,0.3890437551746502,3.046422415715948,7.651509791214837
ECDO_31E_104,0.0,31.0,104.0,0.1,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.047688836542794766,0.0411711254043845,33.47423768121131,32.77329208544238,0.3890437551746502,2.4464138371905566,7.781776117016401
best_07_40N_110E_107,40.0,110.0,107.0,1.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.04768883204861751,0.0470488380714108,33.57311309707828,32.773292162774766,0.3890526881475748,2.848997580613706,7.025288553540914
ECDO_31E_26,0.0,31.0,26.0,1.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.047688830767663726,0.00967586400746323,32.93936631252479,32.77329218481644,0.389023379171288,-6.385479179525432,4.729353085521068
ECDO_31E_52,0.0,31.0,52.0,1.0,38.0,-59.00000000000001,0.020913371970166295,0.047688830054381515,0.02677545808421522,33.23083013534446,32.77329219709006,0.38901330204515133,-5.527156824171689,5.842075301086873
ECDO_149W_104,0.0,-149.0,104.0,1.0,-14.000000000000004,121.0,0.0019985963377785465,0.04768882767091054,0.04569023133313199,33.550284475153056,32.77329223810301,0.3890037105613914,-3.3633314295297465,7.449301441984083
observed_77E_104,0.0,77.0,104.0,1.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.047688827601504946,0.047631740054545624,33.58290292783399,32.77329223929729,0.389045685944901,-1.2243846191230148,7.826759420108448
observed_77E_107,0.0,77.0,107.0,1.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04768882745092817,0.04767351694802613,33.58360445776333,32.7732922418883,0.3890308082073503,-1.0900514352243544,7.867458347130517
ECDO_31E_107,0.0,31.0,107.0,1.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04768882619624992,0.03934511606643176,33.44346107005107,32.77329226347785,0.3890347712589078,3.046528476388529,7.647102793468941
ECDO_31E_104,0.0,31.0,104.0,1.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.04768882601024338,0.041171114871833114,33.47423768121131,32.77329226667851,0.38901589881782833,2.446595720676317,7.777365820755838
best_07_40N_110E_107,40.0,110.0,107.0,3.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.04768879530935255,0.04704880133214584,33.57311309707828,32.77329279495608,0.3890755721482625,2.8470766289152563,7.02060279034952
ECDO_31E_26,0.0,31.0,26.0,3.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04768878393829601,0.009675817178095514,32.93936631252479,32.77329299062056,0.38883048400457987,-6.385130327538164,4.72047260076018
