latitude,longitude,mach_m
-85,-180.0,0.137409
-85,-175.0,0.136822
-85,-170.0,0.136625
-85,-165.0,0.13353
-85,-160.0,0.133013
-85,-155.0,0.134869
-85,-150.0,0.132716
-85,-145.0,0.133665
-85,-140.0,0.132082
-85,-135.0,0.133269
-85,-130.0,0.132331
-85,-125.0,0.131929
-85,-120.0,0.132024
-85,-115.0,0.131266
-85,-110.0,0.130488
-85,-105.0,0.132457
-85,-100.0,0.133836
-85,-95.0,0.13521
-85,-90.0,0.133821
-85,-85.0,0.134544
-85,-80.0,0.137572
-85,-75.0,0.139695
-85,-70.0,0.136798
-85,-65.0,0.136561
-85,-60.0,0.136254
-85,-55.0,0.136137
-85,-50.0,0.135545
-85,-45.0,0.137072
-85,-40.0,0.136713
-85,-35.0,0.136128
-85,-30.0,0.139365
-85,-25.0,0.139032
-85,-20.0,0.140418
-85,-15.0,0.142606
-85,-10.0,0.140162
-85,-5.0,0.139628
-85,0.0,0.138677
-85,5.0,0.139003
-85,10.0,0.140047
-85,15.0,0.138849
-85,20.0,0.13821
-85,25.0,0.137283
-85,30.0,0.137577
-85,35.0,0.137772
-85,40.0,0.138226
-85,45.0,0.139314
-85,50.0,0.139428
-85,55.0,0.13859
-85,60.0,0.137281
-85,65.0,0.13924
-85,70.0,0.140769
-85,75.0,0.138519
-85,80.0,0.139484
-85,85.0,0.141078
-85,90.0,0.140663
-85,95.0,0.142908
-85,100.0,0.145005
-85,105.0,0.143597
-85,110.0,0.144135
-85,115.0,0.143062
-85,120.0,0.142994
-85,125.0,0.144781
-85,130.0,0.144722
-85,135.0,0.145746
-85,140.0,0.144736
-85,145.0,0.14486
-85,150.0,0.142473
-85,155.0,0.142676
-85,160.0,0.140294
-85,165.0,0.140014
-85,170.0,0.139962
-85,175.0,0.137685
-80,-180.0,0.151606
-80,-175.0,0.148571
-80,-170.0,0.148082
-80,-165.0,0.143662
-80,-160.0,0.145267
-80,-155.0,0.144787
-80,-150.0,0.142475
-80,-145.0,0.142473
-80,-140.0,0.139753
-80,-135.0,0.139738
-80,-130.0,0.138861
-80,-125.0,0.140806
-80,-120.0,0.137201
-80,-115.0,0.140843
-80,-110.0,0.138218
-80,-105.0,0.137788
-80,-100.0,0.136588
-80,-95.0,0.134956
-80,-90.0,0.138383
-80,-85.0,0.136537
-80,-80.0,0.133619
-80,-75.0,0.135774
-80,-70.0,0.133554
-80,-65.0,0.133053
-80,-60.0,0.133721
-80,-55.0,0.131743
-80,-50.0,0.135065
-80,-45.0,0.138015
-80,-40.0,0.137177
-80,-35.0,0.138396
-80,-30.0,0.138782
-80,-25.0,0.137018
-80,-20.0,0.134033
-80,-15.0,0.137239
-80,-10.0,0.13444
-80,-5.0,0.13512
-80,0.0,0.136018
-80,5.0,0.138768
-80,10.0,0.142696
-80,15.0,0.144542
-80,20.0,0.14447
-80,25.0,0.144199
-80,30.0,0.144237
-80,35.0,0.146734
-80,40.0,0.146944
-80,45.0,0.147947
-80,50.0,0.15052
-80,55.0,0.150335
-80,60.0,0.150582
-80,65.0,0.148752
-80,70.0,0.152555
-80,75.0,0.15193
-80,80.0,0.155083
-80,85.0,0.154626
-80,90.0,0.15545
-80,95.0,0.157119
-80,100.0,0.153981
-80,105.0,0.152291
-80,110.0,0.151634
-80,115.0,0.151938
-80,120.0,0.150191
-80,125.0,0.149816
-80,130.0,0.151445
-80,135.0,0.149118
-80,140.0,0.151094
-80,145.0,0.150518
-80,150.0,0.148868
-80,155.0,0.149157
-80,160.0,0.148745
-80,165.0,0.151221
-80,170.0,0.148692
-80,175.0,0.153283
-75,-180.0,0.151194
-75,-175.0,0.146376
-75,-170.0,0.145557
-75,-165.0,0.147491
-75,-160.0,0.147312
-75,-155.0,0.151176
-75,-150.0,0.147502
-75,-145.0,0.145912
-75,-140.0,0.146952
-75,-135.0,0.147514
-75,-130.0,0.144834
-75,-125.0,0.14455
-75,-120.0,0.145035
-75,-115.0,0.145962
-75,-110.0,0.144349
-75,-105.0,0.145359
-75,-100.0,0.144824
-75,-95.0,0.146854
-75,-90.0,0.143528
-75,-85.0,0.144359
-75,-80.0,0.141619
-75,-75.0,0.140174
-75,-70.0,0.140273
-75,-65.0,0.139167
-75,-60.0,0.13898
-75,-55.0,0.139691
-75,-50.0,0.140348
-75,-45.0,0.138098
-75,-40.0,0.142493
-75,-35.0,0.140728
-75,-30.0,0.142314
-75,-25.0,0.142621
-75,-20.0,0.141384
-75,-15.0,0.14476
-75,-10.0,0.146823
-75,-5.0,0.143428
-75,0.0,0.14475
-75,5.0,0.140696
-75,10.0,0.141077
-75,15.0,0.145027
-75,20.0,0.146099
-75,25.0,0.144304
-75,30.0,0.145761
-75,35.0,0.14409
-75,40.0,0.143846
-75,45.0,0.146706
-75,50.0,0.148119
-75,55.0,0.14571
-75,60.0,0.152143
-75,65.0,0.153917
-75,70.0,0.15636
-75,75.0,0.151073
-75,80.0,0.148449
-75,85.0,0.148733
-75,90.0,0.151054
-75,95.0,0.150142
-75,100.0,0.147881
-75,105.0,0.147571
