offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,px,py,pz,preference_raw,preference_norm,hit_count_within_sigma,hit_fraction_within_sigma,mae_m,rmse_m,preference_0_1
1.0000000000000002,180.0,89.0000000000001,-180.0,-0.017452406437283515,2.137303368083792e-18,0.9998476951563913,3.7626998686413296e-267,3.7626998686413296e-267,0.0,0.0,875.6890737295919,875.6890737295919,1.0
1.0000000000000002,90.0,89.0000000000001,90.0,1.068651684041896e-18,0.017452406437283515,0.9998476951563913,9.329651757413958e-272,9.329651757413958e-272,0.0,0.0,883.225585287568,883.225585287568,2.4795099484729285e-05
0.55,180.0,89.44999999999986,-180.0,-0.009599163462400142,1.1755584808720557e-18,0.999953926969049,1.6795428823375496e-273,1.6795428823375496e-273,0.0,0.0,886.0637736111537,886.0637736111537,4.4636642330551185e-07
0.55,90.0,89.44999999999986,90.0,5.877792404360278e-19,0.009599163462400142,0.999953926969049,2.9654013297631437e-276,2.9654013297631437e-276,0.0,0.0,890.5240544809336,890.5240544809336,7.881046677352765e-10
0.1,180.0,89.8999999999998,-180.0,-0.0017453283658983088,2.1374107967584444e-19,0.9999984769132877,1.6731604394538914e-280,1.6731604394538914e-280,0.0,0.0,897.3635771815617,897.3635771815617,4.446701830773581e-14
0.1,90.0,89.8999999999998,90.0,1.0687053983792222e-19,0.0017453283658983088,0.9999984769132877,4.8073357138613483e-281,4.8073357138613483e-281,0.0,0.0,898.2317825221351,898.2317825221351,1.277629330451282e-14
0.1,270.0,89.8999999999998,-90.00000000000001,-3.2061161951376665e-19,-0.0017453283658983088,0.9999984769132877,2.8686815771236165e-283,2.8686815771236165e-283,0.0,0.0,901.7883127249738,901.7883127249738,7.623997866615566e-17
0.1,0.0,89.8999999999998,0.0,0.0017453283658983088,0.0,0.9999984769132877,7.896514074104656e-284,7.896514074104656e-284,0.0,0.0,902.681938035666,902.681938035666,2.0986298003502473e-17
0.55,270.0,89.44999999999986,-90.00000000000001,-1.7633377213080836e-18,-0.009599163462400142,0.999953926969049,1.720260461285744e-288,1.720260461285744e-288,0.0,0.0,910.0838086901283,910.0838086901283,4.571877963540344e-22
0.55,0.0,89.44999999999986,0.0,0.009599163462400142,0.0,0.999953926969049,8.302081701961352e-292,8.302081701961352e-292,0.0,0.0,915.3130208181792,915.3130208181792,2.206416135167099e-25
1.0000000000000002,270.0,89.0000000000001,-90.00000000000001,-3.2059550521256877e-18,-0.017452406437283515,0.9998476951563913,5.0996525645020735e-294,5.0996525645020735e-294,0.0,0.0,918.7837374264464,918.7837374264464,1.3553173897825402e-27
1.0000000000000002,0.0,89.0000000000001,0.0,0.017452406437283515,0.0,0.9998476951563913,1.729530558455216e-300,1.729530558455216e-300,0.0,0.0,928.8619904754561,928.8619904754561,4.5965147868137855e-34
