id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
6ad2d8387ea1c82a37f07a2cfc7994ac54acdd7e4cddea2d3e52fafc9c2f35e6,barbosa2018,terrestrial_limiting,barbosa2018,mineru_llm_1_1,,,inferred_map,,null,unknown,other,mangrove_peat_or_mud,llm-extracted candidate,null,null,other,"CLAY, gray (dark or light), compact, decomposed mangrove vegetation debris",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Mangrove""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
fbc0de8b54ea718d313a7b435df504668c8045273b2a30dd83fb37d740c69750,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_2,,,inferred_map,,null,unknown,other,tidal_flat_sediment,llm-extracted candidate,null,null,other,"SILT, gray, lamination of fine sand and vegetation debris",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Tidal Flat""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
5c1fc45bcbd3f4446dcf9110f128adb5ee9cb813f57a2a121f6509829bda2608,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_3,,,inferred_map,,null,unknown,other,lagoonal_sediment,llm-extracted candidate,null,null,other,"CLAY very compact and Yellow clayey SILT compact with vegetation. Some places very fine SAND, Dark gray color, with shell remains or macrofauna fragments",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Lagoon""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
2fa78f69269d3dea8d2bc3283bab0bd298ace58de0d7ca62aa73ed6c46c4262d,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_4,,,inferred_map,,null,unknown,other,subtidal_facies,llm-extracted candidate,null,null,other,"SAND medium to grained, sand layers with scattered shell fragments. SITL and SAND fine to coarse layers are intercalated",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Barrier sand body""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
95645c4a98452ce55a2854f74b6f24f47bf6f0d5a9dce27a998921918958d1cb,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_5,,,inferred_map,,null,unknown,other,subtidal_facies,llm-extracted candidate,null,null,other,"SAND, medium to fine, gray, Shell or Oysters levels",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Shoreface and tidal inlets""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
9f547356fd2db68151aae34893afb9fafa07bc4692ef2766b15298c1ecb6b62f,barbosa2018,terrestrial_limiting,barbosa2018,mineru_llm_1_6,,,inferred_map,,null,unknown,other,deltaic_sequence,llm-extracted candidate,null,null,other,"SILT, sandy, greenish gray, compact or SAND, clayey, greenish gray",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Fluvial channel""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
38f97bb4989399c792d0ce9db6b8cad4f63f495e8d93d9c5c6c69b4a494d45ee,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_7,,,inferred_map,,null,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Shell or Oysters levels,barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Description: ... Shell or Oysters levels""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
a5526a2d391dd4c3a3f0b8579abda3331bcc7d18c8c4491f3e2de2aeba5d5e8f,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_8,,,inferred_map,,null,unknown,other,lagoonal_sediment,llm-extracted candidate,null,null,other,CLAY very compact and Yellow clayey SILT compact with vegetation...,barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Lagoon""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
6e38daeb61f4928a10ceb55ce4df9467ca3cb929b6b68ff2e07e9ddaf827319b,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_9,,,inferred_map,,null,unknown,other,subtidal_facies,llm-extracted candidate,null,null,other,"SAND, medium to fine, gray, Shell or Oysters levels",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Shoreface and tidal inlets""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
17c1bc0d2e917ede2a90cca4bd4f1f7fa1c16eff317f756709bb6b07120119c4,barbosa2018,marine_limiting,barbosa2018,mineru_llm_1_10,,,inferred_map,,null,unknown,other,subtidal_facies,llm-extracted candidate,null,null,other,"SAND medium to grained, sand layers with scattered shell fragments...",barbosa2018,barbosa2018.pdf,https://doi.org/10.1016/j.margeo.2018.07.014,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": null, ""table"": ""Table 1 Description and interpretation of the depositional facies"", ""section"": null, ""quote_or_paraphrase"": ""Interpretation: Barrier sand body""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
