id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
8b7d2571bf42a968248c3f4c3d507324e6cc895b5c654c71581b1ea8b620281f,bilbao-lasa2020,sea_level_indicator,"Donostia / San Sebastián, Gipuzkoa, Euskadi, España",page_8_feature_1,43.3224219,-1.9838889,inferred_text,10000.0,18.0,MSL,SRTM15+V2,marine_terrace,page OCR extracted from figure/table/map block,null,null,other,Submerged Marine Terraces Identification and an Approach for Numerical Modeling the Sequence Formation in the Bay of Biscay (Northeastern Iberian Peninsula),"Donostia / San Sebastián, Gipuzkoa, Euskadi, España",Submerged Marine Terraces Identification and an Approach for Numerical Modeling the Sequence Formation in the Bay of Biscay (Northeastern Iberian Peninsula),https://doi.org/10.3389/feart.2020.00047,0.7,Extracted from page OCR block on page 8 with cue 'TABLE 1 | Submerged marine terrace distribution from Jaizkibel to Ogeia in segments of the continental shelf with the mo' from source 'mineru_table'. Place name geocoded from query 'Donostia'.,"{""page"": ""8"", ""figure"": null, ""table"": ""TABLE 1 | Submerged marine terrace distribution from Jaizkibel to Ogeia in segments of the continental shelf with the mo"", ""section"": null, ""quote_or_paraphrase"": ""TABLE 1 | Submerged marine terrace distribution from Jaizkibel to Ogeia in segments of the continental shelf with the most remarkable characteristics. Continental shelf location | Location in Figure 5A | Detected submerged terraces and shoreline angles depths | Remarkable characteristics | Continental shelf in front of Jaizkibel | Area A | T-3 (between ~ -34 and -41 m)T-4 (between ~ -45 and -47 m)T-5 (between ~ -49 and -50 m)T-7 (between ~ -59 and -60 m)T-10 (between ~ -74 and -75 m)T-11 (at ~ -85 m) | T-3 and T-4 are observed in both sides of the main submerged channelT-7 is best preserved eastward. In the central part the shorelines are deeper until -63 m. Small submerged channels end there their pathT-10 is observed in the eastern part, where the submerged terrace is associated with a f""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 18.0, ""applied_correction_m"": null, ""derived_elevation_m"": 18.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",18,18,18,18
f6d14ae0adc30f12a96fa0b94525e25075a1f506fabee512e53faa5eaf18df5a,bilbao-lasa2020,sea_level_indicator,"Bakio, Bizkaia, Euskadi, 48130, España",page_9_feature_1,43.4230397,-2.8142578,inferred_text,10000.0,10.0,MSL,SRTM15+V2,marine_terrace,page OCR extracted from figure/table/map block,null,null,other,Submerged Marine Terraces Identification and an Approach for Numerical Modeling the Sequence Formation in the Bay of Biscay (Northeastern Iberian Peninsula),"Bakio, Bizkaia, Euskadi, 48130, España",Submerged Marine Terraces Identification and an Approach for Numerical Modeling the Sequence Formation in the Bay of Biscay (Northeastern Iberian Peninsula),https://doi.org/10.3389/feart.2020.00047,0.7,Extracted from page OCR block on page 9 with cue 'TABLE 2 | Submerged marine terrace distribution from Ea to Barrika in segments of the continental shelf with the most re' from source 'mineru_table'. Place name geocoded from query 'Bakio'.,"{""page"": ""9"", ""figure"": null, ""table"": ""TABLE 2 | Submerged marine terrace distribution from Ea to Barrika in segments of the continental shelf with the most re"", ""section"": null, ""quote_or_paraphrase"": ""TABLE 2 | Submerged marine terrace distribution from Ea to Barrika in segments of the continental shelf with the most remarkable characteristics. Continental shelf location | Location in Figure 5A | Detected submerged terraces and shoreline angles depths | Remarkable characteristics | Continental shelf in front of Ea | Area F | T-3 (between ~ -35 and -37 m)T-4 (between ~ -44 and -45 m)T-5 (between ~ -52 and -53 m)T-6 (between ~ -56 and -59 m)T-7 (between ~ -62 and -63 m)T-8 (at ~ -65 m)T-9 (between ~ -68 and -70 m)T-10 (between ~ -73 and -75 m) | The submerged channel ends its path at T-9 | Continental shelf in front of Urdaibai | Area G | T-12 (between ~ -89 and -92 m) | The shoreline shows a bay shape morphology | Continental shelf in front of Matxitxako cape | Area H | T-3 (between ~ -4""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 10.0, ""applied_correction_m"": null, ""derived_elevation_m"": 10.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",10,10,10,10
fe25ffbbc0a2a936039089fd2dbafd3ac207da5c15c6ddf1e09b8ca58092e73e,bilbao-lasa2020,marine_limiting,Marine terrace 2,mineru_llm_1_1,,,inferred_map,,null,unknown,other,marine_terrace,Marine terrace 2,null,null,other,Identified as Marine terrace 2 in Figure 2.,Biscay Bay region,"Pedoja et al., 2018",https://doi.org/10.3389/feart.2020.00047,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": ""FIGURE 2"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""T2: Marine terrace 2""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
390df6a93c0223fef42a2c4cdae4bd62c8858ea407bb8490b1c5b60104bf3d0d,bilbao-lasa2020,marine_limiting,Marine terrace 1,mineru_llm_1_2,,,inferred_map,,null,unknown,other,marine_terrace,Marine terrace 1,null,null,other,Identified as Marine terrace 1 in Figure 2.,Biscay Bay region,"Pedoja et al., 2018",https://doi.org/10.3389/feart.2020.00047,0.3,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": ""FIGURE 2"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""T1, Marine terrace 1""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
2489cecc434d0bd3c7e52ecbdfff8bbf5aa8482503425e296226c5fba5e2b163,bilbao-lasa2020,sea_level_indicator,study area,mineru_llm_3_1,24.3846616,88.5859982,inferred_text,10000.0,20.0,MSL,SRTM15+V2,marine_terrace,submerged,null,null,other,General distribution of submerged marine terraces. Profile shows layers from T1 (Light gray) to T12 (Dark green). Note: depths for T1-T12 are indicated by numbers in circles (referencing text 'numbers their depths') but are not explicitly listed in the provided context.,study area,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,Includes Ogeia (box E) and a profile view (C) showing specific terrace levels. Geocoded from contextual query 'study area'.,"{""page"": ""7"", ""figure"": ""FIGURE 5"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""General distribution of submerged marine terraces, with detected shoreline angles in circles... Circles represent shoreline angles and the numbers their depths.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 20.0, ""applied_correction_m"": null, ""derived_elevation_m"": 20.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",20,20,20,20
4bc15627b61887f4e8bc24be0bc299b09399d3742dd95cf72ffa48d9f95697a3,bilbao-lasa2020,sea_level_indicator,Continental shelf in front of Ondarroa,T-1,43.3221481,-2.4221989,inferred_text,10000.0,-13,MSL,reported,marine_terrace,submerged_marine_terrace,null,null,other,T-1 terrace detected at approximately -13 m.,Continental shelf in front of Ondarroa,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Ondarroa, Spain'.","{""page"": ""TABLE 1 | Submerged marine terrace distribution..."", ""figure"": ""Location in Figure 5A"", ""table"": ""TABLE 1"", ""section"": null, ""quote_or_paraphrase"": ""Continental shelf in front of Ondarroa ... T-1 (at ~ -13 m)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-13,-13,-13,-13
57b0802c756a692b610d9119e624ebf4b8273065a67fe5551454d09f89f4385e,bilbao-lasa2020,sea_level_indicator,Continental shelf in front of Ondarroa,T-3,43.3221481,-2.4221989,inferred_text,10000.0,-36.5,MSL,reported,marine_terrace,submerged_marine_terrace,null,null,other,T-3 terrace detected between -35 and -38 m.,Continental shelf in front of Ondarroa,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Ondarroa, Spain'.","{""page"": ""TABLE 1 | Submerged marine terrace distribution..."", ""figure"": ""Location in Figure 5A"", ""table"": ""TABLE 1"", ""section"": null, ""quote_or_paraphrase"": ""Continental shelf in front of Ondarroa ... T-3 (between ~ -35 and -38 m)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-36.5,-36.5,-36.5,-36.5
e34a2ffb1f512c164ee75ce41b868fadcd9ef07d4094947d0a164a962b0518a2,bilbao-lasa2020,sea_level_indicator,Continental shelf in front of Zumaia,T-3,43.296653,-2.2571182,inferred_text,10000.0,-36,MSL,reported,marine_terrace,submerged_marine_terrace,null,null,other,T-3 terrace detected between -34 and -38 m.,Continental shelf in front of Zumaia,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Zumaia, Spain'.","{""page"": ""TABLE 1 | Submerged marine terrace distribution..."", ""figure"": ""Location in Figure 5A"", ""table"": ""TABLE 1"", ""section"": null, ""quote_or_paraphrase"": ""Continental shelf in front of Zumaia ... T-3 (between ~ -34 and -38 m)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-36,-36,-36,-36
b28c653f2595d8e725b2cfd072feaa00e5aeae58889836e7b7371bfeeefa3cd0,bilbao-lasa2020,sea_level_indicator,Continental shelf in front of Zumaia,T-6,43.296653,-2.2571182,inferred_text,10000.0,-56.5,MSL,reported,marine_terrace,submerged_marine_terrace,null,null,other,T-6 terrace detected between -55 and -58 m.,Continental shelf in front of Zumaia,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Zumaia, Spain'.","{""page"": ""TABLE 1 | Submerged marine terrace distribution..."", ""figure"": ""Location in Figure 5A"", ""table"": ""TABLE 1"", ""section"": null, ""quote_or_paraphrase"": ""Continental shelf in front of Zumaia ... T-6 (between ~ -55 and -58 m)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-56.5,-56.5,-56.5,-56.5
c3d8c8619cf5582d73fdfe3fa3b5c16fe528ed05504c84e99e41b478e6a46145,bilbao-lasa2020,sea_level_indicator,Continental shelf in front of Zumaia,T-7,43.296653,-2.2571182,inferred_text,10000.0,-59.5,MSL,reported,marine_terrace,submerged_marine_terrace,null,null,other,T-7 terrace detected between -58 and -61 m.,Continental shelf in front of Zumaia,bilbao-lasa2020.pdf,https://doi.org/10.3389/feart.2020.00047,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Zumaia, Spain'.","{""page"": ""TABLE 1 | Submerged marine terrace distribution..."", ""figure"": ""Location in Figure 5A"", ""table"": ""TABLE 1"", ""section"": null, ""quote_or_paraphrase"": ""Continental shelf in front of Zumaia ... T-7 (between ~ -58 and -61 m)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-59.5,-59.5,-59.5,-59.5
