id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
970a865d7ba95b4eb7ec823918a5f85dd3bb66f5c4453af9595bd03602a32228,brooke2017,sea_level_indicator,"Rottnest Shelf, SW Western Australia",mineru_table_2_2,-32.0070095,115.5205271,inferred_text,5000.0,-40.0,MSL,reported,submerged_beach,MinerU table row: Relict Barriers,"[-60.0, -20.0]",null,stratigraphic_context,"Relict Barriers: Extensive (up to 10 s km), ~shore-parallel ridges, with relief of 10-20 m (inner shelf) and 5-15 m (outer shelf).","Rottnest Island, Kingstown Barracks, City of Cockburn, Western Australia, 6161, Australia","James et al., 1999; Brooke et al., 2010a; Brooke et al., 2014; Nicholas et al., 2014",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 20-30;50-60. Geocoded from contextual query 'Rottnest Island, Western Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Rottnest Shelf, SW Western Australia | Extensive (up to 10 s km), ~shore-parallel ridges, with relief of 10-20 m (inner shelf) and 5-15 m (outer shelf). | 20-30;50-60 | Relatively steep inner shelf; middle-outer shelf low gradient to break in slope at ~65 m depth | High wave energy, micro tidal, carbonate | James et al., 1999; Brooke et al., 2010a; Brooke et al., 2014; Nicholas et al., 2014""}","{""reported_elevation_m"": null, ""reported_depth_m"": 40.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-40,-40,-40,-40
cfaba665d4fd460acf4f71ae1fd40e11eb6bf76e754918802f608e2fba443390,brooke2017,sea_level_indicator,"Recherche Shelf, S WA",mineru_table_2_3,-33.858228,121.8931606,inferred_text,5000.0,-57.5,MSL,reported,submerged_beach,MinerU table row: Relict Barriers,"[-60.0, -55.0]",null,stratigraphic_context,"Relict Barriers: Shore-parallel ridge, 5-8 m relief.","Esperance, Shire of Esperance, Western Australia, 6450, Australia","Ryan et al., 2008",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 55-60. Geocoded from contextual query 'Esperance, Western Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Recherche Shelf, S WA | Shore-parallel ridge, 5-8 m relief. | 55-60 | Wide (75 km) low gradient shelf. | High energy, micro tidal, carbonate. | Ryan et al., 2008""}","{""reported_elevation_m"": null, ""reported_depth_m"": 57.5, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-57.5,-57.5,-57.5,-57.5
ef8e31dd71bfd812bfe325c72aad9a308fee2d207356fb8d074bc902bfa596dc,brooke2017,sea_level_indicator,"Lacepede Shelf, SE South Australia",mineru_table_2_4,-36.81815,139.80736,inferred_text,5000.0,-70.0,MSL,reported,submerged_beach,MinerU table row: Relict Barriers,"[-126.0, -14.0]",null,stratigraphic_context,"Relict Barriers: Extensive (km), ~shore-parallel ridges, several metres relief.","Lacepede Bay, South Australia, Australia","Sprigg, 1979; Hill et al., 2009; Murray Wallace and Woodroffe, 2014",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 14-32; 70; 72-126. Geocoded from contextual query 'Lacepede Bay, South Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Lacepede Shelf, SE South Australia | Extensive (km), ~shore-parallel ridges, several metres relief. | 14-32; 70; 72-126 | Middle to inner shelf, low gradient, subtle uplift (shelf uplifted ~0.07 m/ka). | High energy, micro-tidal, carbonate | Sprigg, 1979; Hill et al., 2009; Murray Wallace and Woodroffe, 2014""}","{""reported_elevation_m"": null, ""reported_depth_m"": 70.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-70,-70,-70,-70
a0ff86876bb88819eb11c8c1848472d1f5563512c142a3464dac7a00f1e2635d,brooke2017,sea_level_indicator,"Gippsland Shelf, Eastern Bass Strait",mineru_table_2_5,-37.3466413,148.5079918,inferred_text,5000.0,-70.0,MSL,reported,submerged_beach,MinerU table row: Relict Barriers,"[-75.0, -65.0]",null,stratigraphic_context,"Relict Barriers: Parallel, low-relief (~1 m relief) ridges typical of a coastal strandplain.","Shire of East Gippsland, Victoria, Australia","Beaman et al., 2005",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 65-75. Geocoded from contextual query 'Gippsland, Victoria, Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Gippsland Shelf, Eastern Bass Strait | Parallel, low-relief (~1 m relief) ridges typical of a coastal strandplain. | 65-75 | Middle shelf, low gradient, adjacent to high relief granite reef. | High energy, micro-tidal, mixed quartz/carbonate. | Beaman et al., 2005""}","{""reported_elevation_m"": null, ""reported_depth_m"": 70.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-70,-70,-70,-70
e6b284aeb192f77910e2fc4e6372d8edc750a2727aa8360b9f9b61ecbb744b46,brooke2017,sea_level_indicator,"Southeast Australian Shelf, central and northern NSW",mineru_table_2_6,-32.9272881,151.7812534,inferred_text,5000.0,-45.0,MSL,reported,submerged_beach,MinerU table row: Relict Barriers,"[-70.0, -20.0]",null,stratigraphic_context,"Relict Barriers: Largely buried/sub-surface, little morphological expression on seabed.","Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2300, Australia","Brown, 1994; Roy, 1998; Whitehouse, 2007",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 20-70. Geocoded from contextual query 'Newcastle, New South Wales'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Southeast Australian Shelf, central and northern NSW | Largely buried/sub-surface, little morphological expression on seabed. | 20-70 | Middle shelf, low gradient, sediment covered. | High energy, microtidal, siliciclastic. | Brown, 1994; Roy, 1998; Whitehouse, 2007""}","{""reported_elevation_m"": null, ""reported_depth_m"": 45.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-45,-45,-45,-45
d7bd849932f8d25203f760e475abf59d44c73eab5a9a12de45abff06d52f23b9,brooke2017,sea_level_indicator,"Southeast Australian Shelf, NSW",mineru_table_2_8,-32.9272881,151.7812534,inferred_text,5000.0,-30.0,MSL,reported,submerged_beach,"MinerU table row: Relict Sand Banks, Beaches, Ridges","[-40.0, -20.0]",null,stratigraphic_context,"Relict Sand Banks, Beaches, Ridges: Low gradient, shore parallel sand ridges, with up to several m relief (formed as nearshore sand banks during lower sea levels).","Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2300, Australia","Roy, 1998; Whitehouse, 2007",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 20-40. Geocoded from contextual query 'Newcastle, New South Wales'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Southeast Australian Shelf, NSW | Low gradient, shore parallel sand ridges, with up to several m relief (formed as nearshore sand banks during lower sea levels). | 20-40 | Occur along sections of the NSW inner shelf. | High energy, microtidal, siliciclastic. | Roy, 1998; Whitehouse, 2007""}","{""reported_elevation_m"": null, ""reported_depth_m"": 30.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-30,-30,-30,-30
46892d5af21b34a4b7990f34bc54ad62efccb58da42f4a936ce3b76510bcb6bb,brooke2017,sea_level_indicator,"Southeast Australian Shelf, northern NSW",mineru_table_2_9,-32.9272881,151.7812534,inferred_text,5000.0,-65.0,MSL,reported,submerged_beach,"MinerU table row: Relict Sand Banks, Beaches, Ridges","[-70.0, -60.0]",null,stratigraphic_context,"Relict Sand Banks, Beaches, Ridges: Shore-parallel ridges, up to ~5 m relief: indurated, relict beach deposits or bedrock outcrops?","Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2300, Australia","Jordan et al., 2010",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 60-70. Geocoded from contextual query 'Newcastle, New South Wales'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Southeast Australian Shelf, northern NSW | Shore-parallel ridges, up to ~5 m relief: indurated, relict beach deposits or bedrock outcrops? | 60-70 | Middle shelf, low gradient. | High energy, microtidal, silicilastic | Jordan et al., 2010""}","{""reported_elevation_m"": null, ""reported_depth_m"": 65.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-65,-65,-65,-65
96ab0c1295724ab6030acb959f87ea31bb3b45cc13a7f6c565de6a740ddb86dd,brooke2017,sea_level_indicator,"Eastern Tasmanian Shelf, offshore Freycinet",mineru_table_2_10,-42.21798,148.30975,inferred_text,5000.0,-95.0,MSL,reported,submerged_beach,"MinerU table row: Relict Sand Banks, Beaches, Ridges","[-100.0, -90.0]",null,stratigraphic_context,"Relict Sand Banks, Beaches, Ridges: Freycinet: low ridges, 1-5 m, possibly relict beaches.","Freycinet Peninsula, Glamorgan-Spring Bay, Tasmania, Australia","Nichol et al., 2009",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 90-100. Geocoded from contextual query 'Freycinet Peninsula, Tasmania'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Eastern Tasmanian Shelf, offshore Freycinet | Freycinet: low ridges, 1-5 m, possibly relict beaches. | 90-100 | Outer Shelf, low gradient | Moderate-high energy, microtidal, carbonate | Nichol et al., 2009""}","{""reported_elevation_m"": null, ""reported_depth_m"": 95.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-95,-95,-95,-95
f915bd55e6d290749f5c4903e8ebcea0ddf2d32c4e98408097ad03444fe35281,brooke2017,sea_level_indicator,"Rottnest Shelf, SW Western Australia",mineru_table_2_12,-32.0070095,115.5205271,inferred_text,5000.0,-45.0,MSL,reported,raised_beach,MinerU table row: Coastal Dune Fields,"[-50.0, -40.0]",null,stratigraphic_context,"Coastal Dune Fields: Irregular hardground, up to 8 km wide, with 5-15 m relief; some parabolic dune morphology preserved. Apparent surficial extensions of these dunes on nearby Rottnest Is were emplaced in MIS 3, 2.","Rottnest Island, Kingstown Barracks, City of Cockburn, Western Australia, 6161, Australia","Brooke et al., 2010a, 2014; Nicholas et al., 2014",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: 40-50. Geocoded from contextual query 'Rottnest Island, Western Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Rottnest Shelf, SW Western Australia | Irregular hardground, up to 8 km wide, with 5-15 m relief; some parabolic dune morphology preserved. Apparent surficial extensions of these dunes on nearby Rottnest Is were emplaced in MIS 3, 2. | 40-50 | Middle shelf | High energy, micro tidal, carbonate | Brooke et al., 2010a, 2014; Nicholas et al., 2014""}","{""reported_elevation_m"": null, ""reported_depth_m"": 45.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-45,-45,-45,-45
456de781e07177d5bee5f54181fb3416caf207d87cc70337971fe2580650f8e5,brooke2017,sea_level_indicator,"Carnarvon Shelf, central Western Australia",mineru_table_2_13,-24.883847,113.6570703,inferred_text,5000.0,-34.0,MSL,reported,raised_beach,MinerU table row: Coastal Dune Fields,"[-40.0, -28.0]",null,stratigraphic_context,"Coastal Dune Fields: Field of mounds, 2-5 m relief, and ridges, up to 16 m relief and 1.5 km long, ~shore normal (remnants of large parabolic dunes).","Carnarvon, Shire of Carnarvon, Western Australia, 6701, Australia","Brooke et al., 2009; Nichol and Brooke, 2011;",https://doi.org/10.1016/j.csr.2016.12.012,0.8,"Extracted from MinerU table. Original depth text: Mounds: 28-40; Ridges: 35-40. Geocoded from contextual query 'Carnarvon, Western Australia'.","{""page"": ""2"", ""figure"": null, ""table"": ""Table 1  Palaeoshoreline features on the Australian continental shelf."", ""section"": null, ""quote_or_paraphrase"": ""Carnarvon Shelf, central Western Australia | Field of mounds, 2-5 m relief, and ridges, up to 16 m relief and 1.5 km long, ~shore normal (remnants of large parabolic dunes). | Mounds: 28-40; Ridges: 35-40 | Features extend across inner shelf. | High energy, micro tidal, carbonate | Brooke et al., 2009; Nichol and Brooke, 2011;""}","{""reported_elevation_m"": null, ""reported_depth_m"": 34.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age context inferred from table/text when present.""}]",-34,-34,-34,-34
