id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
272cb22fbe46b477e298e6c857e3593f2e3581a909fed11daae2980fd480f032,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 475881,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""5725\u20135909""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 37 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 37 | Beta - 475881 | gastropod shell | +3.0 | 5550 \u00b1 30 | 94.2 | 5725\u20135909""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""5725\u20135909"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
619b2fb7c24fe78888092634a9cd6734d67c239b5652a2222daa408cd682a1d6,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 475882,,,inferred_map,,null,unknown,reported,marine_shell_bed,bivalve,null,"""10,272\u201310,486""",AMS 14C,Bivalve shell dated from sediment core LK-12 at 201 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 201 | Beta - 475882 | bivalve shell | +0.8 | 9680 \u00b1 30 | 95 | 10,272\u201310,486""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""10,272\u201310,486"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
a52949a06a854e8b0b673b69571c2eff0676fa573b4f54eba2f83432e15ebc04,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 459905,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""10,411\u201310,572""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 204 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 204 | Beta - 459905 | gastropod shell | +2.0 | 9750 \u00b1 30 | 95 | 10,411\u201310,572""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""10,411\u201310,572"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
1e22eea70f20270c3dab19ae812bd4c1cc9caa74b7174ad1ae973c65e61fba0e,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 459907,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""13,079\u201313,225""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 211 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 211 | Beta - 459907 | gastropod shell | +0.1 | 11,750 \u00b1 30 | 95 | 13,079\u201313,225""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""13,079\u201313,225"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
c7b279d2f40e2e267401fbb00316142acc3b2ce22b3af4e4e669e4c7519fd132,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 468184,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""13,469\u201313,689""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 223 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 223 | Beta - 468184 | gastropod shell | -0.6 | 12,210 \u00b1 40 | 95 | 13,469\u201313,689""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""13,469\u201313,689"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
412f22b359f0f63c107cdfa2aae1bb6eb88ea4c14d827ed32cfb4aa7102af690,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 475880,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""13,577\u201313,758""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 233 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 233 | Beta - 475880 | gastropod shell | -1.6 | 12,310 \u00b1 40 | 95 | 13,577\u201313,758""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""13,577\u201313,758"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
50871ea5058756aef764435b7efb9d2e56d2016ec8fd0a2c2252057bf59d4072,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 468185,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""44,040\u201345,980""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 259 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 259 | Beta - 468185 | gastropod shell | +2.8 | 42,110 \u00b1 630 | 95 | 44,040\u201345,980""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""44,040\u201345,980"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
6f3e367f434b7cb39281be065bbc75c1d7bf02644b0434d1a29e2399fd94145a,brunovic2020,sea_level_indicator,Sediment core LK-12,Beta - 459906,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""45,032\u201347,982""",AMS 14C,Gastropod shell dated from sediment core LK-12 at 329 cm depth.,Sediment core LK-12,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-12 | 329 | Beta - 459906 | gastropod shell | 0.0 | 43,050 \u00b1 830 | 95 | 45,032\u201347,982""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""45,032\u201347,982"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
46c0ea427150816db6264de59b5bd21c0c9110486a9a5e04ed16fe5a72af4d72,brunovic2020,sea_level_indicator,Sediment core LK-15,Beta - 468186,,,inferred_map,,null,unknown,reported,marine_shell_bed,bivalve,null,"""9,484\u20139,672""",AMS 14C,Bivalve shell dated from sediment core LK-15 at 83 cm depth.,Sediment core LK-15,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-15 | 83 | Beta - 468186 | bivalve shell | +1.8 | 9040 \u00b1 30 | 95 | 9484\u20139672""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""9,484\u20139,672"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
63793d33e90b851f7a31d5d0766a9150e6aa70ccb992d3fb7d8ffc93229c52fb,brunovic2020,sea_level_indicator,Sediment core LK-15,Beta - 468187,,,inferred_map,,null,unknown,reported,marine_shell_bed,gastropod,null,"""10,205\u201310,429""",AMS 14C,Gastropod shell dated from sediment core LK-15 at 134 cm depth.,Sediment core LK-15,brunovic2020.pdf,https://doi.org/10.1016/j.palaeo.2020.109587,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""LK-15 | 134 | Beta - 468187 | gastropod shell | +3.0 | 9590 \u00b1 30 | 92.7 | 10,205\u201310,429""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""AMS 14C"", ""relation"": ""unknown"", ""age_ka"": ""10,205\u201310,429"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
