id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
c2d0f149efb92e9a09a1bfab859b5dfe3053d1b6f7047704f17ba56f9ee729cc,castillo2018,sea_level_indicator,"Santa Catalina Island, Avalon, Los Angeles County, California, 90704, United States",page_3_feature_1,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,page OCR extracted from figure/table/map block,null,null,other,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces","Santa Catalina Island, Avalon, Los Angeles County, California, 90704, United States","Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,"Extracted from page OCR block on page 3 with cue 'Figure 2. Slope-enhanced shaded relief bathymetric and topographic map of Santa Catalina Island, using data sources list' from source 'mineru_image'. Place name geocoded from query 'Santa Catalina Island'.","{""page"": ""3"", ""figure"": ""Figure 2. Slope-enhanced shaded relief bathymetric and topographic map of Santa Catalina Island, using data sources list"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Figure 2. Slope-enhanced shaded relief bathymetric and topographic map of Santa Catalina Island, using data sources listed in Table 1. White lines\u2014new Stanford seismic profiles (2014) (white rectangle off west coast is a dense grid), highlighted in yellow if shown in Figure 5. Gray lines\u2014vintage seismic data (see Table 1). Heavy black lines\u2014faults. Orange lines\u2014active faults mapped in this study. Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8. Yellow dashed line\u2014distal edge of marine terrace sediments. Dashed orange line\u2014approximate contact between uplifted and truncated Miocene sedimentary rocks (seaward) and igneous/metamorphic basement (shoreward) subcropping beneath terrace sediments. White dashed lines\u2014section $\\mathbf { A } { - } \\mathbf { A } ^ { \\prime }$ and $\\mathbf ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",292,292,292,292
21fca245a68643c8df548a64e626da6ca1d272ee92058fe5d659ea012ff951c9,castillo2018,sea_level_indicator,"Pilgrim, Crystal Lake Township, Benzie County, Michigan, 49365, United States",page_4_feature_1,44.6649981,-86.2459296,inferred_text,10000.0,201.0,MSL,SRTM15+V2,marine_terrace,page OCR extracted from figure/table/map block,null,null,other,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces","Pilgrim, Crystal Lake Township, Benzie County, Michigan, 49365, United States","Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Extracted from page OCR block on page 4 with cue 'Figure 3. Slope-enhanced shaded relief bathymetric map of Pilgrim and Kidney Banks. White lines—new Stanford seismic pro' from source 'mineru_image'. Place name geocoded from query 'Pilgrim'.,"{""page"": ""4"", ""figure"": ""Figure 3. Slope-enhanced shaded relief bathymetric map of Pilgrim and Kidney Banks. White lines\u2014new Stanford seismic pro"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Figure 3. Slope-enhanced shaded relief bathymetric map of Pilgrim and Kidney Banks. White lines\u2014new Stanford seismic profiles (2014 and 2016), highlighted in yellow if shown in Figure 6. Fine black lines\u2014vintage seismic data (see Table 1). Heavy black lines\u2014faults. Dashed black lines\u2014marine terrace rollovers. Many areas of map include ship-track\u2013parallel and gridding artifacts. text_image images/272be55715868ca2f4a07d2aca72496acd2edb5e831dcc012008c8bce828b7ee.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 201.0, ""applied_correction_m"": null, ""derived_elevation_m"": 201.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",201,201,201,201
74d0de7cb58a0b1394c8f1ca60257125ad5b1caf37c088f4156f2f87b5240475,castillo2018,marine_limiting,Santa Catalina and Pilgrim/Kidney Banks,mineru_llm_1_1,,,inferred_map,,null,unknown,other,marine_terrace,llm-extracted candidate,null,null,other,Distal edges of marine terrace sediments,northwestern California Continental Borderland,Castillo et al. (2018),https://doi.org/10.1130/B31738.1,0.3,Text describes a map feature (marine terrace edges) indicating past sea level positions. No contextual geocode result was found.,"{""page"": """", ""figure"": ""Figure 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""distal edges of marine terrace sediments as mapped in this paper around Santa Catalina and Pilgrim/Kidney Banks""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
a375cec0bd2d4cac6e35d3c2387c0b33f81ebaea1dd945cfa5b6cd1591ded40e,castillo2018,sea_level_indicator,T1,mineru_llm_2_1,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
d522d1c69fb17b245c5cf6e9dc06df07bbb3f9d6c186d4cf2a42e8ef69574073,castillo2018,sea_level_indicator,T2,mineru_llm_2_2,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
729ac0901ccab63b0b40713e0eec9991bae63a9e7d8137e7fde4d53c73e797ac,castillo2018,sea_level_indicator,T3,mineru_llm_2_3,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
36dca1a3c2badd6c69968c424d0c4b5ddd866f664ba5a40f3b14b40241c63bfa,castillo2018,sea_level_indicator,T4,mineru_llm_2_4,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
bf6bd600dfb7f7c2a84c2a949671e2465eb9bbbb1ad9cef17c8a63fe730810cc,castillo2018,sea_level_indicator,T5,mineru_llm_2_5,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
33fa1f3345da88c5363875a646cec3e6dd60333217414a38d32eba07cd64efad,castillo2018,sea_level_indicator,T6,mineru_llm_2_6,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
9fe0289916a83124c314cd9d4e6d93392452f465707b25cdbbf58d24cb2cdbcb,castillo2018,sea_level_indicator,T7,mineru_llm_2_7,33.3889038,-118.4239288,inferred_text,10000.0,292.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,null,other,Marine terrace rollover,Santa Catalina Island,"Late Quaternary subsidence of Santa Catalina Island, California Continental Borderland, demonstrated by seismic-reflection data and fossil assemblages from submerged marine terraces",https://doi.org/10.1130/B31738.1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Santa Catalina Island'.,"{""page"": """", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Dashed black lines\u2014marine terrace rollovers, numbered T1\u2013T8.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 292.0, ""applied_correction_m"": null, ""derived_elevation_m"": 292.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",292,292,292,292
