id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
0f21fb30aa9bb562cdc9c4e3533a42ab0a366c95adac238ca8d468db28e5c243,dickinson2014,sea_level_indicator,"Tongatapu, Tonga",page_8_feature_1,-21.1667068,-175.1981997,inferred_text,10000.0,40.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Holocene Paleoshoreline Record in Tonga: Geomorphic Features and Archaeological Implications,"Tongatapu, Tonga",Holocene Paleoshoreline Record in Tonga: Geomorphic Features and Archaeological Implications,,0.7,"Extracted from page OCR block on page 8 with cue 'Figure 5. Sketch map of Tongatapu (Figures 2–3) showing uplifted Vaina paleoreef trend (post-mid-Pliocene, pre-mid-Pleis' from source 'mineru_image'. Place name geocoded from query 'Tongatapu'.","{""page"": ""8"", ""figure"": ""Figure 5. Sketch map of Tongatapu (Figures 2\u20133) showing uplifted Vaina paleoreef trend (post-mid-Pliocene, pre-mid-Pleis"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Figure 5. Sketch map of Tongatapu (Figures 2\u20133) showing uplifted Vaina paleoreef trend (post-mid-Pliocene, pre-mid-Pleistocene). Arrows denote places along coastline where emergent mid-Holocene paleoshoreline notches were observed and measured during this study (figures in parentheses are differential elevations between active modern shoreline notches and fossil mid-Holocene paleoshoreline notches). Solid symbols denote emergent mid-Holocene (triangles) and last-interglacial (square) corals or sediments dated by uranium-series and radiocarbon methods (Taylor and Bloom, 1977; Taylor, 1978; Ellison, 1989; Nunn and Finau, 1995). See text for discussion. text_image images/0a0e27073d9be0f42e8a2aaa20b19692f8bf71b9d59af9286b5412adf6e0d3b8.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 40.0, ""applied_correction_m"": null, ""derived_elevation_m"": 40.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",40,40,40,40
5bb5dabd166e10095e00570295cc372c7651274bc8ed0dc9f4a8955a165bf3a6,dickinson2014,sea_level_indicator,"Harare Province, Zimbabwe",page_12_feature_1,-17.8567035,31.0601584,inferred_text,10000.0,1483.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Holocene Paleoshoreline Record in Tonga: Geomorphic Features and Archaeological Implications,"Harare Province, Zimbabwe",Holocene Paleoshoreline Record in Tonga: Geomorphic Features and Archaeological Implications,,0.7,Extracted from page OCR block on page 12 with cue 'Figure 7. Sketch map of Ha'apai Group (Figures 2–3). Heavy lines denote forearc block boundaries (Figure 3). Identified ' from source 'mineru_image'. Place name geocoded from query 'Ha'.,"{""page"": ""12"", ""figure"": ""Figure 7. Sketch map of Ha'apai Group (Figures 2\u20133). Heavy lines denote forearc block boundaries (Figure 3). Identified "", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Figure 7. Sketch map of Ha'apai Group (Figures 2\u20133). Heavy lines denote forearc block boundaries (Figure 3). Identified islands are those discussed in text. text_image images/17f16400d581e3aa2f3c2cfdf9141f0a2cfefaa2c1c63a182e77d5562dbe5c16.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 1483.0, ""applied_correction_m"": null, ""derived_elevation_m"": 1483.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",1483,1483,1483,1483
43b8ce4226c7a679c01b82b7ad1c60bbea960f8bfce788104e5f0a36db135cee,dickinson2014,sea_level_indicator,West coast of Tungua,mineru_llm_2_1,-20.015486,-174.7662613,inferred_text,10000.0,21.0,MSL,SRTM15+V2,beachrock,armor,null,null,other,sloping cuesta of beachrock armor within intertidal zone of beach face,"Tungua, Ha'apai Group",dickinson2014.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Tungua Tonga'.,"{""page"": ""6"", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""sloping cuesta of beachrock armor within intertidal zone of beach face on west coast of Tungua, Ha'apai Group""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 21.0, ""applied_correction_m"": null, ""derived_elevation_m"": 21.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",21,21,21,21
45e5b0f491b8a7550dbac7adcb7cf1347f4c1f2588f6e4e73b4c6cf9874f50b7,dickinson2014,sea_level_indicator,Liku coast,mineru_llm_2_2,13.3885342,-84.9981309,inferred_text,10000.0,139.0,MSL,SRTM15+V2,tidal_notch,shoreline notch,null,null,other,modern shoreline notch at high-tide level,"Liku coast, Lifuka, Ha'apai Group",dickinson2014.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Liku coast'.,"{""page"": ""6"", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""modern shoreline notch at high-tide level (photo at low tide) on eastern liku coast of Lifuka, Ha'apai Group""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 139.0, ""applied_correction_m"": null, ""derived_elevation_m"": 139.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",139,139,139,139
596070269e4e8c07d3b7f736fd26e8ce361b9da9932cf7232463ab2535bd4326,dickinson2014,sea_level_indicator,Oholei Beach raised reef flat,mineru_llm_2_3,-21.2370754,-175.098937,inferred_text,10000.0,-4.0,MSL,SRTM15+V2,marine_terrace,raised reef-flat limestone,null,null,other,wavecut platform beveled across raised reef-flat limestone,"Oholei Beach, Tongatapu",dickinson2014.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Oholei Beach Tongatapu'.,"{""page"": ""6"", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""sloping surface of modern beachrock (dark), partly buried by loose beach sand, merging downslope with wavecut platform beveled across raised reef-flat limestone (pale), with white beach bag (35 \u00d7 35 cm) at discontinuity in slope between beachrock and platform surfaces at Oholei Beach on east coast of Tongatapu""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -4.0, ""applied_correction_m"": null, ""derived_elevation_m"": -4.0, ""derived_depth_m"": 4.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4,-4,-4,-4
c52ddaee339370f1f96719e8e4045df1d47ddbb25dad39184065478b34aa886c,dickinson2014,sea_level_indicator,Oholei Beach modern beachrock,mineru_llm_2_4,-21.2370754,-175.098937,inferred_text,10000.0,-4.0,MSL,SRTM15+V2,beachrock,modern surface,null,null,other,sloping surface of modern beachrock partly buried by loose beach sand,"Oholei Beach, Tongatapu",dickinson2014.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Oholei Beach Tongatapu'.,"{""page"": ""6"", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""sloping surface of modern beachrock (dark), partly buried by loose beach sand, merging downslope with wavecut platform beveled across raised reef-flat limestone (pale), with white beach bag (35 \u00d7 35 cm) at discontinuity in slope between beachrock and platform surfaces at Oholei Beach on east coast of Tongatapu""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -4.0, ""applied_correction_m"": null, ""derived_elevation_m"": -4.0, ""derived_depth_m"": 4.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4,-4,-4,-4
cba6fc98f2bf835c110f4cfdee19fdd505a93c18d73fc5096c0c7d167e2cd749,dickinson2014,sea_level_indicator,Oholei Beach wavecut platform,mineru_llm_2_5,-21.2370754,-175.098937,inferred_text,10000.0,-4.0,MSL,SRTM15+V2,wave_cut_notch_or_bench,platform beveled across raised limestone,null,null,other,wavecut platform beveled across raised reef-flat limestone,"Oholei Beach, Tongatapu",dickinson2014.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Oholei Beach Tongatapu'.,"{""page"": ""6"", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""merging downslope with wavecut platform beveled across raised reef-flat limestone (pale)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -4.0, ""applied_correction_m"": null, ""derived_elevation_m"": -4.0, ""derived_depth_m"": 4.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4,-4,-4,-4
7c94cab19960c62a85e1a74ffd2a2947337a17e9fb4de048b2e38f2ccb369dc2,dickinson2014,sea_level_indicator,Tongatapu,mineru_llm_3_1,-21.1667068,-175.1981997,inferred_text,10000.0,40.0,MSL,SRTM15+V2,marine_terrace,coral,null,"""mid-Holocene""",U/Th and radiocarbon methods,Emergent mid-Holocene corals or sediments (triangles),Tongatapu,Taylor and Bloom (1977),,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Tongatapu'.,"{""page"": ""8"", ""figure"": ""Figure 5"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Triangles denote emergent mid-Holocene corals or sediments dated by uranium-series and radiocarbon methods""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 40.0, ""applied_correction_m"": null, ""derived_elevation_m"": 40.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""U/Th and radiocarbon methods"", ""relation"": ""unknown"", ""age_ka"": ""mid-Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",40,40,40,40
3b5df00203d3aeba719dee963d2a0f8886a58d9e8afcae1979aa638aafa8a49b,dickinson2014,sea_level_indicator,Tongatapu,mineru_llm_3_2,-21.1667068,-175.1981997,inferred_text,10000.0,40.0,MSL,SRTM15+V2,marine_terrace,sediment,null,"""last-interglacial""",U/Th and radiocarbon methods,Emergent last-interglacial corals or sediments (squares),Tongatapu,Taylor and Bloom (1977),,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Tongatapu'.,"{""page"": ""8"", ""figure"": ""Figure 5"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Squares denote emergent last-interglacial corals or sediments dated by uranium-series and radiocarbon methods""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 40.0, ""applied_correction_m"": null, ""derived_elevation_m"": 40.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""U/Th and radiocarbon methods"", ""relation"": ""unknown"", ""age_ka"": ""last-interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",40,40,40,40
0eaeab134f5562db8656fd8093998ddbe89417d3dc7c92d48a8ab1c734219a1e,dickinson2014,sea_level_indicator,Tongatapu,mineru_llm_3_3,-21.1667068,-175.1981997,inferred_text,10000.0,40.0,MSL,SRTM15+V2,tidal_notch,paleoshoreline notch,null,"""mid-Holocene""",other,Emergent mid-Holocene paleoshoreline notch,Tongatapu,Holocene Paleoshoreline Record in Tonga: Geomorphic Features and Archaeological Implications,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Tongatapu'.,"{""page"": ""8"", ""figure"": ""Figure 5"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Arrows denote places along coastline where emergent mid-Holocene paleoshoreline notches were observed and measured""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 40.0, ""applied_correction_m"": null, ""derived_elevation_m"": 40.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""mid-Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",40,40,40,40
