id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
67fd233c0b6ae71748923ca92395713b80176bf160d35e43db4bcf10973f1ee9,fedje1999,sea_level_indicator,Richardson Island Site,1127T12T18,65.7553694,-118.333903,inferred_text,10000.0,18,aht,other,marine_terrace,raised beach,null,9.29,Radiocarbon,"Charcoal sample from Richardson Island, elevation 18 m aht, age 9290 ± 50 years BP.",Richardson Island,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Richardson Island'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 39875 (1127T12T18), Charcoal, 18 m aht, 9290 \u00b1 50 years BP, raised beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.29, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",18,18,18,18
cefea0f1cfacabcce0276382207348df0636a03a5e3c7bb598949aff2dbdab8d,fedje1999,sea_level_indicator,Richardson Island Site,1127T10N-108,65.7553694,-118.333903,inferred_text,10000.0,18,aht,other,marine_terrace,raised beach,null,8.64,Radiocarbon,"Charcoal sample from Richardson Island, elevation 18 m aht, age 8640 ± 50 years BP.",Richardson Island,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Richardson Island'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 26263 (1127T10N-108), Charcoal, 18 m aht, 8640 \u00b1 50 years BP, raised beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.64, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",18,18,18,18
3a3009dfdb3ffdac795ce4790f00c076585c2b6cbe319184350577a73857a78e,fedje1999,sea_level_indicator,Arrow Creek 1,766T11D8-119,47.444764,-110.0957322,inferred_text,10000.0,16.5,aht,other,marine_terrace,raised beach,null,8.88,Radiocarbon,"Charcoal sample from Arrow Creek 1, elevation 16.5 m aht, age 8880 ± 50 years BP.",Arrow Creek,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Arrow Creek'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 33909 (766T11D8-119), Charcoal, 16.5 m aht, 8880 \u00b1 50 years BP, raised beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.88, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",16.5,16.5,16.5,16.5
66d70c87229f744b517b17aa6951c80b06024fb1ec553f56e7f3ccb511e38c87,fedje1999,sea_level_indicator,Arrow Creek 2,925T2A1-15,47.444764,-110.0957322,inferred_text,10000.0,0,aht,other,estuarine_sediment,paleo-estuary,null,9.81,Radiocarbon,"Barnacle sample from Arrow Creek 2, elevation 0 m aht, age 9810 ± 190 years BP, paleo-estuary.",Arrow Creek,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Arrow Creek'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 9984 (925T2A1-15), Barnacle, 0 m aht, 9810 \u00b1 190 years BP, paleo-estuary.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.81, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0,0,0,0
c80ae018bea9b94f0d1001c53b7b57bfdbcae5320a00837deb2b7f450d0a211f,fedje1999,sea_level_indicator,Echo Bay,1128T9-1,53.2124649,-107.1282483,inferred_text,10000.0,-1,aht,other,intertidal_bioconstruction,paleo-intertidal,null,9.27,Radiocarbon,"Sea-otter bone sample from Echo Bay, elevation -1.0 m aht, age 9270 ± 100 years BP, paleo-intertidal.",Echo Bay,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Echo Bay'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 14438 (1128T9-1), Sea-otter bone, -1.0 m aht, 9270 \u00b1 100 years BP, paleo-intertidal.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.27, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-1,-1,-1,-1
816357314d32736e2c857d8f41ccc9b233b583292bd11d21887a390452e3f5e7,fedje1999,sea_level_indicator,Lyell Bay South,1355T3A19-193,,,inferred_map,,15.5,aht,other,marine_terrace,raised beach,null,8.17,Radiocarbon,"Charcoal sample from Lyell Bay South, elevation 15.5 m aht, age 8170 ± 60 years BP.",Lyell Bay South,fedje1999.pdf,,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 33916 (1355T3A19-193), Charcoal, 15.5 m aht, 8170 \u00b1 60 years BP.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.17, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",15.5,15.5,15.5,15.5
2508af93626de68a82aae198d719f64fbf5e9f6fa45372761291b250e868de67,fedje1999,sea_level_indicator,Arrow Creek 1,766T4-103,47.444764,-110.0957322,inferred_text,10000.0,15,aht,other,marine_terrace,raised beach,null,5.65,Radiocarbon,"Charcoal sample from Arrow Creek 1, elevation 15 m aht, age 5650 ± 70 years BP.",Arrow Creek,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Arrow Creek'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 4111 (766T4-103), Charcoal, 15 m aht, 5650 \u00b1 70 years BP, raised beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.65, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",15,15,15,15
f201e6d0ebbd7f565159c62d4ac3834e1b1f5144446e92f289677f8191a08b7f,fedje1999,sea_level_indicator,Lyell Bay East,1354T3D5-65,,,inferred_map,,15,aht,other,marine_terrace,raised beach,null,5.03,Radiocarbon,"Charcoal sample from Lyell Bay East, elevation 15 m aht, age 5030 ± 40 years BP.",Lyell Bay East,fedje1999.pdf,,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 33910 (1354T3D5-65), Charcoal, 15 m aht, 5030 \u00b1 40 years BP.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.03, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",15,15,15,15
f53c62795b58da16d52c11ef5aa74cbaf7f616983fafde47f5123a86c3c5178e,fedje1999,sea_level_indicator,Richardson Island Site,1127T10S-329,65.7553694,-118.333903,inferred_text,10000.0,18,aht,other,marine_terrace,raised beach,null,8.98,Radiocarbon,"Charcoal sample from Richardson Island, elevation 18 m aht, age 8980 ± 60 years BP.",Richardson Island,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Richardson Island'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 26266 (1127T10S-329), Charcoal, 18 m aht, 8980 \u00b1 60 years BP, raised beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.98, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",18,18,18,18
4da035cd58c6e110b406e7d6d038d62b6d2e846832e8e343c2d37be14323e9a2,fedje1999,sea_level_indicator,Echo Bay,1128T1,53.2124649,-107.1282483,inferred_text,10000.0,-0.5,aht,other,intertidal_bioconstruction,llm-extracted candidate,null,8.55,Radiocarbon,"Shell and wood samples from Echo Bay, elevation -0.5 m aht, age 8550 ± 60 years BP.",Echo Bay,fedje1999.pdf,,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Echo Bay'.,"{""page"": ""9"", ""figure"": null, ""table"": ""Table 2. Radiocarbon Dates"", ""section"": null, ""quote_or_paraphrase"": ""CAMS 9978 (1128T1), Wood, -0.5 m aht, 8550 \u00b1 60 years BP.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.55, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-0.5,-0.5,-0.5,-0.5
