id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
3e9cd617ace2bcb8b7d22b3117a2da9a142c09fcf93478ae2efbc0d994901f86,foglini2015,sea_level_indicator,Regional setting,narrative_fallback_1,,,inferred_map,,-130.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-132.5, -127.5]",20.0,stratigraphic_context,"submerged beach at Regional setting, reported around 130 m depth",Regional setting,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""Regional setting"", ""quote_or_paraphrase"": ""ly Messinian (Pedley et al. 2002), although in the last 125 ka the archipelago has largely been tectonically stable (Pedley et al. 2002; Galea 2007; Serpelloni et al. 2007; Furlani et al. 2013). The Last Glacial Maximum shoreline of the Maltese archipelago is thus believed to coincide with the 130 m isobath (Micallef et al. 2013), which is consistent with the figure reported for Mediterranean stable coastlines by Lambeck et al. (2011). This is key to the ensuing geomorphological interpretations of the submerged landscapes of the Maltese Islands.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 130.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 20.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-130,-130,-130,-130
1aa72f4a2e2f506a6fa491cbd50f8be018ea986531a062242765e249329b40f2,foglini2015,sea_level_indicator,Geomorphology of the submerged palaeolandscape of the Maltese archipelago,narrative_fallback_2,,,inferred_map,,-125.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-127.5, -122.5]","""LGM""",stratigraphic_context,"submerged beach at Geomorphology of the submerged palaeolandscape of the Maltese archipelago, reported around 125 m depth",Geomorphology of the submerged palaeolandscape of the Maltese archipelago,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""Geomorphology of the submerged palaeolandscape of the Maltese archipelago"", ""quote_or_paraphrase"": ""The occurrence of the base of the continental escarpment at a depth of 120\u2013130 m substantiates that this feature potentially represents the shoreline of the Maltese archipelago during the LGM, when the parts of the continental shelf now located at a depth of ,130 m were emerged and affected by subaerial processes (Lambeck et al. 2011; Micallef et al. 2013). On the continental shelf, we observe a wide variety of terrestrial and marine geomorphological features of different origin that were emerged during the LGM: karst features (sinkholes and karst pavement), features related to slope instability (block slides), fluvial features (former river incision and alluvial plains) and coastal features (palaeoshorelines a""}","{""reported_elevation_m"": null, ""reported_depth_m"": 125.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": ""LGM"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-125,-125,-125,-125
4791c48788fd9228baa932920d8b6400eb2049ca5878806566ec9c7ea6b4f9ed,foglini2015,sea_level_indicator,NW Gozo,narrative_fallback_3,,,inferred_map,,-110.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-112.5, -107.5]",null,other,"marine terrace at NW Gozo, reported around 110 m depth",NW Gozo,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""NW Gozo"", ""quote_or_paraphrase"": ""In the area offshore of NW Gozo, we observed a N\u2013S-orientated escarpment that has a slope gradient of 208\u2013358, and a depth ranging between 90 and 130 m. The escarpment is characterized by the presence of marine terraces and has been extensively eroded in the western part, off Dwejra Bay, as indicated by the occurrence of some large remnant blocks (relict features: Swift et al. 1971).""}","{""reported_elevation_m"": null, ""reported_depth_m"": 110.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-110,-110,-110,-110
7bc4c33c8741b161ce643ba5ae62609ba67c1d53652d9474e0bbc10c4a308f6e,foglini2015,sea_level_indicator,NW Malta,narrative_fallback_4,35.9311442,14.3951627,inferred_text,10000.0,-37.5,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-40.0, -35.0]",null,other,"marine terrace at NW Malta, reported around 37.5 m depth",Malta,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.8,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review. Geocoded from contextual query 'Malta'.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""NW Malta"", ""quote_or_paraphrase"": ""ak of slope at a depth of approximately 25\u2013 50 m in the NW area of Malta changes orientation from W\u2013E to NNW\u2013SSE in front of Gebel Imbark. It is indented, has a slope gradient of 158 and is defined by a number of marine terraces. The base of the deeper marine terrace is located at a depth of around 130 m, while the shallower terraces occur at different depths (15, 49 and 76 m). These terraces are flat or sloping slightly seawards, and are bounded by a break of slope. They have been interpreted as palaeoshore platforms shaped by wave action during the post-glacial sea-level rise, being morphologically similar to modern shore platforms occurring along the coastline.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 37.5, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-37.5,-37.5,-37.5,-37.5
485b1d844e7c913754eff774010773df5c57437a339a05d9ac763ceb2fba4b14,foglini2015,sea_level_indicator,NW Malta,narrative_fallback_5,35.9311442,14.3951627,inferred_text,10000.0,-15.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-17.5, -12.5]",null,other,"marine terrace at NW Malta, reported around 15 m depth",Malta,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.8,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review. Geocoded from contextual query 'Malta'.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""NW Malta"", ""quote_or_paraphrase"": ""ak of slope at a depth of approximately 25\u2013 50 m in the NW area of Malta changes orientation from W\u2013E to NNW\u2013SSE in front of Gebel Imbark. It is indented, has a slope gradient of 158 and is defined by a number of marine terraces. The base of the deeper marine terrace is located at a depth of around 130 m, while the shallower terraces occur at different depths (15, 49 and 76 m). These terraces are flat or sloping slightly seawards, and are bounded by a break of slope. They have been interpreted as palaeoshore platforms shaped by wave action during the post-glacial sea-level rise, being morphologically similar to modern shore platforms occurring along the coastline.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 15.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-15,-15,-15,-15
c5fbe39f3919894f027087aa8a56e0248f0f6bb925dab9e5846851e0f78b680f,foglini2015,sea_level_indicator,NW Malta,narrative_fallback_6,35.9311442,14.3951627,inferred_text,10000.0,-49.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-51.5, -46.5]",null,other,"marine terrace at NW Malta, reported around 49 m depth",Malta,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.8,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review. Geocoded from contextual query 'Malta'.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""NW Malta"", ""quote_or_paraphrase"": ""ak of slope at a depth of approximately 25\u2013 50 m in the NW area of Malta changes orientation from W\u2013E to NNW\u2013SSE in front of Gebel Imbark. It is indented, has a slope gradient of 158 and is defined by a number of marine terraces. The base of the deeper marine terrace is located at a depth of around 130 m, while the shallower terraces occur at different depths (15, 49 and 76 m). These terraces are flat or sloping slightly seawards, and are bounded by a break of slope. They have been interpreted as palaeoshore platforms shaped by wave action during the post-glacial sea-level rise, being morphologically similar to modern shore platforms occurring along the coastline.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 49.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-49,-49,-49,-49
08d48a729bcce46ce733166a5a897569f90e22bfb99a316e94a88aaae037e9ed,foglini2015,sea_level_indicator,NW Malta,narrative_fallback_7,35.9311442,14.3951627,inferred_text,10000.0,-76.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-78.5, -73.5]",null,other,"marine terrace at NW Malta, reported around 76 m depth",Malta,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.8,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review. Geocoded from contextual query 'Malta'.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""NW Malta"", ""quote_or_paraphrase"": ""ak of slope at a depth of approximately 25\u2013 50 m in the NW area of Malta changes orientation from W\u2013E to NNW\u2013SSE in front of Gebel Imbark. It is indented, has a slope gradient of 158 and is defined by a number of marine terraces. The base of the deeper marine terrace is located at a depth of around 130 m, while the shallower terraces occur at different depths (15, 49 and 76 m). These terraces are flat or sloping slightly seawards, and are bounded by a break of slope. They have been interpreted as palaeoshore platforms shaped by wave action during the post-glacial sea-level rise, being morphologically similar to modern shore platforms occurring along the coastline.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 76.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-76,-76,-76,-76
6cedc5b6cf840386b7507adb743ce4a59a6245fa1d9c2eac350b69a9a7cf7a56,foglini2015,sea_level_indicator,Sikka il-Bajda,narrative_fallback_8,,,inferred_map,,-95.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-97.5, -92.5]",null,other,"marine terrace at Sikka il-Bajda, reported around 95 m depth",Sikka il-Bajda,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""Sikka il-Bajda"", ""quote_or_paraphrase"": ""Downslope of the escarpment, the seafloor is defined by flat terraces limited to landwards by concave breaks of slope. The latter have a similar orientation to the escarpment and occur at a depth of 108 m; they range from 5 to 12 km in length and from 800 to 1000 m in width. The sediment covering the area consists of fine silty sand with a clayey fraction. The enlargement of the platform and its increase in depth southwards is probably due to a change in lithology from the harder Lower Coralline Limestone to the softer Globigerina Limestone (Micallef et al. 2013). These marine terraces were probably formed by subaerial weathering and""}","{""reported_elevation_m"": null, ""reported_depth_m"": 95.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-95,-95,-95,-95
2ad331c6d930e5bd5b17abdb6032ef2a21ba2c89e4537a5a6638a0c0cba40095,foglini2015,sea_level_indicator,Sikka il-Bajda,narrative_fallback_9,,,inferred_map,,-108.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-110.5, -105.5]",null,other,"marine terrace at Sikka il-Bajda, reported around 108 m depth",Sikka il-Bajda,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""Sikka il-Bajda"", ""quote_or_paraphrase"": ""Downslope of the escarpment, the seafloor is defined by flat terraces limited to landwards by concave breaks of slope. The latter have a similar orientation to the escarpment and occur at a depth of 108 m; they range from 5 to 12 km in length and from 800 to 1000 m in width. The sediment covering the area consists of fine silty sand with a clayey fraction. The enlargement of the platform and its increase in depth southwards is probably due to a change in lithology from the harder Lower Coralline Limestone to the softer Globigerina Limestone (Micallef et al. 2013). These marine terraces were probably formed by subaerial weathering and""}","{""reported_elevation_m"": null, ""reported_depth_m"": 108.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-108,-108,-108,-108
641f58fd2db63e2b4e8f22b3c65665a4ae936bb46f13079f9420ac9d24b91a3b,foglini2015,sea_level_indicator,Sikka il-Bajda,narrative_fallback_10,,,inferred_map,,-130.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-132.5, -127.5]","""LGM""",stratigraphic_context,"submerged beach at Sikka il-Bajda, reported around 130 m depth",Sikka il-Bajda,Late Quaternary coastal landscape morphology and evolution of the Maltese Islands (Mediterranean Sea) reconstructed from high-resolution seafloor data,https://doi.org/10.1144/SP411.12,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""Sikka il-Bajda"", ""quote_or_paraphrase"": ""t is characterized by a wide variety of terrestrial and marine geomorphic features of different genesis. (b) Bathymetric profiles across the shelf edge showing the different morphological configurations of the LGM palaeoshoreline (located at 2130 m). As in (a), the grey area in the profiles shows the features submerged during the LGM and the brownish area the features emerged during the LGM. Profile locations are given in (a).""}","{""reported_elevation_m"": null, ""reported_depth_m"": 130.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": ""LGM"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-130,-130,-130,-130
