id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
a3675a0e15e5c4406b0a161ce9b710659e891d115997e328d906f0188130a9af,garcia2013,sea_level_indicator,Yampah,Y*,,,inferred_map,,null,unknown,reported,saltmarsh_peat_or_mud,rhizome,null,4.055,Radiocarbon,"Core Y*, Sample depth 510 cm, wetland plant rhizomes.",Yampah,garcia2013.pdf,https://doi.org/10.1016/j.csr.2013.01.012,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Table 1"", ""figure"": null, ""table"": ""Table 1 Supporting information for samples analyzed for radiocarbon."", ""section"": null, ""quote_or_paraphrase"": ""Core Y* | Yampah | 510 cm | -25* | 4055 \u00b1 35 yr B.P.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.055, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
26304799170ed2cc93e6ebc371dc8a3d2e284fc840e89d909b0480107f83a5d0,garcia2013,sea_level_indicator,Hudson's landing,47,,,inferred_map,,null,unknown,reported,saltmarsh_peat_or_mud,rhizome,null,0.21,Radiocarbon,"Core 47, Sample depth 75 cm, wetland plant rhizomes.",Hudson's landing,garcia2013.pdf,https://doi.org/10.1016/j.csr.2013.01.012,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Table 1"", ""figure"": null, ""table"": ""Table 1 Supporting information for samples analyzed for radiocarbon."", ""section"": null, ""quote_or_paraphrase"": ""Core 47 | Hudson's landing | 75 cm | -25.30 | 210 \u00b1 20 yr B.P.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.21, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
fa546c31fb79f41d41a8c3d25ad47ffaadb1083d49df2fea3c15051831c5c79c,garcia2013,sea_level_indicator,Big creek,33,37.2049456,-119.245956,inferred_text,10000.0,1510.0,MSL,SRTM15+V2,saltmarsh_peat_or_mud,rhizome,null,0.67,Radiocarbon,"Core 33, Sample depth 100 cm, wetland plant rhizomes.",Big creek,garcia2013.pdf,https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Big creek'.,"{""page"": ""Table 1"", ""figure"": null, ""table"": ""Table 1 Supporting information for samples analyzed for radiocarbon."", ""section"": null, ""quote_or_paraphrase"": ""Core 33 | Big creek | 100 cm | -25.26 | 670 \u00b1 25 yr B.P.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 1510.0, ""applied_correction_m"": null, ""derived_elevation_m"": 1510.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.67, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1510,1510,1510,1510
97ccf77dbef33ed5eebf1bbf58993343f3ffca6242219ce687122eeb337a2d56,garcia2013,sea_level_indicator,Round hill,67,39.132723,-77.7686273,inferred_text,10000.0,164.0,MSL,SRTM15+V2,saltmarsh_peat_or_mud,rhizome,null,0.4,Radiocarbon,"Core 67, Sample depth 100 cm, wetland plant rhizomes.",Round hill,garcia2013.pdf,https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Round hill'.,"{""page"": ""Table 1"", ""figure"": null, ""table"": ""Table 1 Supporting information for samples analyzed for radiocarbon."", ""section"": null, ""quote_or_paraphrase"": ""Core 67 | Round hill | 100 cm | -26.93 | 400 \u00b1 20 yr B.P.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 164.0, ""applied_correction_m"": null, ""derived_elevation_m"": 164.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.4, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",164,164,164,164
5686d429ebf5f5ca855db55cd27a00675ababf7dc7731d44d3648a0ce91d9297,garcia2013,sea_level_indicator,Rubis creek,24,19.7446358,-79.7656241,inferred_text,10000.0,23.0,MSL,SRTM15+V2,saltmarsh_peat_or_mud,rhizome,null,0.2,Radiocarbon,"Core 24, Sample depth 45 cm, wetland plant rhizomes.",Rubis creek,garcia2013.pdf,https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Rubis creek'.,"{""page"": ""Table 1"", ""figure"": null, ""table"": ""Table 1 Supporting information for samples analyzed for radiocarbon."", ""section"": null, ""quote_or_paraphrase"": ""Core 24 | Rubis creek | 45 cm | -24.00 | 200 \u00b1 25 yr B.P.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 23.0, ""applied_correction_m"": null, ""derived_elevation_m"": 23.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.2, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",23,23,23,23
eb8c779e99de5440a39eee64d459710134f8299e7312d6bb340034c9f26c2672,garcia2013,sea_level_indicator,Hudson's landing,47,,,inferred_map,,null,unknown,reported,mangrove_peat_or_mud,llm-extracted candidate,null,1.48,Radiocarbon,"High resolution seismic study of the Holocene infill of the Elkhorn Slough, central California",Hudson's landing,"Watson et al., 2011",https://doi.org/10.1016/j.csr.2013.01.012,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 8"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Core number 47, Hudson's landing... Age 14C yr B.P. 1480 \u00b1 25""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.48, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
f7b5f1195882e937097c2d37120de2940446f067a4a7773e4006a18a9c158438,garcia2013,sea_level_indicator,Big creek,33,37.2049456,-119.245956,inferred_text,10000.0,1510.0,MSL,SRTM15+V2,mangrove_peat_or_mud,llm-extracted candidate,null,2.02,Radiocarbon,"High resolution seismic study of the Holocene infill of the Elkhorn Slough, central California",Big creek,"Watson et al., 2011",https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Big creek'.,"{""page"": ""page 8"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Core number 33, Big creek... Age 14C yr B.P. 2020 \u00b1 25""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 1510.0, ""applied_correction_m"": null, ""derived_elevation_m"": 1510.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 2.02, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1510,1510,1510,1510
51ebf6194888ab45332f14f0eac74e75c7e97098cb5c493325dd27ba72214e51,garcia2013,sea_level_indicator,Round hill,67,39.132723,-77.7686273,inferred_text,10000.0,164.0,MSL,SRTM15+V2,mangrove_peat_or_mud,llm-extracted candidate,null,1.96,Radiocarbon,"High resolution seismic study of the Holocene infill of the Elkhorn Slough, central California",Round hill,"Watson et al., 2011",https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Round hill'.,"{""page"": ""page 8"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Core number 67, Round hill... Age 14C yr B.P. 1960 \u00b1 30""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 164.0, ""applied_correction_m"": null, ""derived_elevation_m"": 164.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.96, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",164,164,164,164
adc00e750d8b00b4fd7525999bba1cda69c08f679c1e30a8cfd09c7f060c5e38,garcia2013,sea_level_indicator,Rubis creek,24,19.7446358,-79.7656241,inferred_text,10000.0,23.0,MSL,SRTM15+V2,mangrove_peat_or_mud,llm-extracted candidate,null,0.92,Radiocarbon,"High resolution seismic study of the Holocene infill of the Elkhorn Slough, central California",Rubis creek,"Watson et al., 2011",https://doi.org/10.1016/j.csr.2013.01.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Rubis creek'.,"{""page"": ""page 8"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Core number 24, Rubis creek... Age 14C yr B.P. 920 \u00b1 25""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 23.0, ""applied_correction_m"": null, ""derived_elevation_m"": 23.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.92, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",23,23,23,23
e05094d97327456bb0e8032bc8e5976c063ed88d444330a718403045709f5a84,garcia2013,sea_level_indicator,Yampah,Y*,,,inferred_map,,null,unknown,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.55,Radiocarbon,"High resolution seismic study of the Holocene infill of the Elkhorn Slough, central California",Yampah,"Watson et al., 2011",https://doi.org/10.1016/j.csr.2013.01.012,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 8"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Y* | Yampah... Age 14C yr B.P. 4055 \u00b1 35""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.55, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
