id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
0c2267f8588d6f71ebe8d8bbdc2b569ddca021f81500ab59ab5e5a7a5f384cfe,lambeck1996b,sea_level_indicator,Salwah,mineru_llm_3_1,24.883333,50.716666,reported,,1.0,MSL,other,marine_terrace,llm-extracted candidate,null,4.585,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[14],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Salwah | 24\u00b0 53' | 50\u00b0 43' | 4585 \u00b1 60 | 1.0 | [14]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 4.585, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1,1,1,1
9e9a889cb9ce27bfe52ebda9fe9b2f4546fe154b7cd3c893a43c074b82362c50,lambeck1996b,sea_level_indicator,Qurayyah (1),mineru_llm_3_2,25.883333,50.116666,reported,,1.8,MSL,other,marine_terrace,llm-extracted candidate,null,3.695,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[14],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Qurayyah (1) | 25\u00b0 53' | 50\u00b0 07' | 3695 \u00b1 50 | 1.8 | [14]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 3.695, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.8,1.8,1.8,1.8
f920e40950a9a353534e7acbf979d5825bc9b2d3277f9a796c619aebb7918a37,lambeck1996b,sea_level_indicator,Qurayyah (2),mineru_llm_3_3,26.016666,49.983333,reported,,2.0,MSL,other,marine_terrace,llm-extracted candidate,null,4.46,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[14],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Qurayyah (2) | 26\u00b0 01' | 49\u00b0 59' | 4460 \u00b1 60 | 2.0 | [14]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 4.46, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2,2,2,2
752cd554deafc1c0d51991a820704229eaffddd1fa2c79be22cd90155850ca36,lambeck1996b,sea_level_indicator,Dhahran,mineru_llm_3_4,26.216666,50.116666,reported,,1.2,MSL,other,marine_terrace,llm-extracted candidate,null,6.02,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[14],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Dhahran | 26\u00b0 13' | 50\u00b0 07' | 6020 \u00b1 80 | 1.2 | [14]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 6.02, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.2,1.2,1.2,1.2
00a0c333b6bb57d29f53a53d88e64fa698a4727f2fd78985d5e5945f1da359bf,lambeck1996b,sea_level_indicator,Lawdhan,mineru_llm_3_5,27.533333,49.2,reported,,3.0,MSL,other,marine_terrace,llm-extracted candidate,null,4.205,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[14],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Lawdhan | 27\u00b0 32' | 49\u00b0 12' | 4205 \u00b1 70 | 3.0 | [14]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 4.205, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3,3,3,3
cd688835ac8ddbd15f78705927cfeffa031c14244d0feffd4587a92ea93afc8d,lambeck1996b,sea_level_indicator,Al Jubayl Qatar,mineru_llm_3_6,27.166666,49.5,reported,,1.8,MSL,other,marine_terrace,llm-extracted candidate,null,3.81,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[16],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Al Jubayl Qatar | 27\u00b0 10' | 49\u00b0 30' | 3810 \u00b1 140 | 1.8 | [16]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 3.81, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.8,1.8,1.8,1.8
6ea3a41fef043fd33be8a76ee30dc5d4d0fcc85fb2bb82b6108e81f98974d796,lambeck1996b,sea_level_indicator,Khor,mineru_llm_3_7,25.4,51.533333,reported,,3.0,MSL,other,marine_terrace,llm-extracted candidate,null,4.28,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[15],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Khor | 25\u00b0 24' | 51\u00b0 32' | 4280 \u00b1 160 | 3.0 | [15]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 4.28, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3,3,3,3
d7692775624d08bb524c01e76f1a919e53602bc1d7dacaaa7895a377bc58348e,lambeck1996b,sea_level_indicator,Al Wusail,mineru_llm_3_8,25.5,51.5,reported,,2.0,MSL,other,marine_terrace,llm-extracted candidate,null,5.42,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[15],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Al Wusail | 25\u00b0 30' | 51\u00b0 30' | 5420 \u00b1 140 | 2.0 | [15]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 5.42, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2,2,2,2
818c7d32a4d3b02d644a255722b451290eb23c8438fa0bff307171695724a11f,lambeck1996b,sea_level_indicator,Bir Zekrit Musadan Peninsula,mineru_llm_3_9,25.6,50.833333,reported,,1.5,MSL,other,marine_terrace,llm-extracted candidate,null,4.95,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[15],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Bir Zekrit Musadan Peninsula | 25\u00b0 36' | 50\u00b0 50' | 4950 \u00b1 160 | 1.5 | [15]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 4.95, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.5,1.5,1.5,1.5
bd049e161f924c58bd0229d2ce9161e186856b6b1e73cd1c05c50142d1046b90,lambeck1996b,sea_level_indicator,Umm Al-Qayayn,mineru_llm_3_10,25.583333,55.583333,reported,,2.6,MSL,other,marine_terrace,llm-extracted candidate,null,6.0,radiocarbon years BP,Raised shoreline,Eastern Saudi Arabia and Quatar,[19],,0.9,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 1 Summary of observational evidence for sea-level change in the Persian Gulf and surrounds"", ""section"": null, ""quote_or_paraphrase"": ""Umm Al-Qayayn | 25\u00b0 35' | 55\u00b0 35' | 6000 | 2.6 | [19]""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon years BP"", ""relation"": ""unknown"", ""age_ka"": 6.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2.6,2.6,2.6,2.6
