id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
49c51f47ec8367ba3c15a6aa7d8299a4d4358b9501f112753be3f4877c0c77de,lebrec2022,sea_level_indicator,"Dampier, City of Karratha, Western Australia, 6713, Australia",page_19_feature_1,-20.6624798,116.7119013,inferred_text,5000.0,-16.0,MSL,reported,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,"Dampier, City of Karratha, Western Australia, 6713, Australia",Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.7,Extracted from page OCR block on page 19 with cue 'Fig. 16. Illustration of MSLD 20 features using satellite-derived bathymetry and regional DEM from Lebrec et al. (2021).' from source 'mineru_image'. Place name geocoded from query 'Dampier'.,"{""page"": ""19"", ""figure"": ""Fig. 16. Illustration of MSLD 20 features using satellite-derived bathymetry and regional DEM from Lebrec et al. (2021)."", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 16. Illustration of MSLD 20 features using satellite-derived bathymetry and regional DEM from Lebrec et al. (2021). At least three groups of sub-parallel relict features can be identified at depth of 16 m (r2), 18 m (r3) and 24 m (r4). Locally in nearshore area ridges can be observed in 3 m of water depth (r1). Unconsolidated relict sediments are often reworked to form modern bedforms attached to the relict ridges (rw). Relict ridges are continuous between Dampier and Broome except near fluvial systems such as the De Grey Delta where they are overlaid by modern sediments (m). text_image images/c6094a70d6e70a6f634d0727fdcf06c493cb5ddd8d88971c3aabaf78e79c44b4.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": 16.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",-16,-16,-16,-16
9188e7fb5f5674faded391b7a001f123f129b94de9fc631666c4cb9789e1ac6b,lebrec2022,sea_level_indicator,6.2.1. Beach shoreface,narrative_fallback_1,,,inferred_map,,-30.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-32.5, -27.5]",null,other,"submerged beach at 6.2.1. Beach shoreface, reported around 30 m depth",6.2.1. Beach shoreface,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""6.2.1. Beach shoreface"", ""quote_or_paraphrase"": ""nd were observed offshore Dampier and Broome in water depth of 30 m and 125 m, respectively. Individual clinothems are 1 to 5 m thick and extends over 600 m (Fig. 10). Such morphologies correspond to the description of \u201cshoreline clinoforms\u201d (Patruno and Helland-Hansen, 2018), which encompasses delta front and beach shoreface deposits. Given that no major fluvial systems are identified in their direct vicinity, we interpret these features as beach shoreface strata accumulated by wave processes. This interpretation is supported by the clinoforms angles, < 0.1 degree, which are below the expected threshold of delta front mouth bars (Cosgrove et al., 2018; Paumard et al., 2019; Paumard et al., 2020) and by the presence of relict beach ridges landward of the clinothems.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 30.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-30,-30,-30,-30
19a122539ed4a2ba17f3b3cc8a2d653d4aaf6f2cd0d76295183b50c762e0197b,lebrec2022,sea_level_indicator,6.3. Marine terraces,narrative_fallback_2,,,inferred_map,,-17.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-19.5, -14.5]",null,other,"marine terrace at 6.3. Marine terraces, reported around 17 m depth",6.3. Marine terraces,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""6.3. Marine terraces"", ""quote_or_paraphrase"": ""Sub-horizontal terraces are observed from both the bathymetry and the 2D seismic data at depths of 17, 35 and 90 m. They are characterised by gentle seaward dipping surfaces and are backed by a terrace riser (Fig. 12B\u2013E). Both criteria are distinctive morphologies of marine terraces formed through wave erosion (Anderson et al., 1999; Blanchon and Jones, 1995; Bradley, 1958). Similar features can be observed along the modern coast (Fig. 12E), confirming the nature of the terraces. Within the Dampier Archipelago, a terrace identified at 17 m of water depth from LiDAR bathymetry is rimmed by""}","{""reported_elevation_m"": null, ""reported_depth_m"": 17.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-17,-17,-17,-17
436f1754ebe822c6d8b19e5178df91f12795bdc6d05032df3e985dae2e998fa1,lebrec2022,sea_level_indicator,6.3. Marine terraces,narrative_fallback_3,,,inferred_map,,-35.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-37.5, -32.5]",null,other,"marine terrace at 6.3. Marine terraces, reported around 35 m depth",6.3. Marine terraces,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""6.3. Marine terraces"", ""quote_or_paraphrase"": ""Sub-horizontal terraces are observed from both the bathymetry and the 2D seismic data at depths of 17, 35 and 90 m. They are characterised by gentle seaward dipping surfaces and are backed by a terrace riser (Fig. 12B\u2013E). Both criteria are distinctive morphologies of marine terraces formed through wave erosion (Anderson et al., 1999; Blanchon and Jones, 1995; Bradley, 1958). Similar features can be observed along the modern coast (Fig. 12E), confirming the nature of the terraces. Within the Dampier Archipelago, a terrace identified at 17 m of water depth from LiDAR bathymetry is rimmed by""}","{""reported_elevation_m"": null, ""reported_depth_m"": 35.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-35,-35,-35,-35
c5fd7e0ab7a679ee33c1d1f520514b9bcfa61c0d52a58edb6982065f4062d727,lebrec2022,sea_level_indicator,6.3. Marine terraces,narrative_fallback_4,,,inferred_map,,-90.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-92.5, -87.5]",null,other,"marine terrace at 6.3. Marine terraces, reported around 90 m depth",6.3. Marine terraces,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""6.3. Marine terraces"", ""quote_or_paraphrase"": ""Sub-horizontal terraces are observed from both the bathymetry and the 2D seismic data at depths of 17, 35 and 90 m. They are characterised by gentle seaward dipping surfaces and are backed by a terrace riser (Fig. 12B\u2013E). Both criteria are distinctive morphologies of marine terraces formed through wave erosion (Anderson et al., 1999; Blanchon and Jones, 1995; Bradley, 1958). Similar features can be observed along the modern coast (Fig. 12E), confirming the nature of the terraces. Within the Dampier Archipelago, a terrace identified at 17 m of water depth from LiDAR bathymetry is rimmed by""}","{""reported_elevation_m"": null, ""reported_depth_m"": 90.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-90,-90,-90,-90
c58e943038d1d489cef5c08b4914f61dc464e33d6ed6508eff738f045fa959c1,lebrec2022,sea_level_indicator,8.1. Age and preservation of MSLD shorelines,narrative_fallback_5,,,inferred_map,,-127.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-129.5, -124.5]","""LGM""",stratigraphic_context,"submerged beach at 8.1. Age and preservation of MSLD shorelines, reported around 127 m depth",8.1. Age and preservation of MSLD shorelines,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""8.1. Age and preservation of MSLD shorelines"", ""quote_or_paraphrase"": ""This being said, a few comments can be made on the age and preservation of the Rowley Shelf MSLD shorelines. First, it should be noted that the LGM was identified at depths comprised between 121 and 125 m below sea level in the Bonaparte Basin (Sahul Shelf), further north along the NWS (Yokoyama et al., 2001a), which suggests that MSLD 125 could correspond to the LGM. This interpretation is further supported by age dating performed offshore Barrow Island, at IODP site U1461, that identified the LGM 14 m below the seabed, in water depth of 127 m (Ishiwa et al., 2019b), in line with the observation of MSLD 125 offshore Broome (Fig. 15D and B). Recent work on the Great Ba""}","{""reported_elevation_m"": null, ""reported_depth_m"": 127.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": ""LGM"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-127,-127,-127,-127
f16be55254fe581debf6dd575002794950fa6e746d1d4f850625e280e1311f6b,lebrec2022,sea_level_indicator,8.2. Influence of palaeoshorelines on shelf morphology,narrative_fallback_6,,,inferred_map,,-80.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-82.5, -77.5]",null,other,"marine terrace at 8.2. Influence of palaeoshorelines on shelf morphology, reported around 80 m depth",8.2. Influence of palaeoshorelines on shelf morphology,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""8.2. Influence of palaeoshorelines on shelf morphology"", ""quote_or_paraphrase"": ""ccumulate on the outer shelf, leaving relict features outcropping on most of the seabed (James et al., 2004; Jones, 1971; Jones, 1973). Interestingly, no kilometre-scale relict bioconstructed reefs, including coral-reef terraces, were observed along the Rowley Shelf during this study. This is in stark contrasts to the eastward facing Great Barrier Reef, along which relict linear reefs several km-long were identified at water depths of 80 m, 90 m, 100 m and 110 m (Webster et al., 2018). Along the Rowley Shelf, kilometre-scale linear features seem to be systematically formed by relict coastal features, as no morphologies characteristic of true coral reefs $( \\boldsymbol { \\mathrm { e . } } \\boldsymbol { \\mathrm { g . } } ,$ atoll morphologies, spurs and grooves, reef pass; see Khanna et al.,""}","{""reported_elevation_m"": null, ""reported_depth_m"": 80.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-80,-80,-80,-80
16849ab5f7220edfbcbea1fe4a16dfb3afad2a289fa1fe0f17f109608508893b,lebrec2022,sea_level_indicator,Port Smith lagoon,narrative_fallback_7,,,inferred_map,,-92.5,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-95.0, -90.0]",12.4,stratigraphic_context,"submerged beach at Port Smith lagoon, reported around 92.5 m depth",Port Smith lagoon,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""8.4. Implication for palaeoenvironment reconstruction"", ""quote_or_paraphrase"": ""In that regard, the largest relict ebb-tidal deltas, characteristic of tidal environments, belong to MSLD 105 and MSLD 80 shorelines (Fig. 11F\u2013G). They are associated with lagoons, filled by large accumulations of ooids and peloids, dated 15.7 to 12.4 ka BP (James et al., 2004), and extensive barriers, over 15 m high. Such accumulation of ooids and peloids were previously used to infer that the shelf was once bordered by a tide-influenced \u2018Bahama-like\u2019 platform (Dix et al., 2005; Gallagher et al., 2018), indicating a dry, sediment starved environment. Tide-influenced features are observed in shallower water depths, like in the vicinity of Port Smith lagoon, where ooids were described in a mode""}","{""reported_elevation_m"": null, ""reported_depth_m"": 92.5, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.4, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-92.5,-92.5,-92.5,-92.5
3991e4047da39ca77a7d0e490afe18187c60414f23fb12523714576274a242fb,lebrec2022,sea_level_indicator,9. Conclusions,narrative_fallback_8,,,inferred_map,,-20.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-22.5, -17.5]","""LGM""",stratigraphic_context,"marine terrace at 9. Conclusions, reported around 20 m depth",9. Conclusions,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""9. Conclusions"", ""quote_or_paraphrase"": ""merged relict coastal features spread evenly across the shelf from 5 to 145 m of water depth. Relict features of the Rowley Shelf belong to each of the categories identified from the review, apart from relict coral-reef terraces (i.e., coral reefs with a clear terrace morphology allowing location of palaeo sea level using geophysical data), which were not identified within the area of interest. Such a conclusion does not exclude the local presence of other types of drowned coral reefs that are out of the scope of this study. Relict features appear to be concentrated at specific water depths, which represent modal sea-level depths, at which the shoreline remained stable over longer periods of time. Over the Rowley Shelf, nine modal sea-levels were identified at depths of 20, 35, 50, 60, 70,""}","{""reported_elevation_m"": null, ""reported_depth_m"": 20.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": ""LGM"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-20,-20,-20,-20
494d3dff1a9d85cd5c97900aa894dc7930a0c4670fca4faa0f16bf64ac4cc124,lebrec2022,sea_level_indicator,9. Conclusions,narrative_fallback_9,,,inferred_map,,-35.0,MSL,reported,marine_terrace,narrative fallback: submerged geomorphic sea-level feature,"[-37.5, -32.5]","""LGM""",stratigraphic_context,"marine terrace at 9. Conclusions, reported around 35 m depth",9. Conclusions,Morphology and distribution of submerged palaeoshorelines: Insights from the North West Shelf of Australia,https://doi.org/10.1016/j.earscirev.2021.103864,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""9. Conclusions"", ""quote_or_paraphrase"": ""merged relict coastal features spread evenly across the shelf from 5 to 145 m of water depth. Relict features of the Rowley Shelf belong to each of the categories identified from the review, apart from relict coral-reef terraces (i.e., coral reefs with a clear terrace morphology allowing location of palaeo sea level using geophysical data), which were not identified within the area of interest. Such a conclusion does not exclude the local presence of other types of drowned coral reefs that are out of the scope of this study. Relict features appear to be concentrated at specific water depths, which represent modal sea-level depths, at which the shoreline remained stable over longer periods of time. Over the Rowley Shelf, nine modal sea-levels were identified at depths of 20, 35, 50, 60, 70,""}","{""reported_elevation_m"": null, ""reported_depth_m"": 35.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": ""LGM"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-35,-35,-35,-35
