id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
3719429216f152a50f0195b10b1e5625489587bf9870d18d0e72bc6849e61590,matthews1967,sea_level_indicator,"Frobisher, Saskatchewan, Canada",page_4_feature_1,49.2083214,-102.4277764,inferred_text,10000.0,574.0,MSL,SRTM15+V2,marine_terrace,page OCR extracted from figure/table/map block,null,null,other,"LATE QUATERNARY MARINE FOSSILS FROM FROBISHER BAY (BAFFIN ISLAND, N.W.T., CANADA)","Frobisher, Saskatchewan, Canada","LATE QUATERNARY MARINE FOSSILS FROM FROBISHER BAY (BAFFIN ISLAND, N.W.T., CANADA)",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Extracted from page OCR block on page 4 with cue 'Fig.2. Generalized diagram (not to scale) showing the probable relationships of the Late Quaternary marine terraces betw' from source 'mineru_chart'. Place name geocoded from query 'Frobisher'.,"{""page"": ""4"", ""figure"": ""Fig.2. Generalized diagram (not to scale) showing the probable relationships of the Late Quaternary marine terraces betw"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig.2. Generalized diagram (not to scale) showing the probable relationships of the Late Quaternary marine terraces between Frobisher and Apex Hill, Baffin Island. geo images/18932ddc2ec91bb4be25a28d289bc525ea981ba5e71a48eb783a062153a09020.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 574.0, ""applied_correction_m"": null, ""derived_elevation_m"": 574.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",574,574,574,574
35a53924cbcce3ff9779fef1362b3476489d0c814d6d2963c079e47305c0fd69,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_1,67.8618189,-69.6755585,inferred_text,10000.0,3.35,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Hiatella arctica LINNÉ shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Hiatella arctica LINN\u00c9 | 4(1) |  |  | 19(5) |  | (1?) | (1) | 11 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.35,3.35,3.35,3.35
bb40c2b725ffce611f68a5c608c258c9a96c008ab50741f10b523640a8a18f50,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_2,67.8618189,-69.6755585,inferred_text,10000.0,6.4,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Mya truncata LINNÉ shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Mya truncata LINN\u00c9 | 34(8) | 65.5(65) | 52(50) | 50(14) | 2.5(1) | (5) | (1) | 21 ft. (a) | 21 ft. (b) | 27 ft. | 30-40 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",6.4,6.4,6.4,6.4
d78857bebb356eba368e813bec507c32106ffc9ca57414304fce9a73a0d46690,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_3,67.8618189,-69.6755585,inferred_text,10000.0,3.35,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Macoma calcarea GMELIN shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Macoma calcarea GMELIN | 38(9) | 28.5(28) | 19(18) | 11(3) | 2.5(1) |  |  | 11 ft. | 21 ft. (a) | 21 ft. (b) | 27 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.35,3.35,3.35,3.35
ae4b040d1d4e6990ac833e96567e4fa83d97eab40c9c72d9820537ca77978b22,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_4,67.8618189,-69.6755585,inferred_text,10000.0,6.4,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Thyasira gouldi PHILIPPI shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Thyasira gouldi PHILIPPI |  | 1(1) |  |  | 2.5(1) |  |  | 21 ft. (a) | 30-40 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",6.4,6.4,6.4,6.4
b60c3189314142a8391257a2e6d929c412c9b79dc51fc983f87e100048a50b3b,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_5,67.8618189,-69.6755585,inferred_text,10000.0,9.14,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Portlandia arctica GRAY shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Portlandia arctica GRAY | 4(1) |  | 4(4) |  | 12.5(5) |  |  | 30-40 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",9.14,9.14,9.14,9.14
742ec097918a34e26f337af28ac199fc6e40b0f41844a89f0234a6039f69391c,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_6,67.8618189,-69.6755585,inferred_text,10000.0,8.23,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Axinopsida orbiculata G. O. SARS shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Axinopsida orbiculata G. O. SARS |  |  |  |  | 75(30) |  |  | 27 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",8.23,8.23,8.23,8.23
e62012ca460396ea75b7696232744064a2b2113f2dbdb7c64c01791ae6953fb8,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_7,67.8618189,-69.6755585,inferred_text,10000.0,8.23,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Yoldia fraterna VERRILL et BUSH shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Yoldia fraterna VERRILL et BUSH |  |  | 1(1) |  | 2.5(1) |  |  | 21 ft. (b) | 27 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",8.23,8.23,8.23,8.23
9927e1e6dabc104e78ffb8966103f837b6252f4b3583ff0cda3f0a00c30df1af,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_8,67.8618189,-69.6755585,inferred_text,10000.0,8.23,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Nucula delphinodonta MIGHELS et ADAMS shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Nucula delphinodonta MIGHELS et ADAMS |  |  |  |  | 2.5(1) |  |  | 27 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",8.23,8.23,8.23,8.23
d61de637f8823edd60bb8559ab3c91a87ed17ce00e57ea959a3d6c3f3ebbc0ec,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_9,67.8618189,-69.6755585,inferred_text,10000.0,6.4,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Mya pseudoarenaria SCHLESH shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Mya pseudoarenaria SCHLESH |  | 2 | 8.5 | 19 |  |  |  | 21 ft. (b) | 27 ft.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",6.4,6.4,6.4,6.4
f881eced0593c0f8e6c6b85e4b90719bf4febd000409134ffd89c769f868f59c,matthews1967,sea_level_indicator,Apex Hill,mineru_llm_3_10,67.8618189,-69.6755585,inferred_text,10000.0,6.4,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Frequency of Macoma balthica LINNÉ shells.,"Frobisher Bay, Baffin Island","Matthews, W.H. (1967). Late Quaternary Molluscs from Marine Terraces at Frobisher Bay.",https://doi.org/10.1016/0031-0182(67)90018-1,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Baffin Island'.,"{""page"": ""7"", ""figure"": ""TABLE II"", ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""Macoma balthica LINN\u00c9 |  |  | 12.5(12) |  |  |  |  | 21 ft. (b)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",6.4,6.4,6.4,6.4
