id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
f593a974b7183e4233001b23041b656a4e3cd3868960998f9d78fdc02c312ca1,mouslopoulou2015,sea_level_indicator,Marmara,MAR-1,40.6216407,27.6294272,inferred_text,10000.0,4.4,LAT,other,marine_terrace,llm-extracted candidate,null,"""1.626\u20131.266""",Radiocarbon,Radiocarbon samples MAR-1 (altitude 4.4 m) indicate paleoshoreline ages of 1626–1266 cal. yr BP.,South coast of Crete,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Marmara'.,"{""page"": ""4"", ""figure"": ""2(a)"", ""table"": ""1"", ""section"": null, ""quote_or_paraphrase"": ""Radiocarbon samples MAR-1 (altitude 4.4 m) and MAR-2 (altitude 10 m) indicate paleoshoreline ages of 1626\u20131266 and 33 775\u201332 682 cal. yr BP, respectively""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""1.626\u20131.266"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",4.4,4.4,4.4,4.4
7f68de19150b8aa12ac9be572e1a6fc48d14038ba58ad09e4f472896b04f1bcf,mouslopoulou2015,sea_level_indicator,Marmara,MAR-2,40.6216407,27.6294272,inferred_text,10000.0,10,LAT,other,marine_terrace,llm-extracted candidate,null,"""33.775\u201332.682""",Radiocarbon,"Radiocarbon samples MAR-2 (altitude 10 m) indicate paleoshoreline ages of 33,775–32,682 cal. yr BP.",South coast of Crete,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Marmara'.,"{""page"": ""4"", ""figure"": ""2(a)"", ""table"": ""1"", ""section"": null, ""quote_or_paraphrase"": ""Radiocarbon samples MAR-1 (altitude 4.4 m) and MAR-2 (altitude 10 m) indicate paleoshoreline ages of 1626\u20131266 and 33 775\u201332 682 cal. yr BP, respectively""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""33.775\u201332.682"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",10,10,10,10
84b261601c4e80944995c1a1203b57f83eb1dbd3b76f87539cb0acfc301777e5,mouslopoulou2015,sea_level_indicator,Western Crete,mineru_llm_2_3,,,inferred_map,,null,unknown,other,marine_terrace,llm-extracted candidate,null,0.365,Historical,The prominent 365 AD paleoshoreline mapped throughout western Crete is indicated by the red-line and records tectonic rock uplift during the Late Holocene.,Western Crete,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": ""2(a)"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""The prominent 365 AD paleoshoreline mapped throughout western Crete is indicated by the red-line and records tectonic rock uplift during the Late Holocene.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Historical"", ""relation"": ""unknown"", ""age_ka"": 0.365, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
bdb3dd7358dea7aaefdca9aad31357923bada422c91285810441126e586e6fb4,mouslopoulou2015,sea_level_indicator,Western Crete,mineru_llm_2_4,,,inferred_map,,null,unknown,other,wave_cut_notch_or_bench,Bio-physical erosion notch,null,null,other,Bio-physical erosion notches are widespread in western Crete where uplift and eustatic sea-level rise are inferred.,Western Crete,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.37,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": ""2(b)"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Bio-physical erosion notches are widespread in western Crete where uplift and eustatic sea-level rise are inferred.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
837c1c45ee6add9e12f2dd7ec1c7cdb58c747ed43f237bd06655c9bf79c02310,mouslopoulou2015,sea_level_indicator,Western Crete,mineru_llm_2_5,,,inferred_map,,null,unknown,other,intertidal_bioconstruction,Bioconstructions,null,null,other,Bioconstructions are characteristic of the lower littoral and uppermost sublittoral zone and are preserved in many places in western Crete at altitudes higher than sea-level.,Western Crete,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.37,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""4"", ""figure"": ""2(b)"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Bioconstructions are characteristic of the lower littoral and uppermost sublittoral zone and are preserved in many places in western Crete at altitudes higher than sea-level.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
d58e8f0127a3fe1201b3458cc712394d873f70c2010f904067d464f635e6eb0d,mouslopoulou2015,sea_level_indicator,Paleochora (P),mineru_llm_3_1,,,inferred_map,,null,unknown,other,marine_terrace,prominent paleoshoreline,null,"""365 AD""",historical event (Common Era),Red arrow indicates the 365 AD prominent paleoshoreline recognised along the entire western Crete coastline.,Paleochora,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Fig. 3"", ""figure"": ""Fig. 3"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Red arrow indicates the 365 AD prominent paleoshoreline recognised along the entire western Crete coastline.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""historical event (Common Era)"", ""relation"": ""unknown"", ""age_ka"": ""365 AD"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
21c3154ff04b36007ca6163922451d5be5d0d0782d44932e341e040d283b37fe,mouslopoulou2015,sea_level_indicator,Zakros,mineru_llm_3_2,,,inferred_map,,null,unknown,other,marine_terrace,lower surface,null,"""19,317\u201318,950 cal. yr BP""",Calibrated radiocarbon,Two lower surfaces of a flight of marine terraces.,Zakros,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Fig. 3"", ""figure"": ""Fig. 3"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""the two lower surfaces have been dated at 19 317\u201318 950 cal. yr BP (ZAK-B)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Calibrated radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""19,317\u201318,950 cal. yr BP"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
1e9a9fa068b64906c489771c5195f298eb675839e7e5b294d47d7a61cf620314,mouslopoulou2015,sea_level_indicator,Zakros,mineru_llm_3_3,,,inferred_map,,null,unknown,other,marine_terrace,surface,null,"""36,069\u201334,875 cal. yr BP""",Calibrated radiocarbon,Surface of a flight of marine terraces.,Zakros,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Fig. 3"", ""figure"": ""Fig. 3"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""36 069\u201334 875 cal. yr BP (ZAK-A)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Calibrated radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""36,069\u201334,875 cal. yr BP"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
3ef80f36ceaebd32797c657d2887dda8eb0a6d64994bf27015b5662367735fa7,mouslopoulou2015,sea_level_indicator,Lissos,mineru_llm_3_4,,,inferred_map,,4.5,MSL,other,beachrock,Radiocarbon sample Lis-4.5,null,"""3,292\u20132,818 cal. yr BP""",Calibrated radiocarbon,Dated beachrock and paleoshorelines at altitude 4.5 m.,Lissos,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Fig. 3"", ""figure"": ""Fig. 3"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Radiocarbon samples Lis-4.5 (altitude 4.5 m) and Lis-2.5 (altitude 2.5 m) indicate paleoshoreline ages of 3292\u20132818 and 4768\u20134225 cal. yr BP, respectively""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Calibrated radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""3,292\u20132,818 cal. yr BP"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",4.5,4.5,4.5,4.5
877d39c7da9a21a55a3aac431d8361bd8652269eea117924b919997e9d810dc0,mouslopoulou2015,sea_level_indicator,Lissos,mineru_llm_3_5,,,inferred_map,,2.5,MSL,other,beachrock,Radiocarbon sample Lis-2.5,null,"""4,768\u20134,225 cal. yr BP""",Calibrated radiocarbon,Dated beachrock and paleoshorelines at altitude 2.5 m.,Lissos,mouslopoulou2015.pdf,https://doi.org/10.1016/j.epsl.2015.09.007,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""Fig. 3"", ""figure"": ""Fig. 3"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Radiocarbon samples Lis-4.5 (altitude 4.5 m) and Lis-2.5 (altitude 2.5 m) indicate paleoshoreline ages of 3292\u20132818 and 4768\u20134225 cal. yr BP, respectively""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Calibrated radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""4,768\u20134,225 cal. yr BP"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2.5,2.5,2.5,2.5
