id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
cea498642335e4422a898798382e008658fee8fdc7d7f96e05b550c7c2ef6927,peterson2016,sea_level_indicator,"gully with profile in Holocene alluvio-colluvial deposits, Central Tigray, ትግራይ تجراى, ኢትዮጵያ",page_7_feature_1,13.6360967,39.2378927,inferred_text,10000.0,2129.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA","gully with profile in Holocene alluvio-colluvial deposits, Central Tigray, ትግራይ تجراى, ኢትዮጵያ","Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.7,Extracted from page OCR block on page 7 with cue 'Fig. 11. Isopach map of Holocene fill (10 m depth contours) in the defined Grays Harbor basin includes sand spit barrier' from source 'mineru_image'. Place name geocoded from query 'Holocene'.,"{""page"": ""7"", ""figure"": ""Fig. 11. Isopach map of Holocene fill (10 m depth contours) in the defined Grays Harbor basin includes sand spit barrier"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 11. Isopach map of Holocene fill (10 m depth contours) in the defined Grays Harbor basin includes sand spit barriers (shaded), seismic profile lines (lines), drill holes (squares), industry borehole sites (circles), and sectors (dashed lines) lettered A\u2013G. Map coordinates are in UTM-10N kilometers, northing (N) and easting (E). text_image images/a38b325b83fe80a17f11fb4f927c3f8ca603fe8491d705768b425e690795c376.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 2129.0, ""applied_correction_m"": null, ""derived_elevation_m"": 2129.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",2129,2129,2129,2129
b4713b438229adf316950004918689889e8ce5524c4670b185ba2d6e55a366fe,peterson2016,sea_level_indicator,OS1,mineru_llm_3_1,46.584,-123.642,reported,,-40,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 40 m with relative age H.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site OS1. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""40 m (H)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-40,-40,-40,-40
c76ae8697f16af1c8ee7cc9d0129ad73152d6a32a354f4aba5771077bcb4a98c,peterson2016,sea_level_indicator,OS2,mineru_llm_3_2,46.584,-123.642,reported,,-31,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 31 m with relative age P.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site OS2. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""31 m (P)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-31,-31,-31,-31
80aba068b04ad7550f9364e08ac0970969638d501fcfeb158d8385e7f82dbab7,peterson2016,sea_level_indicator,OS3,mineru_llm_3_3,46.584,-123.654,reported,,-15,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of approximately 15 m with relative age P.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site OS3. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""~15 m (P)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-15,-15,-15,-15
7876d42c34184bf723993467993b4c934e884faed6e58915c9fd281b69733f90,peterson2016,sea_level_indicator,GW23,mineru_llm_3_4,46.611,-123.638,reported,,-39,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 39 m with relative age H.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site GW23. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""39 m (H)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-39,-39,-39,-39
153ec21488a87070b0f1c317f0fa348d41018bb2957dcb675d56e3cd8819299b,peterson2016,sea_level_indicator,Drill core 5,mineru_llm_3_5,46.611,-123.653,reported,,-6,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 6 m with relative age P.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for Drill core 5. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""6 m (P)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-6,-6,-6,-6
8e720ad2c0b8df70419fb78ffebae1d99dd70ff70c734fd9166cff4c7aec0152,peterson2016,sea_level_indicator,BH62,mineru_llm_3_6,46.683,-123.617,reported,,-56,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 56 m with relative age H.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site BH62. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""56 m (H)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-56,-56,-56,-56
70ad6043b74c2c33f258334057538a9c5a72d4af8ab6204539a37a20eb6a2020,peterson2016,sea_level_indicator,BH21,mineru_llm_3_7,46.71,-123.61,reported,,-62,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 62 m with relative age P.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site BH21. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""62 m (P)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-62,-62,-62,-62
1cfbe4c332a1d31a3cb63acdfcd5b3904a73d5a844e25f82d673f8e7209261dc,peterson2016,sea_level_indicator,BH35,mineru_llm_3_8,46.72,-123.604,reported,,-40,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 40 m with relative age P.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site BH35. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""40 m (P)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-40,-40,-40,-40
14be07a19df2589cab5f13ee0fb3b3d9259000017bab0e0831ef51f28dedc8a8,peterson2016,sea_level_indicator,A3,mineru_llm_3_9,46.722,-123.605,reported,,-38,MSL,reported,marine_over_terrestrial_contact,llm-extracted candidate,null,null,other,Basal deposit depth of 38 m with relative age H.,Grays Harbor,"Accommodation space controls on incised-valley sediment accumulation rates during the Holocene marine transgression (0–11 ka) in Grays Harbor, a large meso-tidal estuary, Washington, USA",https://doi.org/10.1016/j.margeo.2016.06.012,0.75,UTM coordinates converted for site A3. No contextual geocode result was found.,"{""page"": ""3"", ""figure"": ""Table 1"", ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""38 (H)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-38,-38,-38,-38
