id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
d5c7c5a96f118e3cbe46bea47eaf34616aba3eb351dbeb549b7bf1e4c38dc97f,rokoengen1982,sea_level_indicator,Boring 1003,T-2987,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",11.09,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1003; sample depth below seabed 7.5 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1003 | 7.5 | 11,090 \u00b1 130 | T-2987""}","{""reported_elevation_m"": null, ""reported_depth_m"": 7.5, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 11.09, ""uncertainty_ka"": 0.13, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
521876f5aaec820083d090dd17cd40e0642923911aa1bdda94134e0760ccee0c,rokoengen1982,sea_level_indicator,Boring 1003,T-2986,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",12.31,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1003; sample depth below seabed 15.0 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1003 | 15.0 | 12,310 \u00b1 170 | T-2986""}","{""reported_elevation_m"": null, ""reported_depth_m"": 15.0, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 12.31, ""uncertainty_ka"": 0.17, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
f9206ffd9eafb26e7c33c361e8f60e8807c59ee410f9d2ca3554313b70647f29,rokoengen1982,sea_level_indicator,Boring 1005,T-2988,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",12.54,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1005; sample depth below seabed 19.2 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1005 | 19.2 | 12,540 \u00b1 140 | T-2988""}","{""reported_elevation_m"": null, ""reported_depth_m"": 19.2, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 12.54, ""uncertainty_ka"": 0.14, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
2b31b6ef0f29ff7ca52e23e40d1857abf2c6833e1cf733af18a14cb970e9f97c,rokoengen1982,sea_level_indicator,Boring 1005,T-2989,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",12.37,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1005; sample depth below seabed 23.0 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1005 | 23.0 | 12,370 \u00b1 170 | T-2989""}","{""reported_elevation_m"": null, ""reported_depth_m"": 23.0, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 12.37, ""uncertainty_ka"": 0.17, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
0ad719b96a3bca4002d8b6b37e066c63d3961d43cab25b32e97c9dc3ab954792,rokoengen1982,sea_level_indicator,Boring 1021,T-2985,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",12.22,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1021; sample depth below seabed 20.6 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1021 | 20.6 | 12,220 \u00b1 260 | T-2985""}","{""reported_elevation_m"": null, ""reported_depth_m"": 20.6, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 12.22, ""uncertainty_ka"": 0.26, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
57430fc7a10456fb67b2a3ea52d2e60f1b702405e13372eb12dc0f87017bf47a,rokoengen1982,sea_level_indicator,Boring 1019,T-2984,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",11.22,radiocarbon,Radiocarbon-dated shell/sample material from Boring 1019; sample depth below seabed 12.8 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""Boring 1019 | 12.8 | 11,220 \u00b1 140 | T-2984""}","{""reported_elevation_m"": null, ""reported_depth_m"": 12.8, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 11.22, ""uncertainty_ka"": 0.14, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
fbb6673321b82b8ec06a0672999f5534de8da3a3fae79cea596a817f15b303dc,rokoengen1982,sea_level_indicator,A79-162,T-3825,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",9.14,radiocarbon,Radiocarbon-dated shell/sample material from A79-162; sample depth below seabed 0.3 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""A79-162 | 0.3 | 9,140 \u00b1 130 | T-3825""}","{""reported_elevation_m"": null, ""reported_depth_m"": 0.3, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.14, ""uncertainty_ka"": 0.13, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
7763f161d87634d362de0de5f91230a10b7a65129c84245d9dbbaccc6903384d,rokoengen1982,sea_level_indicator,A79-162,T-3607,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",10.82,radiocarbon,Radiocarbon-dated shell/sample material from A79-162; sample depth below seabed 1.0 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""A79-162 | 1.0 | 10,820 \u00b1 140 | T-3607""}","{""reported_elevation_m"": null, ""reported_depth_m"": 1.0, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 10.82, ""uncertainty_ka"": 0.14, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
b35071575395cd31d406711cbd5e5257dd6dfec5a516a48895324f048e3a5a14,rokoengen1982,sea_level_indicator,A79-159,T-3826,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",12.09,radiocarbon,Radiocarbon-dated shell/sample material from A79-159; sample depth below seabed 0.7 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""A79-159 | 0.7 | 12,090 \u00b1 170 | T-3826""}","{""reported_elevation_m"": null, ""reported_depth_m"": 0.7, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 12.09, ""uncertainty_ka"": 0.17, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
93231f9eaef9a2ede502148d9417466afc2b8f29be9acbe0b2c915c63d7da3c9,rokoengen1982,sea_level_indicator,A79-159,T-3606,,,inferred_map,,-145.0,MSL,reported,submerged_beach,MinerU radiocarbon shell depth table,"[-160.0, -130.0]",11.59,radiocarbon,Radiocarbon-dated shell/sample material from A79-159; sample depth below seabed 1.1 m.,Northern North Sea Plateau,Letter Section,https://doi.org/10.1016/0025-3227(82)90056-1,0.55,Extracted from MinerU table of radiocarbon ages below seabed. Indicator elevation uses source-level submerged beach water-depth context when available; sample depth below seabed is retained as a reported observation note. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": null, ""table"": ""Fig. 5. Vibrocore samples with radiocarbon dates.  TABLE I  Radiocarbon ages of shell and shell fragments dated by the Radiological Laboratory in Trondheim"", ""section"": null, ""quote_or_paraphrase"": ""A79-159 | 1.1 | 11,590 \u00b1 150 | T-3606""}","{""reported_elevation_m"": null, ""reported_depth_m"": 1.1, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 11.59, ""uncertainty_ka"": 0.15, ""material"": ""shell material"", ""notes"": ""Age extracted from MinerU structured table.""}]",-145,-145,-145,-145
