id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
85614b1590a968f699e3d14f7218d3de8565cf668a07bb972958c0b8ac74fb8b,smith1936,sea_level_indicator,"Black Rock, Brighton",mineru_llm_1_1,50.8145411,-0.1111537,inferred_text,10000.0,14.0,MSL,SRTM15+V2,raised_beach,llm-extracted candidate,null,null,other,"Plan of cliffs at Black Rock, Brighton, showing points where levels in the Raised Beach have been taken.","Black Rock, Brighton",smith1936.pdf,,0.7,"Optional Ollama interpretation output. Geocoded from contextual query 'Black Rock, Brighton'.","{""page"": ""2"", ""figure"": ""TEXT-FIG. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""TEXT-FIG. 1.\u2014Plan of Cliffs at Black Rock, Brighton, showing points at which levels in the Raised Beach have been taken. The encircled numbers mark the sites at which measurements of the top and base of the Raised Beach were made. (Published by permission of the Borough Engineer.)""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 14.0, ""applied_correction_m"": null, ""derived_elevation_m"": 14.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",14,14,14,14
abaa2117f9bab7e5fdf8d0d6d3f15c29889f3f7b28e791e9ca8230684467c564,smith1936,sea_level_indicator,1,mineru_llm_3_1,69.1757695,17.952548,inferred_text,10000.0,26.5,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,1,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '1'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 1: Top ofRaised Beach 26\u00b75""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",26.5,26.5,26.5,26.5
11d72c3f33758e49a137e4bf7808e1523588690567295215c5b050a8e4fe2452,smith1936,sea_level_indicator,2,mineru_llm_3_2,69.1900344,18.0011601,inferred_text,10000.0,29.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,2,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '2'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 2: Top ofRaised Beach 29\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",29,29,29,29
9f6c3cf7ee07bd82cf4a349a8af716d075ec1115d7f4109fe34af365799a6710,smith1936,sea_level_indicator,3,mineru_llm_3_3,39.553048,-91.158606,inferred_text,10000.0,35.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,3,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '3'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 3: Top ofRaised Beach 35\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",35,35,35,35
0aa4aa6991de0b25140402a1e5c4e0186e516dc26fb0c6926188b4d60fc10f12,smith1936,sea_level_indicator,4,mineru_llm_3_4,59.8634597,10.5649589,inferred_text,10000.0,36.5,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,4,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '4'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 4: Top ofRaised Beach 36\u00b75 +""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",36.5,36.5,36.5,36.5
60c626cb6170769f5975cefc70216d83581cc23f0dddaf852e6fd6946ccb86b0,smith1936,sea_level_indicator,5,mineru_llm_3_5,59.8633293,10.567855,inferred_text,10000.0,38.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,5,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '5'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 5: Top ofRaised Beach 38\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",38,38,38,38
3032554ad9b77f98c1a5597151f7a5c9351251c210656efa9dcb0da6e6b6b34a,smith1936,sea_level_indicator,6,mineru_llm_3_6,33.2627128,-7.9639028,inferred_text,10000.0,39.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach,6,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query '6'.,"{""page"": ""4"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Site 6: Top ofRaised Beach ? 39\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",39,39,39,39
93a3c9891b1da6b15dbe91baecbf04b7dd9a93528d7f71a283cc29caabe84ad2,smith1936,sea_level_indicator,Site 1,mineru_llm_4_1,-0.5104205,36.3214805,inferred_text,10000.0,26.5,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach elevation is 26.5.,Site 1,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Site 1'.,"{""page"": ""3"", ""figure"": null, ""table"": ""mineru_table page 3: table"", ""section"": null, ""quote_or_paraphrase"": ""Top ofRaised Beach. 26\u00b75""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",26.5,26.5,26.5,26.5
cfcc4d435aa8cc52b7af42508263757657eb5a437d6f6767cf1c33dee5283a1e,smith1936,sea_level_indicator,Site 2,mineru_llm_4_2,6.0596267,31.4941656,inferred_text,10000.0,29.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach elevation is 29.0.,Site 2,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Site 2'.,"{""page"": ""3"", ""figure"": null, ""table"": ""mineru_table page 3: table"", ""section"": null, ""quote_or_paraphrase"": ""Top ofRaised Beach. 29\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",29,29,29,29
f06ab5b3d4e21be12bbdb3f83e749f1e3661ee6549750f6b52d38c4d752fbfea,smith1936,sea_level_indicator,Site 3,mineru_llm_4_3,6.0503447,31.480363,inferred_text,10000.0,35.0,unknown,other,raised_beach,llm-extracted candidate,null,null,other,Top of Raised Beach elevation is 35.0.,Site 3,smith1936.pdf,,0.7,Optional Ollama interpretation output. Geocoded from contextual query 'Site 3'.,"{""page"": ""3"", ""figure"": null, ""table"": ""mineru_table page 3: table"", ""section"": null, ""quote_or_paraphrase"": ""Top ofRaised Beach. 35\u00b70""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",35,35,35,35
