id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
f2ca1dee2068e590f6c4b6bd3726097a44d48288ca987cd657a93831db21394c,soerensen2010,marine_limiting,"Sparkær, Viborg",K-7098,56.492463291390536,9.141105168509227,inferred_map,1000.0,16.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,0.0,radiocarbon,"Specimen 01: B. mysticetus/E. glacialis Vertebra from Sparkær, Viborg; 14C age Modern; calibrated age 0.","Sparkær, Viborg","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '01'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""01 | B. mysticetus/E. glacialis | Vertebra | 3/1909 | Spark\u00e6r, Viborg | Conv. | K-7098 | Modern | -15.4 | 0 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 16.0, ""applied_correction_m"": null, ""derived_elevation_m"": 16.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""equal"", ""age_ka"": 0.0, ""uncertainty_ka"": null, ""material"": ""B. mysticetus/E. glacialis; Vertebra; ZMUC 3/1909; delta13C -15.4"", ""notes"": ""14C age Modern; calibrated age BP 0; method Conv..""}]",16,16,16,16
c4f3178e2566fd8445c815ab2457a1a4420a66f39993551463896c261417bdbf,soerensen2010,marine_limiting,"Føns sogn, Odense",K-7100,55.43051965193214,9.80121853724026,inferred_map,1000.0,3.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,0.0,radiocarbon,"Specimen 02: B. acutorostrata Skull, occipital part from Føns sogn, Odense; 14C age Modern; calibrated age 0.","Føns sogn, Odense","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '02'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""02 | B. acutorostrata | Skull, occipital part | 22/1951 | F\u00f8ns sogn, Odense | Conv. | K-7100 | Modern | -14.7 | 0 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 3.0, ""applied_correction_m"": null, ""derived_elevation_m"": 3.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""equal"", ""age_ka"": 0.0, ""uncertainty_ka"": null, ""material"": ""B. acutorostrata; Skull, occipital part; ZMUC 22/1951; delta13C -14.7"", ""notes"": ""14C age Modern; calibrated age BP 0; method Conv..""}]",3,3,3,3
7e9dfa69ba2cbdd9029d618d0368c00fd7821904d5c5f8a6f7d7be7af59d4bf5,soerensen2010,marine_limiting,"Hedegårdene, Vejle",K-7101,55.84707288211481,9.207986543079658,inferred_map,1000.0,81.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,0.0,radiocarbon,"Specimen 03: B. physalus Cervical vertebra from Hedegårdene, Vejle; 14C age Modern; calibrated age 0.","Hedegårdene, Vejle","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '03'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""03 | B. physalus | Cervical vertebra | 19/1939 | Hedeg\u00e5rdene, Vejle | Conv. | K-7101 | Modern | -13.5 | 0 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 81.0, ""applied_correction_m"": null, ""derived_elevation_m"": 81.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""equal"", ""age_ka"": 0.0, ""uncertainty_ka"": null, ""material"": ""B. physalus; Cervical vertebra; ZMUC 19/1939; delta13C -13.5"", ""notes"": ""14C age Modern; calibrated age BP 0; method Conv..""}]",81,81,81,81
b371d62bf702e4f9fda50204a7ca24e338bc1872520146937dc6f650ce8eeadb,soerensen2010,marine_limiting,"Grærup, Ribe",K-6799,55.63896424744688,8.134168918032202,inferred_map,1000.0,6.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.0, 0.26]",radiocarbon,"Specimen 04: O. orca Rib from Grærup, Ribe; 14C age 25 ± 70; calibrated age 0-260.","Grærup, Ribe","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '04'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""04 | O. orca | Rib | 4/1932 | Gr\u00e6rup, Ribe | Conv. | K-6799 | 25 \u00b1 70 | -11.5 | 0-260 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 6.0, ""applied_correction_m"": null, ""derived_elevation_m"": 6.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.0, 0.26], ""uncertainty_ka"": 0.07, ""material"": ""O. orca; Rib; ZMUC 4/1932; delta13C -11.5"", ""notes"": ""14C age 25 \u00b1 70; calibrated age BP 0-260; method Conv..""}]",6,6,6,6
26bfbdef5f65ecb0f6b2a2c76870603c716499b77d1255f7667963a88fd97d14,soerensen2010,marine_limiting,"Kolding Fjord, Vejle",K-6798,55.49610008649572,9.514526176527461,inferred_map,1000.0,4.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.0, 0.26]",radiocarbon,"Specimen 05: H. ampullatus Vertebra from Kolding Fjord, Vejle; 14C age 50 ± 70; calibrated age 0-260.","Kolding Fjord, Vejle","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '05'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""05 | H. ampullatus | Vertebra | 40a/1968 | Kolding Fjord, Vejle | Conv. | K-6798 | 50 \u00b1 70 | -13.1 | 0-260 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 4.0, ""applied_correction_m"": null, ""derived_elevation_m"": 4.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.0, 0.26], ""uncertainty_ka"": 0.07, ""material"": ""H. ampullatus; Vertebra; ZMUC 40a/1968; delta13C -13.1"", ""notes"": ""14C age 50 \u00b1 70; calibrated age BP 0-260; method Conv..""}]",4,4,4,4
79518d40f27ad498c3f473885ca6c19088580abb19f74356fe96c55b0ba81e9e,soerensen2010,marine_limiting,"Hindsgaul, Odense",K-6765,55.50271546574815,9.678957680541448,inferred_map,1000.0,-10.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.0, 0.26]",radiocarbon,"Specimen 06: T. truncatus Skull from Hindsgaul, Odense; 14C age 110 ± 50; calibrated age 0-260.","Hindsgaul, Odense","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '06'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""06 | T. truncatus | Skull | 93/1946 | Hindsgaul, Odense | Conv. | K-6765 | 110 \u00b1 50 | -11.8 | 0-260 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -10.0, ""applied_correction_m"": null, ""derived_elevation_m"": -10.0, ""derived_depth_m"": 10.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.0, 0.26], ""uncertainty_ka"": 0.05, ""material"": ""T. truncatus; Skull; ZMUC 93/1946; delta13C -11.8"", ""notes"": ""14C age 110 \u00b1 50; calibrated age BP 0-260; method Conv..""}]",-10,-10,-10,-10
29945c29e8adca0a866d50b518b07d70cd0b2d961104a071dbde7d911f878fb6,soerensen2010,marine_limiting,"Søborg Ruin, Frederiksborg",K-6795,56.11437169885135,12.322848706653236,inferred_map,1000.0,12.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.56, 0.72]",radiocarbon,"Specimen 07: M. novaeangliae Vertebra from Søborg Ruin, Frederiksborg; 14C age 705 ± 75; calibrated age 560-720.","Søborg Ruin, Frederiksborg","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '07'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""07 | M. novaeangliae | Vertebra | 111/1943 | S\u00f8borg Ruin, Frederiksborg | Conv. | K-6795 | 705 \u00b1 75 | -14.6 | 560-720 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 12.0, ""applied_correction_m"": null, ""derived_elevation_m"": 12.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.56, 0.72], ""uncertainty_ka"": 0.075, ""material"": ""M. novaeangliae; Vertebra; ZMUC 111/1943; delta13C -14.6"", ""notes"": ""14C age 705 \u00b1 75; calibrated age BP 560-720; method Conv..""}]",12,12,12,12
86fd8a0b313ea77b15bdcfff5d1786e3f4dec18df37d5188d2b30bdb61011bb6,soerensen2010,marine_limiting,"Poulsker, Bornholm",K-6804,55.003328828755905,15.068623780014033,inferred_map,1000.0,17.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.8, 1.05]",radiocarbon,"Specimen 08: Balaenoptera sp. Vertebra from Poulsker, Bornholm; 14C age 1015 ± 70; calibrated age 800-1,050.","Poulsker, Bornholm","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '08'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""08 | Balaenoptera sp. | Vertebra | 325/1982 | Poulsker, Bornholm | Conv. | K-6804 | 1015 \u00b1 70 | -14.8 | 800-1,050 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 17.0, ""applied_correction_m"": null, ""derived_elevation_m"": 17.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.8, 1.05], ""uncertainty_ka"": 0.07, ""material"": ""Balaenoptera sp.; Vertebra; ZMUC 325/1982; delta13C -14.8"", ""notes"": ""14C age 1015 \u00b1 70; calibrated age BP 800-1,050; method Conv..""}]",17,17,17,17
c2aafa203fc7c17e6e53637638e513c5ae311a8ab62817887209547df0d35284,soerensen2010,marine_limiting,"Dänische Wiek, Greifswalder Bodden, Germany",K-7095,54.10626673799996,13.489421047654389,inferred_map,1000.0,-2.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[0.93, 1.12]",radiocarbon,"Specimen 09: Mysticeti Cervical vertebra from Dänische Wiek, Greifswalder Bodden, Germany; 14C age 1110 ± 70; calibrated age 930-1,120.","Dänische Wiek, Greifswalder Bodden, Germany","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '09'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""09 | Mysticeti | Cervical vertebra | 28/1999 | D\u00e4nische Wiek, Greifswalder Bodden, Germany | Conv. | K-7095 | 1110 \u00b1 70 | -11.8 | 930-1,120 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -2.0, ""applied_correction_m"": null, ""derived_elevation_m"": -2.0, ""derived_depth_m"": 2.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [0.93, 1.12], ""uncertainty_ka"": 0.07, ""material"": ""Mysticeti; Cervical vertebra; ZMUC 28/1999; delta13C -11.8"", ""notes"": ""14C age 1110 \u00b1 70; calibrated age BP 930-1,120; method Conv..""}]",-2,-2,-2,-2
c60592cb3f5053587c8111e618ce61f5679782a5b57ba6b7077611ca0037ca57,soerensen2010,marine_limiting,"Lønstrup, Hjørring",K-7097,57.47103321215619,9.765559120703104,inferred_map,1000.0,-11.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[1.27, 1.39]",radiocarbon,"Specimen 10: B. mysticetus/E. glacialis Mandible from Lønstrup, Hjørring; 14C age 1400 ± 75; calibrated age 1,270-1,390.","Lønstrup, Hjørring","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '10'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""10 | B. mysticetus/E. glacialis | Mandible | 37/1897 | L\u00f8nstrup, Hj\u00f8rring | Conv. | K-7097 | 1400 \u00b1 75 | -15.5 | 1,270-1,390 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -11.0, ""applied_correction_m"": null, ""derived_elevation_m"": -11.0, ""derived_depth_m"": 11.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [1.27, 1.39], ""uncertainty_ka"": 0.075, ""material"": ""B. mysticetus/E. glacialis; Mandible; ZMUC 37/1897; delta13C -15.5"", ""notes"": ""14C age 1400 \u00b1 75; calibrated age BP 1,270-1,390; method Conv..""}]",-11,-11,-11,-11
7ed4f246ed26784f3d93989c9e8e55343d5efced2c6ae72a579d55b3e52d7c4e,soerensen2010,marine_limiting,"Strandby, Hjørring",K-6820,57.49841579353383,10.473653249083716,inferred_map,1000.0,2.0,MSL,SRTM15+V2,subtidal_facies,radiocarbon-dated subfossil cetacean remain; marine limiting,null,"[1.31, 1.51]",radiocarbon,"Specimen 11: B. mysticetus Radius from Strandby, Hjørring; 14C age 1500 ± 65; calibrated age 1,310-1,510.","Strandby, Hjørring","Late Pleistocene and Holocene whale remains (Cetacea) from Denmark and adjacent countries: Species, distribution, chronology, and trace element concentrations",https://doi.org/10.1111/j.1748-7692.2009.00356.x,0.75,Extracted from Soerensen et al. Table 2 of dated subfossil whale remains. Cetacean remains are treated as marine-limiting constraints; no source elevation was reported in the table. Coordinate taken from authoritative manual geocode table soerensen2010.geojson using key '11'.,"{""page"": ""6"", ""figure"": null, ""table"": ""oratores. e carate ate s gven as te outer ounares coverng t C is the stable isotope ratio C/C measured against Vienna Pee Dee Belemnite (VPDB, the intern iThlibddiihbdiihil\u00b11 on dating has been performed by the conventional method by use of a proportional counter (Conv. 1312) e wae emans an e esus o e aocaon ang ( o e ae specmens pus one ts; see Table 5). The column \u201cElement dated\u201d indicates which part of the whale has been sampled. Th dhlridthrltfthrdirbdti16fthdtdil"", ""section"": null, ""quote_or_paraphrase"": ""11 | B. mysticetus | Radius | 103/1946 | Strandby, Hj\u00f8rring | Conv. | K-6820 | 1500 \u00b1 65 | -13.5 | 1,310-1,510 | ""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 2.0, ""applied_correction_m"": null, ""derived_elevation_m"": 2.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""radiocarbon"", ""relation"": ""range"", ""age_ka"": [1.31, 1.51], ""uncertainty_ka"": 0.065, ""material"": ""B. mysticetus; Radius; ZMUC 103/1946; delta13C -13.5"", ""notes"": ""14C age 1500 \u00b1 65; calibrated age BP 1,310-1,510; method Conv..""}]",2,2,2,2
