id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
d0b4cba5f4201b6b008acfb528221dc807a03e845443fb563dd168b68c140f90,spampinato2012,sea_level_indicator,"Taormina, Messina, Sicilia, 98039, Italia",page_13_feature_1,37.8512218,15.2830191,inferred_text,10000.0,220.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,"Raised Holocene paleo-shorelines along the Capo Schisò coast, Taormina: New evidence of recent co-seismic deformation in northeastern Sicily (Italy)","Taormina, Messina, Sicilia, 98039, Italia","Raised Holocene paleo-shorelines along the Capo Schisò coast, Taormina: New evidence of recent co-seismic deformation in northeastern Sicily (Italy)",https://doi.org/10.1016/j.jog.2011.11.007,0.7,Extracted from page OCR block on page 13 with cue 'Fig. 8. (a) Sketch map of Taormina region showing the average uplift rates of the Holocene paleo-shorelines in the disti' from source 'mineru_image'. Place name geocoded from query 'Taormina'.,"{""page"": ""13"", ""figure"": ""Fig. 8. (a) Sketch map of Taormina region showing the average uplift rates of the Holocene paleo-shorelines in the disti"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 8. (a) Sketch map of Taormina region showing the average uplift rates of the Holocene paleo-shorelines in the distinct studied site. (b) Sketch map of Taormina region showing the amount of co-seismic vertical displacement during events I, II and III in the distinct studied site. text_image images/7e73404a95b9a56a6cb441430a2f589d1af866339e22a1fc961ceedd8084cc1b.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 220.0, ""applied_correction_m"": null, ""derived_elevation_m"": 220.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",220,220,220,220
63d70fe8ec98ccc4bfbaa4147e574ab9f08c5ac882307dc55dcb7bf50da2d05f,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_1,37.818397,15.272222,reported,,1.59,unknown,other,marine_shell_bed,Fossiliferous beach deposit,null,null,other,Fossiliferous beach deposit + pottery marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203206.21\u2032\u2032N, 15\u00b016\u203220.00\u2032\u2032E; Marker: Fossiliferous beach deposit + pottery; Corrected elevation: 1.59 m (Tide correction: 0.04 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.59,1.59,1.59,1.59
6c7d29952f80597359078cc09e745474ff515fc4d04711b749f4171922943608,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_2,37.820864,15.271519,reported,,0.6,unknown,other,intertidal_bioconstruction,Serpulids,null,null,other,Serpulids marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203207.31\u2032\u2032N, 15\u00b016\u203217.47\u2032\u2032E; Marker: Serpulids; Corrected elevation: 0.60 m (Tide correction: 0.11 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0.6,0.6,0.6,0.6
45d1ea16e7a7eb68a5c5bf047a4c8a5b16101a26072bb88ed650a78012f219d6,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_3,37.820481,15.272536,reported,,2.86,unknown,other,intertidal_bioconstruction,Algal rim,null,null,other,Algal rim marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203207.37\u2032\u2032N, 15\u00b016\u203221.13\u2032\u2032E; Marker: Algal rim; Corrected elevation: 2.86 m (Tide correction: 0.18 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2.86,2.86,2.86,2.86
d780278325aca530fed40eb8bdd862efae759aa3d4299d2d28f37c1a9b9f0c45,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_4,37.820472,15.271989,reported,,1.02,unknown,other,beachrock,llm-extracted candidate,null,null,other,Beach rock marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203207.41\u2032\u2032N, 15\u00b016\u203219.14\u2032\u2032E; Marker: Beach rock; Corrected elevation: 1.02 m (Tide correction: 0.02 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.02,1.02,1.02,1.02
69f00fb97447e133184eaf25d5a8414cb602f6b9e964e375fd7e8a4551084913,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_5,37.825802,15.272089,reported,,0.99,unknown,other,beachrock,llm-extracted candidate,null,null,other,Beach rock marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203210.09\u2032\u2032N, 15\u00b016\u203221.52\u2032\u2032E; Marker: Beach rock; Corrected elevation: 0.99 m (Tide correction: 0.19 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0.99,0.99,0.99,0.99
6f5927fcf8f683c9a306dd9432254182d3146120ecabba35aeacecf0dfb636c0,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_6,37.829511,15.273463,reported,,1.69,unknown,other,intertidal_bioconstruction,Dendropoma,null,null,other,Dendropoma marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203213.82\u2032\u2032N, 15\u00b016\u203224.57\u2032\u2032E; Marker: Dendropoma; Corrected elevation: 1.69 m (Tide correction: 0.19 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.69,1.69,1.69,1.69
54bc040e00416da41fbe6ddcac78499700d9a0f626513a1bc2396fcbbba668cd,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_7,37.832958,15.278973,reported,,2.36,unknown,other,marine_shell_bed,Fossiliferous beach deposit,null,null,other,Fossiliferous beach deposit + pottery marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203217.86\u2032\u2032N, 15\u00b016\u203232.30\u2032\u2032E; Marker: Fossiliferous beach deposit + pottery; Corrected elevation: 2.36 m (Tide correction: 0.40 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2.36,2.36,2.36,2.36
f694f3422b7fe4d08b0a2821842bc8a7c84988c81571b4b7ab06da7c3d72a481,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_8,37.833002,15.278828,reported,,2.85,unknown,other,intertidal_bioconstruction,Algal rim,null,null,other,Algal rim marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203217.96\u2032\u2032N, 15\u00b016\u203231.98\u2032\u2032E; Marker: Algal rim; Corrected elevation: 2.85 m (Tide correction: -0.04 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",2.85,2.85,2.85,2.85
27afe5d684f89427ad44e3c808d279c89866af7b0d4d493e43c8639bb44686c1,spampinato2012,sea_level_indicator,Capo Schisò,mineru_llm_3_9,37.833475,15.27925,reported,,1.71,unknown,other,intertidal_bioconstruction,Algal rim,null,null,other,Algal rim marker.,Capo Schisò,spampinato2012.pdf,https://doi.org/10.1016/j.jog.2011.11.007,0.75,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""page 5"", ""figure"": null, ""table"": ""Table 1"", ""section"": null, ""quote_or_paraphrase"": ""Surveyed at 37\u00b049\u203218.69\u2032\u2032N, 15\u00b016\u203233.30\u2032\u2032E; Marker: Algal rim; Corrected elevation: 1.71 m (Tide correction: 0.21 m).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.71,1.71,1.71,1.71
