id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
de21ca71990009d5d8b3705c1de908e41fa100633f7491f8c07c8977fd175720,sprigg1979,sea_level_indicator,Robe,mineru_beach_depth_27,-37.1861992,139.9955285,inferred_text,5000.0,-22.86,MSL,reported,submerged_beach,MinerU dated beach table; group=Modern sea level,"[-25.36, -20.36]","[180.0, 220.0]",stratigraphic_context,Robe (Toe submerged to 12-13 fathoms) from dated stranded/submerged beach table.,"District Council of Robe, South Australia, 5276, Australia",STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.95,"Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. Geocoded from contextual query 'Robe, South Australia'.","{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""3 | Robe (Toe submerged to 12-13 fathoms) | 180-220,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 22.86, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": [180.0, 220.0], ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-22.86,-22.86,-22.86,-22.86
d075d6cc75ca1a90eb7e5a749a71058892d5f8b7cc25ce6b05bd78df965c2fb4,sprigg1979,sea_level_indicator,"22 Fathom bench and “nick” point, opp. Beachport",mineru_beach_depth_29,-37.4818511,140.0106789,inferred_text,5000.0,-40.23,MSL,reported,submerged_beach,MinerU dated beach table; group=Beachport (Mostly submerged. Toes at approx. 18 fathoms),"[-42.73, -37.73]",130.0,stratigraphic_context,"22 Fathom bench and “nick” point, opp. Beachport from dated stranded/submerged beach table.","Beachport, South Australia, 5280, Australia",STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.95,"Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""2 | 22 Fathom bench and \u201cnick\u201d point, opp. Beachport | 130,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 40.23, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 130.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-40.23,-40.23,-40.23,-40.23
f348eb8a3657a84484ac491bd74091f718631bb28ef5513311609fa89d843a13,sprigg1979,sea_level_indicator,"29 Fathom bench and “nick” point, opp. Beachport",mineru_beach_depth_30,-37.4818511,140.0106789,inferred_text,5000.0,-53.04,MSL,reported,submerged_beach,MinerU dated beach table; group=Beachport (Mostly submerged. Toes at approx. 18 fathoms),"[-55.54, -50.54]",110.0,stratigraphic_context,"29 Fathom bench and “nick” point, opp. Beachport from dated stranded/submerged beach table.","Beachport, South Australia, 5280, Australia",STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.95,"Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""29 Fathom bench and \u201cnick\u201d point, opp. Beachport | 110,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 53.04, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 110.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-53.04,-53.04,-53.04,-53.04
3afe38d65570ceeb2f317b7f5e08f7771a72da8454791c4e3eaee04b5bfc273c,sprigg1979,sea_level_indicator,"37 Fathom bench and “nick” point, opp. Beachport",mineru_beach_depth_31,-37.4818511,140.0106789,inferred_text,5000.0,-67.67,MSL,reported,submerged_beach,MinerU dated beach table; group=Beachport (Mostly submerged. Toes at approx. 18 fathoms),"[-70.17, -65.17]",90.0,stratigraphic_context,"37 Fathom bench and “nick” point, opp. Beachport from dated stranded/submerged beach table.","Beachport, South Australia, 5280, Australia",STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.95,"Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""37 Fathom bench and \u201cnick\u201d point, opp. Beachport | 90,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 67.67, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 90.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-67.67,-67.67,-67.67,-67.67
931daff79360a64da1507277d2f1f56f3b29d2415447578685ae9474882aa47d,sprigg1979,sea_level_indicator,"47 Fathom bench and “nick” point, opp. Beachport",mineru_beach_depth_32,-37.4818511,140.0106789,inferred_text,5000.0,-85.95,MSL,reported,submerged_beach,MinerU dated beach table; group=Beachport (Mostly submerged. Toes at approx. 18 fathoms),"[-88.45, -83.45]",70.0,stratigraphic_context,"47 Fathom bench and “nick” point, opp. Beachport from dated stranded/submerged beach table.","Beachport, South Australia, 5280, Australia",STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.95,"Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""47 Fathom bench and \u201cnick\u201d point, opp. Beachport | 70,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 85.95, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 70.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-85.95,-85.95,-85.95,-85.95
347939fb0cf89e96bd7ab724e7dd449c5fff296ca5bbc8747697862f5bc11ce9,sprigg1979,sea_level_indicator,55 Fathom submerge coast,mineru_beach_depth_33,,,inferred_map,,-100.58,MSL,reported,submerged_beach,MinerU dated beach table; group=Beachport (Mostly submerged. Toes at approx. 18 fathoms),"[-103.08, -98.08]",20.0,stratigraphic_context,55 Fathom (last glacial) submerge coast from dated stranded/submerged beach table.,southeast South Australia,STRANDED AND SUBMERGED SEA-BEACH SYSTEMS OF SOUTHEAST SOUTH AUSTRALIA AND THE AEOLIAN DESERT CYCLE,https://doi.org/10.1016/0037-0738(79)90022-8,0.55,Extracted from MinerU beach-name table where the row itself reports a depth/fathom position. Rows without vertical context are intentionally left for review. No contextual geocode result was found.,"{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I  \""Radiation\"" correlation datings of the lower Murray basin stranded or submerged beaches"", ""section"": null, ""quote_or_paraphrase"": ""1 | 55 Fathom (last glacial) submerge coast | 20,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": 100.58, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 20.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age extracted from MinerU structured table.""}]",-100.58,-100.58,-100.58,-100.58
9b7b25f7677ab391460fd8b66665c13a454794a39543478745d468e4bf550f3b,sprigg1979,sea_level_indicator,Robe and Woakwine,mineru_llm_1_1,-37.1861992,139.9955285,inferred_text,5000.0,-100.6,MSL,reported,submerged_beach,llm-extracted candidate,null,"""Pleistocene""",other,aeolianitic glacial phase sea-beaches,Robe and Woakwine,sprigg1979.pdf,https://doi.org/10.1016/0037-0738(79)90022-8,0.85,"no internal reef-faunas found Geocoded from contextual query 'Robe, South Australia'.","{""page"": ""19"", ""figure"": ""Fig. 14"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""other such beaches are completely submerged to -55 fathoms subsea.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""Pleistocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-100.6,-100.6,-100.6,-100.6
e8b9624e603f2e5d215446aa38f3a57d60ffcdf8bd923926950d9032c65a8d2a,sprigg1979,sea_level_indicator,Robe,mineru_llm_2_1,-37.1861992,139.9955285,inferred_text,5000.0,-22.9,unknown,reported,submerged_beach,llm-extracted candidate,null,"""180-220,000""",Radiation correlation,Toe submerged to 12-13 fathoms,Robe,Sprigg 1979,https://doi.org/10.1016/0037-0738(79)90022-8,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Robe, South Australia'.","{""page"": ""37"", ""figure"": ""TABLE I"", ""table"": ""TABLE I"", ""section"": null, ""quote_or_paraphrase"": ""Robe (Toe submerged to 12-13 fathoms) | 180-220,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiation correlation"", ""relation"": ""unknown"", ""age_ka"": ""180-220,000"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-22.9,-22.9,-22.9,-22.9
d2ec586a646ef260d26a3ef1e9ebf49f87b777adb2c7ccfa2fb146a20f498d61,sprigg1979,sea_level_indicator,"22 Fathom bench and ""nick"" point",mineru_llm_2_2,-37.4818511,140.0106789,inferred_text,5000.0,-40.2,unknown,reported,wave_cut_notch_or_bench,llm-extracted candidate,null,"""130,000""",Radiation correlation,"22 Fathom bench and ""nick"" point, opp. Beachport",opp. Beachport,Sprigg 1979,https://doi.org/10.1016/0037-0738(79)90022-8,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": ""TABLE I"", ""table"": ""TABLE I"", ""section"": null, ""quote_or_paraphrase"": ""22 Fathom bench and \""nick\"" point, opp. Beachport | 130,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiation correlation"", ""relation"": ""unknown"", ""age_ka"": ""130,000"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-40.2,-40.2,-40.2,-40.2
eefa0c9f63c5383a55e383c5df73357817aad76fa7f44605fb28402f1185ce5b,sprigg1979,sea_level_indicator,"29 Fathom bench and ""nick"" point",mineru_llm_2_3,-37.4818511,140.0106789,inferred_text,5000.0,-53.0,unknown,reported,wave_cut_notch_or_bench,llm-extracted candidate,null,"""110,000""",Radiation correlation,"29 Fathom bench and ""nick"" point, opp. Beachport",opp. Beachport,Sprigg 1979,https://doi.org/10.1016/0037-0738(79)90022-8,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Beachport, South Australia'.","{""page"": ""37"", ""figure"": ""TABLE I"", ""table"": ""TABLE I"", ""section"": null, ""quote_or_paraphrase"": ""29 Fathom bench and \""nick\"" point, opp. Beachport | 110,000""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiation correlation"", ""relation"": ""unknown"", ""age_ka"": ""110,000"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-53,-53,-53,-53
