id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
783e5ba142e0b4597a542a2cd1217502c665089f245e43919f8629a35794059b,taira1975,sea_level_indicator,Kenting,N-399*,-7.923715,113.0325734,inferred_text,10000.0,14.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[8.0, 14.5]",4.04,radiocarbon,coral from Kenting dated to 4040±120 at 14 m altitude.,"Kenting, Sapikerep, Probolinggo, Jawa, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.95,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Kenting'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-399* | coral | Kenting | 4040\u00b1120 | 14""}","{""reported_elevation_m"": 14.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.04, ""uncertainty_ka"": 0.12, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",14,14,14,14
1c4c6d41d0a6499c9657ebfaee7241807de59b355395a846c21d1f660c8b467c,taira1975,sea_level_indicator,Kenting,N-400*,-7.923715,113.0325734,inferred_text,10000.0,14.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[8.0, 14.5]",3.9,radiocarbon,coral from Kenting dated to 3900±125 at 14 m altitude.,"Kenting, Sapikerep, Probolinggo, Jawa, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.95,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Kenting'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-400* | coral | Kenting | 3900\u00b1125 | 14""}","{""reported_elevation_m"": 14.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 3.9, ""uncertainty_ka"": 0.125, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",14,14,14,14
3a686b0ce4cc1cc95067373cd081c3406bfee7fef5154489113557edb562c433,taira1975,sea_level_indicator,Shihniuchiao,N-401*,,,inferred_map,,15.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[9.0, 15.5]",5.67,radiocarbon,coral from Shihniuchiao dated to 5670±140 at 15 m altitude.,"Shihniuchiao, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-401* | coral | Shihniuchiao | 5670\u00b1140 | 15""}","{""reported_elevation_m"": 15.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.67, ""uncertainty_ka"": 0.14, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",15,15,15,15
d6f1f11411f4896435f1b689d2d4ad7790ebfe7fe64c858ca5a16f2aa648a686,taira1975,sea_level_indicator,Shihniuchiao,N-402*,,,inferred_map,,15.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[9.0, 15.5]",7.05,radiocarbon,coral from Shihniuchiao dated to 7050±145 at 15 m altitude.,"Shihniuchiao, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-402* | coral | Shihniuchiao | 7050\u00b1145 | 15""}","{""reported_elevation_m"": 15.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.05, ""uncertainty_ka"": 0.145, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",15,15,15,15
24e15886a51f14ec3ab37550f58021d118d748b9015565b1135947a74d1b9800,taira1975,sea_level_indicator,Shihniuchiao,N-403*,,,inferred_map,,1.5,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[-4.5, 2.0]",1.71,radiocarbon,coral from Shihniuchiao dated to 1710±110 at 1.5 m altitude.,"Shihniuchiao, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-403* | coral | Shihniuchiao | 1710\u00b1110 | 1.5""}","{""reported_elevation_m"": 1.5, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.71, ""uncertainty_ka"": 0.11, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",1.5,1.5,1.5,1.5
6b9523d871e7b05265b18f63e46ccbe5db529970ac5c86a5cf301905f44fa9f7,taira1975,sea_level_indicator,Shihniuchiao,N-447*,,,inferred_map,,1.5,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[-4.5, 2.0]",1.78,radiocarbon,coral from Shihniuchiao dated to 1780±115 at 1.5 m altitude.,"Shihniuchiao, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-447* | coral | Shihniuchiao | 1780\u00b1115 | 1.5""}","{""reported_elevation_m"": 1.5, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.78, ""uncertainty_ka"": 0.115, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",1.5,1.5,1.5,1.5
f0ac090b244c15c5b93bf3e343d122d7a99b9962be0228d148080ba6dce21bd5,taira1975,sea_level_indicator,Kenting,N-627,-7.923715,113.0325734,inferred_text,10000.0,20.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[14.0, 20.5]",8.66,radiocarbon,coral from Kenting dated to 8660±155 at 20 m altitude.,"Kenting, Sapikerep, Probolinggo, Jawa, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.95,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Kenting'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-627 | coral | Kenting | 8660\u00b1155 | 20""}","{""reported_elevation_m"": 20.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.66, ""uncertainty_ka"": 0.155, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",20,20,20,20
9e46d230ef847810cd3d5b2827d48e000156b5248404fab2efe8e527c800a275,taira1975,sea_level_indicator,Kenting,N-621,-7.923715,113.0325734,inferred_text,10000.0,20.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[14.0, 20.5]",8.14,radiocarbon,coral from Kenting dated to 8140±155 at 20 m altitude.,"Kenting, Sapikerep, Probolinggo, Jawa, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.95,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Kenting'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-621 | coral | Kenting | 8140\u00b1155 | 20""}","{""reported_elevation_m"": 20.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.14, ""uncertainty_ka"": 0.155, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",20,20,20,20
9b03d4d56c13f21b01bfd15170e24f9a9c4d2744c1dacecc1d219a795a14d11a,taira1975,sea_level_indicator,Kenting,N-620,-7.923715,113.0325734,inferred_text,10000.0,12.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[6.0, 12.5]",4.31,radiocarbon,coral from Kenting dated to 4310±120 at 12 m altitude.,"Kenting, Sapikerep, Probolinggo, Jawa, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.95,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Kenting'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-620 | coral | Kenting | 4310\u00b1120 | 12""}","{""reported_elevation_m"": 12.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.31, ""uncertainty_ka"": 0.12, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",12,12,12,12
670ef00f58e44b74db02c6fe5a5424249799628190aeaf5524b4ba383df5b3d5,taira1975,sea_level_indicator,Haikou,N-605,,,inferred_map,,15.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[9.0, 15.5]",4.21,radiocarbon,coral from Haikou dated to 4210±120 at 15 m altitude.,"Haikou, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-605 | coral | Haikou | 4210\u00b1120 | 15""}","{""reported_elevation_m"": 15.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.21, ""uncertainty_ka"": 0.12, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",15,15,15,15
