id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
f4ecd125b7074ca0d0b1f101e3d89a1c8a61c0ad5790b3557ba1c7fc3f3dbdac,vogt1984,sea_level_indicator,vogt1984,page_6_feature_1,1.83,3.66,reported,100.0,-4155.0,MSL,SRTM15+V2,guyot_or_drowned_platform,page OCR extracted from figure/table/map block,null,null,other,The Geisha Guyots: Multibeam Bathymetry and Morphometric Interpretation,vogt1984,The Geisha Guyots: Multibeam Bathymetry and Morphometric Interpretation,https://doi.org/10.1029/JB089iB13p11085,0.75,"Extracted from page OCR block on page 6 with cue 'Fig. 2. Multibeam-derived 1000-, 2000-, and 3000-fm (1.83, 3.66 and 5.49 km) contours around Geisha guyots; depths shall' from source 'mineru_chart'.","{""page"": ""6"", ""figure"": ""Fig. 2. Multibeam-derived 1000-, 2000-, and 3000-fm (1.83, 3.66 and 5.49 km) contours around Geisha guyots; depths shall"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 2. Multibeam-derived 1000-, 2000-, and 3000-fm (1.83, 3.66 and 5.49 km) contours around Geisha guyots; depths shallower than 1000 fm (1830 m) are stippled. Magnetic lineations and fracture zones (FZ) west of 150\u00b0E based on detailed U.S. Naval Oceanographic Office magnetic anomaly contour charts [Handschumacher and Bracey, 1984]; lineations and fracture zones east of 150\u00b0E based on reconnaissance-type data [Hilde et al., 1976]. Locations of dredge locations of Heezen et al. [1973] indicated by solid circles, and two of Ozima et al. [1977], which were dated by the K-Ar method, are indicated by triangles with estimated age in Ma. contour images/5b58eeae65d69c6e5ae28f79c9fdfe7d31e8479ad74c9e23c3e2304784bb6ad2.jpg""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -4155.0, ""applied_correction_m"": null, ""derived_elevation_m"": -4155.0, ""derived_depth_m"": 4155.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at authoritative coordinates because source elevation was not reported.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",-4155,-4155,-4155,-4155
12664d7377782a52c752963b70fa823145fcdd2d5bd7410a6234fa3fb2284377,vogt1984,sea_level_indicator,Chain,55.2±0.7,30.5669897,79.5387943,inferred_text,10000.0,-4236,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""55.2\u00b10.7""",Radiocarbon,"Guyot summit depth 4236m, age 55.2±0.7 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""55.2\u00b10.7 | 105? |  | 12.5 | 5500 | 200 | 5700 | 4236 | 14.59 | 5 | 90 | 55 | 13.5 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""55.2\u00b10.7"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4236,-4236,-4236,-4236
aaa03045eb676f4b2fa9337923911bd2dc74c64aa4daf60ea247a19af00db498,vogt1984,sea_level_indicator,Chain,56.2±0.6,30.5669897,79.5387943,inferred_text,10000.0,-4419,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""56.2\u00b10.6""",Radiocarbon,"Guyot summit depth 4419m, age 56.2±0.6 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""56.2\u00b10.6 | 80-120 |  | 16.4 | 5500 | 200 | 5700 | 4419 | 15.80 | 6 | 140 | 88 | 13.5 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""56.2\u00b10.6"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4419,-4419,-4419,-4419
f7195d824cb7be0bfa3f4b01133bc0066ae5d6b9064346af687187c726d1f7b2,vogt1984,sea_level_indicator,Chain,64.7±1.1,30.5669897,79.5387943,inferred_text,10000.0,-3870,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""64.7\u00b11.1""",Radiocarbon,"Guyot summit depth 3870m, age 64.7±1.1 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""64.7\u00b11.1\u2021 | 80-120 |  | 6.2 | 5500 | 200 | 5700 | 3870 | 15.36 | 10 | 87 | 53 | 15.1 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""64.7\u00b11.1"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-3870,-3870,-3870,-3870
ca7de78213041064b1be2de88eca57eefa9a0234acf2e5b774adf18c607d9978,vogt1984,sea_level_indicator,Chain,93.9±1.3,30.5669897,79.5387943,inferred_text,10000.0,-4536,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""93.9\u00b11.3""",Radiocarbon,"Guyot summit depth 4536m, age 93.9±1.3 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""93.9\u00b11.3\u00b6 | 156(M-25) | 62 | 19.3 | 5700 | 300 | 6000 | 4536 | 11.94 | 5 | 23 | 18 | 16.7 | 2.9 | 3850""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""93.9\u00b11.3"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4536,-4536,-4536,-4536
97365460fc4b3c6524e127390ed3552e937ebfa5db9bf4c0c6d967714ba30ffc,vogt1984,sea_level_indicator,Chain,101.8±3.4,30.5669897,79.5387943,inferred_text,10000.0,-4753,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""101.8\u00b13.4""",Radiocarbon,"Guyot summit depth 4753m, age 101.8±3.4 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""101.8\u00b13.4\u00b6 | 141 | 39 | 25.1 | 5700 | 700 | 6400 | 4753 | 11.19 | 4 | 25 | 20 | 24.2 | 3.4 | 3300""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""101.8\u00b13.4"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4753,-4753,-4753,-4753
66e15780b5b588cebf7838ffa2722e1412e9867a6ec26bbcbc613a08244a5adb,vogt1984,sea_level_indicator,Chain,22.4±3.9,30.5669897,79.5387943,inferred_text,10000.0,-4649,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""22.4\u00b13.9""",Radiocarbon,"Guyot summit depth 4649m, age 22.4±3.9 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""98 Ma | 148 Ma | 50 Ma | 22.4\u00b13.9 | 5800 | 450 | 6250 | 4649 | 10.83 | 5 | 23 | 18 | 20.7\u00b12.7 | 4.0 | 3637\u00b167""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""22.4\u00b13.9"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4649,-4649,-4649,-4649
55e2e78804e1a1328a61c045a21cd8014bdc07d9305aa965009e9d989af237ab,vogt1984,sea_level_indicator,Chain,15.7,30.5669897,79.5387943,inferred_text,10000.0,-4386,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""15.7""",Radiocarbon,"Guyot summit depth 4386m, age 15.7 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""(probably | probably |  | 15.7 | 5500 | 350 | 5850 | 4386 | 13.71 | 5 | 185 | 103 | 18.8 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""15.7"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4386,-4386,-4386,-4386
b0dcb68c097d7a7644f3372af054003ee9b45e99985960353125431623feeab2,vogt1984,sea_level_indicator,Chain,13.2,30.5669897,79.5387943,inferred_text,10000.0,-4269,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""13.2""",Radiocarbon,"Guyot summit depth 4269m, age 13.2 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": ""or Late | Jurassic |  | 13.2 | 5200 | 350 | 5550 | 4269 | 14.65 | 7 | 95 | 64 | 15.6 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""13.2"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-4269,-4269,-4269,-4269
0d8fc12eb64255d477821389a3c814aed3b70c6ae1aa8f725314ca9c01e033d1,vogt1984,sea_level_indicator,Chain,8.0,30.5669897,79.5387943,inferred_text,10000.0,-3987,MSL,reported,guyot_or_drowned_platform,summit depth,null,"""8.0""",Radiocarbon,"Guyot summit depth 3987m, age 8.0 ka.",Chain,vogt1984.pdf,https://doi.org/10.1029/JB089iB13p11085,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Chain'.,"{""page"": ""5"", ""figure"": null, ""table"": ""Pacific Guyots Surveyed by Multibeam"", ""section"": null, ""quote_or_paraphrase"": "" |  |  | 8.0 | 5400 | 600 | 6000 | 3987 | 14.42 | 4 | 132 | 60 | 8.0 |  |""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": ""8.0"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-3987,-3987,-3987,-3987
