id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
65ee6a2d405475793ed827d1fd11fea70ae8b5ca4e0c87a6f5f08b5e654e78cb,walis_v1_0_post_review,sea_level_indicator,"Red Sea coast - Abdur Reef Limestone, Abdur North",USeries_1015@row2,15.170975,39.857105,reported,100.0,10.0,MSL,reported,coral_head,Single Coral,"[-3.0, -0.5]",137.02,u_series,"Single Coral; Abdur Reef Limestone; fields of branching Stylophora, Goniopora, and Galazea sp. Indicative of reef flat facies of fringing reef (0.5-3 m water depth) Not Reported","Red Sea coast, Abdur Reef Limestone, Abdur North","Walter et al., 2000 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.83,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=No. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: AN-7-6a no.2. Analysis ID: WA00-005-001. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1015@row2"", ""quote_or_paraphrase"": ""WALIS row USeries_1015: Sea Level Indicator; Single Coral; elevation 10.0 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": 10.0, ""reported_depth_m"": null, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 4.12}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 137.02, ""uncertainty_ka"": 0.7, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",10,10,10,10
d23c3998fe5f3daa5119529284d2d48812702c3e73490a8657e216f8b0e146a8,walis_v1_0_post_review,sea_level_indicator,Tahiti - Faaa; drill core,USeries_1023@row9,-17.534665,-149.598658,reported,100.0,-117.61,MSL,reported,coral_head,Single Coral,"[-6.0, 0.0]",136.9,u_series,Single Coral; coral framework (according to IODP 310 Visual Core Description); growth position (determined by orientation of coral) massive Favia spp.,"Tahiti, Faaa; drill core","Thomas et al., 2009 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: 310-M0019A-29R-1W-0,4. Analysis ID: TH09-001-001. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1023@row9"", ""quote_or_paraphrase"": ""WALIS row USeries_1023: Sea Level Indicator; Single Coral; elevation -117.61 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -117.61, ""reported_depth_m"": 117.61, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 136.9, ""uncertainty_ka"": 0.94, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-117.61,-117.61,-117.61,-117.61
746fa47c029cc2555c1a99c9c80eb5d2882e93c03f3e291d220a6f49f93d5fb3,walis_v1_0_post_review,sea_level_indicator,Tahiti - Faaa; drill core,USeries_1024@row10,-17.534665,-149.598658,reported,100.0,-117.61,MSL,reported,coral_head,Single Coral,"[-6.0, 0.0]",138.14,u_series,Single Coral; coral framework (according to IODP 310 Visual Core Description); growth position (determined by orientation of coral) massive Favia spp.,"Tahiti, Faaa; drill core","Thomas et al., 2009 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: 310-M0019A-29R-1W-0,4. Analysis ID: TH09-001-002. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1024@row10"", ""quote_or_paraphrase"": ""WALIS row USeries_1024: Sea Level Indicator; Single Coral; elevation -117.61 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -117.61, ""reported_depth_m"": 117.61, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 138.14, ""uncertainty_ka"": 0.39, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-117.61,-117.61,-117.61,-117.61
809acb5b1e066ad068b66500e99053c56c74403057f15fda9991a992026ae7b6,walis_v1_0_post_review,sea_level_indicator,Tahiti - Faaa; drill core,USeries_1025@row11,-17.534665,-149.598658,reported,100.0,-115.24,MSL,reported,coral_head,Single Coral,"[-25.0, 0.0]",133.46,u_series,"Single Coral; coral framework; growth position (determined by orientation of coral, orientation of partially filled geopetals within the coral, position of algal crust on upper surface of coral and coral forms part of a continuous framework) massive Porites","Tahiti, Faaa; drill core","Thomas et al., 2009 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: 310-M0019A-27R-1W-62,83. Analysis ID: TH09-003-001. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1025@row11"", ""quote_or_paraphrase"": ""WALIS row USeries_1025: Sea Level Indicator; Single Coral; elevation -115.24 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -115.24, ""reported_depth_m"": 115.24, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 133.46, ""uncertainty_ka"": 0.37, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-115.24,-115.24,-115.24,-115.24
3584a0481fe999a52c77a5ea077839c4ce7f9b534377100a27b49f9e9444bc22,walis_v1_0_post_review,sea_level_indicator,Tahiti - Faaa; drill core,USeries_1026@row12,-17.534665,-149.598658,reported,100.0,-115.24,MSL,reported,coral_head,Single Coral,"[-25.0, 0.0]",133.49,u_series,"Single Coral; coral framework; growth position (determined by orientation of coral, orientation of partially filled geopetals within the coral, position of algal crust on upper surface of coral and coral forms part of a continuous framework) massive Porites","Tahiti, Faaa; drill core","Thomas et al., 2009 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: 310-M0019A-27R-1W-62,83. Analysis ID: TH09-003-002. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1026@row12"", ""quote_or_paraphrase"": ""WALIS row USeries_1026: Sea Level Indicator; Single Coral; elevation -115.24 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -115.24, ""reported_depth_m"": 115.24, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 133.49, ""uncertainty_ka"": 0.9, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-115.24,-115.24,-115.24,-115.24
d874db21dcbe24ed67152335f605372cc97085d6a8cf6da921f6603306a0ee9d,walis_v1_0_post_review,sea_level_indicator,Tahiti - Faaa; drill core,USeries_1027@row13,-17.534665,-149.598658,reported,100.0,-115.24,MSL,reported,coral_head,Single Coral,"[-25.0, 0.0]",134.34,u_series,"Single Coral; coral framework; growth position (determined by orientation of coral, orientation of partially filled geopetals within the coral, position of algal crust on upper surface of coral and coral forms part of a continuous framework) massive Porites","Tahiti, Faaa; drill core","Thomas et al., 2009 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: 310-M0019A-27R-1W-62,83. Analysis ID: TH09-003-003. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1027@row13"", ""quote_or_paraphrase"": ""WALIS row USeries_1027: Sea Level Indicator; Single Coral; elevation -115.24 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -115.24, ""reported_depth_m"": 115.24, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 134.34, ""uncertainty_ka"": 0.37, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-115.24,-115.24,-115.24,-115.24
f968963d82f3dc8527fe0abbe3e36e5bca81e772d28e7b2a538ec0ca94e6b1bd,walis_v1_0_post_review,sea_level_indicator,Northern GBR - Ribbon Reef,USeries_1036@row22,-15.379077,145.785633,reported,100.0,-16.1,MSL,reported,coral_head,Single Coral,"[-3.0, 0.0]",125.7,u_series,Single Coral; cAB Acropora,"Northern GBR, Ribbon Reef","Braithwaite et al., 2004 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.83,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=No. Elevation source: Elevation (m). WALIS reported age. Originally reported ID: Ribbon Reef 5. Analysis ID: BR04-001-001. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1036@row22"", ""quote_or_paraphrase"": ""WALIS row USeries_1036: Sea Level Indicator; Single Coral; elevation -16.1 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -16.1, ""reported_depth_m"": 16.1, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 125.7, ""uncertainty_ka"": 0.6, ""material"": ""Coral"", ""notes"": ""WALIS reported age.""}]",-16.1,-16.1,-16.1,-16.1
a9960b0d81cadf2f36fd5c014dacc0504b672bbe0fc940d4ccb0787f81a1ee1b,walis_v1_0_post_review,sea_level_indicator,Southern GBR - Fairfax Reef,USeries_1040@row23,-23.858275,152.375311,reported,100.0,-12.07,MSL,reported,coral_head,Single Coral,"[-6.0, 0.0]",130.8,u_series,"Single Coral; cAA and aA1 assemblages dominate; Holocene/Pleistocene boundary is at 7.6 m, with a second thin soil horizon at 8.7-8.8 m. The authors interpret this second soil horizion as either part of the Holocene/Pleistocene boundary or, alternatively, a small (<2-3 m) sea-level oscillation. The second soil horizon is not observed in any of the other GBR cores taken for this study. Isopora","Southern GBR, Fairfax Reef","Dechnik et al., 2017 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: FFX3-10D_1. Analysis ID: DE17-001-001. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1040@row23"", ""quote_or_paraphrase"": ""WALIS row USeries_1040: Sea Level Indicator; Single Coral; elevation -12.07 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -12.07, ""reported_depth_m"": 12.07, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 130.8, ""uncertainty_ka"": 0.81, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-12.07,-12.07,-12.07,-12.07
7569b2cb5979e4e3db991494efbf37bf5e257d516543787876f68f9ace25c389,walis_v1_0_post_review,sea_level_indicator,Southern GBR - Fairfax Reef,USeries_1041@row24,-23.858275,152.375311,reported,100.0,-12.07,MSL,reported,coral_head,Single Coral,"[-6.0, 0.0]",129.13,u_series,"Single Coral; cAA and aA1 assemblages dominate; Holocene/Pleistocene boundary is at 7.6 m, with a second thin soil horizon at 8.7-8.8 m. The authors interpret this second soil horizion as either part of the Holocene/Pleistocene boundary or, alternatively, a small (<2-3 m) sea-level oscillation. The second soil horizon is not observed in any of the other GBR cores taken for this study. Isopora","Southern GBR, Fairfax Reef","Dechnik et al., 2017 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: FFX3-10D_2. Analysis ID: DE17-001-002. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1041@row24"", ""quote_or_paraphrase"": ""WALIS row USeries_1041: Sea Level Indicator; Single Coral; elevation -12.07 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -12.07, ""reported_depth_m"": 12.07, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 129.13, ""uncertainty_ka"": 0.84, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-12.07,-12.07,-12.07,-12.07
18867b0d1653c49e41cbc72587504e80c6faebd3806bdf4c2b20962461252185,walis_v1_0_post_review,sea_level_indicator,Southern GBR - Fairfax Reef,USeries_1042@row25,-23.858275,152.375311,reported,100.0,-12.07,MSL,reported,coral_head,Single Coral,"[-6.0, 0.0]",127.14,u_series,"Single Coral; cAA and aA1 assemblages dominate; Holocene/Pleistocene boundary is at 7.6 m, with a second thin soil horizon at 8.7-8.8 m. The authors interpret this second soil horizion as either part of the Holocene/Pleistocene boundary or, alternatively, a small (<2-3 m) sea-level oscillation. The second soil horizon is not observed in any of the other GBR cores taken for this study. Isopora","Southern GBR, Fairfax Reef","Dechnik et al., 2017 Chutcharavan and Dutton, 2020",https://doi.org/10.5281/zenodo.5979520,0.86,"WALIS quality RSL=blank, age=blank. Originally accepted=Yes; accepted by other study=Yes. Elevation source: Elevation (m). WALIS recalculated U-Series age. Originally reported ID: FFX3-10D_3. Analysis ID: DE17-001-003. Record Created by: Peter Chutcharavan. Last Update: 2021-04-20 00:00:00.","{""page"": null, ""figure"": null, ""table"": ""WALIS Summary.csv"", ""section"": ""USeries_1042@row25"", ""quote_or_paraphrase"": ""WALIS row USeries_1042: Sea Level Indicator; Single Coral; elevation -12.07 m; paleo RSL not reported m; dating U-Series.""}","{""reported_elevation_m"": -12.07, ""reported_depth_m"": 12.07, ""reported_datum"": ""Mean Sea Level / General definition"", ""reported_uncertainty_m"": 1.0}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""WALIS Paleo RSL used as LITTORAL analytical elevation when available; measured indicator elevation preserved as reported observation.""}","[{""method"": ""u_series"", ""relation"": ""equal"", ""age_ka"": 127.14, ""uncertainty_ka"": 0.64, ""material"": ""Coral"", ""notes"": ""WALIS recalculated U-Series age.""}]",-12.07,-12.07,-12.07,-12.07
