id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
153f8ef34106b0780ed7293f64b955713c9a3f2eaea8944fd9d7a41c0d159a81,whittow1960,sea_level_indicator,Porth Oer (Whistling Sands),llm_feature_1,52.9487856,-3.7601273,inferred_text,10000.0,6.09,OD,other,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,A marine abrasion platform cutting across Pre-Cambrian rocks.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'North Wales'.,"{""page"": ""31-32"", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Farther north, however, an excellent example occurs at Porth Oer... The average height of the rock platform... is some twenty feet O.D.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",6.09,6.09,6.09,6.09
e73cb4cbcfeb3d9f4d1443574480622e04c7a10a175f7a276068139ae7afa75d,whittow1960,sea_level_indicator,Porth Dinlleyn,llm_feature_2,52.9487856,-3.7601273,inferred_text,10000.0,7.62,OD,other,wave_cut_notch_or_bench,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,A wave-cut notch uncovered from beneath glacial drift.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'North Wales'.,"{""page"": ""31"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Near the lifeboat station of Porth Dinlleyn the drift has been removed... to uncover a wave-cut notch which can be traced for a few yards at a height of approximately twenty-five feet O.D.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",7.62,7.62,7.62,7.62
c9689550b165c51a595090a337b3a2e99d46fdaac5cda3f15d006213e7828de0,whittow1960,sea_level_indicator,Porth Neigwl (Hell's Mouth),llm_feature_3,52.9487856,-3.7601273,inferred_text,10000.0,0.91,HWM,other,raised_beach,llm-extracted candidate,null,"""post-glacial""",other,An unrecorded raised beach deposit (conglomerate) formed at the foot of a boulder clay cliff.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'North Wales'.,"{""page"": ""36-37"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""It is about thirty feet in length, four feet in thickness, and its base is some three feet above high-water mark.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""post-glacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0.91,0.91,0.91,0.91
84120dbeb25d99c176c7e4bd7fce3c7245189a574cfcd643d15cd3f245cf95f6,whittow1960,sea_level_indicator,Porth Neigwl,llm_feature_4,52.8122305,-4.5600298,inferred_text,10000.0,-5.0,MSL,SRTM15+V2,marine_shell_bed,llm-extracted candidate,null,"""post-glacial""",other,"Molluscan fauna including Littorina littorea, Littorina littoralis, and Nucella lapillus.",Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Porth Neigwl'.,"{""page"": ""37"", ""figure"": null, ""table"": ""TABLE I"", ""section"": null, ""quote_or_paraphrase"": ""analysis of its fossil content indicates that the conglomerate is more likely to be of post-glacial age""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -5.0, ""applied_correction_m"": null, ""derived_elevation_m"": -5.0, ""derived_depth_m"": 5.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""post-glacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-5,-5,-5,-5
8f7082dfa6081401d82110c09dada2e9b470a62f31752bd746d9e4b7d9e7ac03,whittow1960,sea_level_indicator,Pre-Drift Raised Beach Platform (General),llm_feature_5,52.9487856,-3.7601273,inferred_text,10000.0,3.04,HWM,other,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,General marine abrasion platform recorded between Bardsey Island and Nevin.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'North Wales'.,"{""page"": ""31"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""ON the western coast of the Lleyn peninsula... a marine abrasion platform occurs at an average elevation of ten feet above H.W.M.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.04,3.04,3.04,3.04
5ff90c180aa32c11d936b48f3139f3fe3291e14c2f3641e5dadbe40f8441c56d,whittow1960,sea_level_indicator,Bardsey Island,llm_feature_6,52.9487856,-3.7601273,inferred_text,10000.0,475.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,"Low level bench west of Mynydd Enlli, likely drift overlying the raised beach platform.",Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'North Wales'.,"{""page"": ""32"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""The southernmost example of the raised rock platform in Lleyn occurs on Bardsey Island, where the low level bench west of Mynydd Enlli seems to be a composite feature""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 475.0, ""applied_correction_m"": null, ""derived_elevation_m"": 475.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",475,475,475,475
88f4c67a6af354e9eb8e9f059b41f45eaa2b8c86d627192f8e1956cd1f9f899e,whittow1960,sea_level_indicator,Ynys Gwylan,llm_feature_7,52.8006243,-4.7111752,inferred_text,10000.0,3.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,"Platform exhibited on Ynys Gwylan Fawr, covered by drift.",Aberdaron Bay,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Aberdaron Bay'.,"{""page"": ""32"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""The platform is also exhibited on one of the Ynys Gwylan (Gull Islands) in Aberdaron Bay. It is covered by a remnant of drift on Ynys Gwylan Fawr""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 3.0, ""applied_correction_m"": null, ""derived_elevation_m"": 3.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3,3,3,3
477115aff2f3b1c0838aa7ea8a95252873342c80b046d9f9b1329b9f146b46e3,whittow1960,sea_level_indicator,Creigiau Gwineu,llm_feature_8,52.8122305,-4.5600298,inferred_text,10000.0,-5.0,MSL,SRTM15+V2,marine_shell_bed,llm-extracted candidate,null,"""post-glacial""",other,Crag where the raised beach conglomerate was discovered.,Porth Neigwl,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Porth Neigwl'.,"{""page"": ""36"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""it was at the foot of the latter crag that a conglomerate was discovered which bore every resemblance to a raised beach deposit.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -5.0, ""applied_correction_m"": null, ""derived_elevation_m"": -5.0, ""derived_depth_m"": 5.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""post-glacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-5,-5,-5,-5
1026d9ded269820983aede438cb074a7e0ad703964de1e46d0b783a9bf6e5411,whittow1960,sea_level_indicator,Porth Colmon,llm_feature_9,52.875953,-4.6833004,inferred_text,10000.0,-1.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,Locality with the 'finest example' of the platform in the Lleyn peninsula.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Porth Colmon'.,"{""page"": ""32"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""and at Porth Colmon can be found the finest example in the Lleyn peninsula.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": -1.0, ""applied_correction_m"": null, ""derived_elevation_m"": -1.0, ""derived_depth_m"": 1.0, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-1,-1,-1,-1
68026f487bba7d266b7e6c63d0296086762d87ecc9dbf55b6e1e6070931cd4eb,whittow1960,sea_level_indicator,Porth Ysgaden,llm_feature_10,52.9048141,-4.6491507,inferred_text,10000.0,9.0,MSL,SRTM15+V2,marine_terrace,llm-extracted candidate,null,"""pre-glacial or interglacial""",other,Fragmented state of the platform.,Lleyn Peninsula,"Whittow, 1960",,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Porth Ysgaden'.,"{""page"": ""32"", ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""The platform appears to be present in a fragmented state at Porth Ysgaden""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 9.0, ""applied_correction_m"": null, ""derived_elevation_m"": 9.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""pre-glacial or interglacial"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",9,9,9,9
