id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
874e8684d969c9c049900f64f583d9e6c1b7d624ee7b5c2db9505fe9d7d1748d,woodroffe1981,sea_level_indicator,Harney River,T-1,25.4303741,-81.0912878,inferred_text,10000.0,3.8,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.08,Radiocarbon,Mangrove peat sample.,Florida,"Spackman et al., 1966*",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Florida, Harney River'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""4 | T-1 | Florida | Harney River | 3.8 | 4080 \u00b1 180 | Spackman et al., 1966*""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.08, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.8,3.8,3.8,3.8
12ea925fc45850c98540568679352682056681e6924f1ca65df66aab64dfdd3c,woodroffe1981,sea_level_indicator,Harney River,T-6,25.4303741,-81.0912878,inferred_text,10000.0,3.8,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.42,Radiocarbon,Mangrove peat sample.,Florida,"Spackman et al., 1966*",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Florida, Harney River'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""5 | T-6 | Florida | Harney River | 3.8 | 4420 \u00b1 200 | Spackman et al., 1966*""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.42, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.8,3.8,3.8,3.8
68539556f4079b9d1320a8e3ae55359abe626f657e61f6206b4e2d584009443e,woodroffe1981,sea_level_indicator,Lake Ingraham,1-3439,25.1616844,-81.1163393,inferred_text,10000.0,3.16,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.95,Radiocarbon,Mangrove peat sample.,Florida,"Smith, 1968",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Florida, Lake Ingraham'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""16 | 1-3439 | Florida | Lake Ingraham | 3.16 | 4950 \u00b1 120 | Smith, 1968""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.95, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.16,3.16,3.16,3.16
856fc679f516fa5cb73cca9b8e5c5d85be0f325734c406180ce444f3f43f39dd,woodroffe1981,sea_level_indicator,Bimini Islands,L-366B,25.7488006,-79.257438,inferred_text,10000.0,3.0,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.37,Radiocarbon,Mangrove peat sample.,Bahamas,"Broecker and Kulp, 1957",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Bahamas, Bimini Islands'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""28 | L-366B | Bahamas | Bimini Islands | 3.0 | 4370 \u00b1 110 | Broecker and Kulp, 1957""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.37, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3,3,3,3
47ccf3a1f289b795053c395316a879baa1512ff3e9499fec1e12d63860adc4ad,woodroffe1981,sea_level_indicator,Ambergris Cay,465,25.6655547,-77.8345081,inferred_text,10000.0,1.27,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,4.7,Radiocarbon,Mangrove peat sample.,Belize,"Ebanks, 1967",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Ambergris Cay'.,"{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""31 | 465 | Belize | Ambergris Cay | 1.27 | 4700 \u00b1 240 | Ebanks, 1967""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.7, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.27,1.27,1.27,1.27
8d6103154f1649bb227f456e68b214360d46316bc848e8ac143d088228635401,woodroffe1981,sea_level_indicator,Ten Thousand Is.,62-260d,25.8680693,-81.6861113,inferred_text,10000.0,1.43,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,3.344,Radiocarbon,Mangrove peat sample.,Florida,"Scholl and Stuiver, 1967a",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Ten Thousand Is'.,"{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""11 | 62-260d | Florida | Ten Thousand Is. | 1.43 | 3344 \u00b1 245 | Scholl and Stuiver, 1967a""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 3.344, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.43,1.43,1.43,1.43
516e0a114a690fce305e93bf3cc435ee8b0a35b72d54e6cf080657b0636fea35,woodroffe1981,sea_level_indicator,Roberts River,Y-1564,-37.1861992,139.9955285,inferred_text,5000.0,0.91,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,1.62,Radiocarbon,Mangrove peat sample.,Florida,"Scholl and Stuiver, 1967a",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Robe, South Australia'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""7 | Y-1564 | Florida | Roberts River | 0.91 | 1620 \u00b1 60 | Scholl and Stuiver, 1967a""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.62, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0.91,0.91,0.91,0.91
9be2d529b6b4f176a9e0755267a1f9b1c1010fc805efb88891b8c45fb9062649,woodroffe1981,sea_level_indicator,Florida Bay,mineru_llm_2_8,25.0004073,-80.7497882,inferred_text,10000.0,0.6,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,0.9,Radiocarbon,Mangrove peat sample.,Florida,"Stockman et al., 1967",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,"Optional Ollama interpretation output. Geocoded from contextual query 'Florida, Florida Bay'.","{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""17 | \u2014 | Florida | Florida Bay | 0.60 | c. 900 | Stockman et al., 1967""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 0.9, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",0.6,0.6,0.6,0.6
55d1b2461520b8458c2b0e7be8d85bb4a1b01e8628786598c212d9c54a580155,woodroffe1981,sea_level_indicator,Rodriguez Bank,mineru_llm_2_9,27.7567667,-81.4639835,inferred_text,10000.0,1.5,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,2.3,Radiocarbon,Mangrove peat sample.,Florida,"Stockman et al., 1967",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Florida'.,"{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""18 | \u2014 | Florida | Rodriguez Bank | 1.5 | c. 2300 | Stockman et al., 1967""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 2.3, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",1.5,1.5,1.5,1.5
99cfd2f01a753cfe595a4872610b42e1503a52e973367d956addec39b1fa101e,woodroffe1981,sea_level_indicator,Rodriguez Bank,mineru_llm_2_10,27.7567667,-81.4639835,inferred_text,10000.0,3.5,MSL,reported,mangrove_peat_or_mud,llm-extracted candidate,null,5.3,Radiocarbon,Mangrove peat sample.,Florida,"Stockman et al., 1967",https://doi.org/10.1016/0025-3227(81)90085-2,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'Florida'.,"{""page"": ""20"", ""figure"": null, ""table"": ""TABLE II"", ""section"": null, ""quote_or_paraphrase"": ""19 | \u2014 | Florida | Rodriguez Bank | 3.5 | c. 5300 | Stockman et al., 1967""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.3, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3.5,3.5,3.5,3.5
