id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
98213d5183da4ac59b459cff3a2d1b075f9386da7cccf66171a628f166bf8b3a,yanko-hombach2014,sea_level_indicator,Core 342,OZL582,,,inferred_map,,null,unknown,reported,marine_shell_bed,Cardium edule valve,null,9.14,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Cardium edule valve | 9140 \u00b1 60 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.14, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
95e80bc55a1556aff8e0a1fbf5f7e57e005050b48bc236cc3997cad08d5fc847,yanko-hombach2014,sea_level_indicator,Core 342,OZM332,,,inferred_map,,null,unknown,reported,marine_shell_bed,Mytilus (A) single valve,null,5.77,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Mytilus (A) single valve | 5765 \u00b1 30 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.77, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
8520c5663091d2c1421f72d5f69ea782cca50dc7d40cb7e482fdb40d99cef8ef,yanko-hombach2014,sea_level_indicator,Core 342,OZM333,,,inferred_map,,null,unknown,reported,marine_shell_bed,Mytilus (B) single valve,null,4.37,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Mytilus (B) single valve | 4365 \u00b1 30 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 4.37, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
a7bf6e19b8c853e86d6772026260145ebcb691d722ba69ff53d3c89b8e864d91,yanko-hombach2014,sea_level_indicator,Core 342,OZL579,,,inferred_map,,null,unknown,reported,marine_shell_bed,Dreissena polymorpha single valve,null,9.62,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Dreissena polymorpha single valve | 9620 \u00b1 60 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.62, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
93a5b040e8fc9cbff50863acb534b8a7457385eaa9d5aacc353d5d35e029cace,yanko-hombach2014,sea_level_indicator,Core 342,OZL577,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Peat,null,9.02,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Peat | 9020 \u00b1 70 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.02, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
1ea2be5f195f2c634034c6835039cb00554579133c4af1f2d366dad99e247fec,yanko-hombach2014,sea_level_indicator,Core 342,OZL581,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Peat,null,8.92,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Peat | 8920 \u00b1 70 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.92, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
817eb289253a54e852be59c1b2cc6fe2254c8ca8ec0927fb2e7607e3d354161a,yanko-hombach2014,sea_level_indicator,Core 342,Beta 315422,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Sedge leaf,null,8.54,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Sedge leaf | 8540 \u00b1 40 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.54, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
96979847d9eca18e68eae30a288d67aac181f082cb114a4fd8903c6abbaadbb8,yanko-hombach2014,sea_level_indicator,Core 342,Beta 315423,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Wood,null,8.45,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Wood | 8450 \u00b1 40 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.45, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
a112fe0ec270520b52265ebffdc2eb62aae2fde7508657b629c00d69d2371a33,yanko-hombach2014,sea_level_indicator,Core 342,Beta 318166,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Wood,null,8.89,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Wood | 8890 \u00b1 50 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.89, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
6c96c194089aac9c0ad80e06eee5a462f633b2d89723d45f0b93e09b7ce7c7fd,yanko-hombach2014,sea_level_indicator,Core 342,Beta 318167,,,inferred_map,,null,unknown,reported,marine_over_terrestrial_contact,Wood,null,8.86,Radiocarbon,Holocene marine transgression in the Black Sea: New evidence from the northwestern Black Sea shelf,Core 342,yanko-hombach2014.pdf,https://doi.org/10.1016/j.quaint.2013.07.027,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": ""6"", ""figure"": ""Table 2"", ""table"": ""Table 2 Radiocarbon ages of dated samples reported for Cores 342, B2, 45B, MAR02"", ""section"": null, ""quote_or_paraphrase"": ""Wood | 8860 \u00b1 40 BP""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.86, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
