id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
510ce3c9d5e2f65bcd2b1ea3b8f84ac36b827454bd69b52f1c2cc73d4676549b,zanchetta2011,sea_level_indicator,H3,mineru_llm_1_1,30.9153106,-85.0680132,inferred_text,10000.0,42.0,MSL,SRTM15+V2,raised_beach,beach ridge,null,"""0""",none (modern),active beach,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'H3'.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""H3: active beach.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 42.0, ""applied_correction_m"": null, ""derived_elevation_m"": 42.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""none (modern)"", ""relation"": ""unknown"", ""age_ka"": ""0"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",42,42,42,42
3b192a454066a3f20c97cce5c60ed3a974ef1360e0d447e363b3028b9c5abe23,zanchetta2011,sea_level_indicator,H2,mineru_llm_1_2,37.7764306,35.1884365,inferred_text,10000.0,3508.0,MSL,SRTM15+V2,raised_beach,beach ridge,null,"""Late Holocene""",other,Late Holocene beach ridges,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'H2'.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""H2: Late Holocene""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 3508.0, ""applied_correction_m"": null, ""derived_elevation_m"": 3508.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""Late Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",3508,3508,3508,3508
1f5b37578ca48bbae59ea5d7a14c7679c97bce60fe300af7533dfbee4278b3db,zanchetta2011,sea_level_indicator,H1,mineru_llm_1_3,44.2716129,-79.9123694,inferred_text,10000.0,221.0,MSL,SRTM15+V2,raised_beach,beach ridge,null,"""Middle Holocene""",other,Middle Holocene beach ridges,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'H1'.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""H1: Middle Holocene""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 221.0, ""applied_correction_m"": null, ""derived_elevation_m"": 221.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""Middle Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",221,221,221,221
e9a8c2e4be868435dedd110d798354aa52a462ecd2fd80ae864e0bc1b0e9b07e,zanchetta2011,sea_level_indicator,H0,mineru_llm_1_4,42.2222771,-8.6322861,inferred_text,10000.0,258.0,MSL,SRTM15+V2,raised_beach,beach ridge,null,"""Middle Holocene""",other,Middle Holocene beach ridges,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'H0'.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""H0: Middle Holocene""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 258.0, ""applied_correction_m"": null, ""derived_elevation_m"": 258.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""Middle Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",258,258,258,258
a8f749c652acbe107e797b75350a5e294c1cc6a2fffbc45bf4a59f91a0f0383e,zanchetta2011,sea_level_indicator,T1,mineru_llm_1_5,,,inferred_map,,null,unknown,other,marine_shell_bed,marine deposits,null,"""MIS 5""",other,Upper Pleistocene marine deposits,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""T1 : Upper Pleistocene marine deposits (MIS 5).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""MIS 5"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
9b6a2d5b945e15aa06550373a3420ab48c363ab8f9a306a3d79e2a6c53f3e766,zanchetta2011,sea_level_indicator,T2f,mineru_llm_1_6,,,inferred_map,,null,unknown,other,marine_shell_bed,marine/continental deposits,null,"""Middle Holocene""",other,Terraced unit comprising continental and marine deposits,studied area,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.52,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""T2f: terraced unit comprising continental and marine deposits (Middle Holocene).""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": ""Middle Holocene"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
1584f7ad984c0f0cef636d79e862c59ccd9883ad2e4186b3768e7356419f8004,zanchetta2011,sea_level_indicator,zanchetta2011,LU-5,,,inferred_map,,null,unknown,other,marine_shell_bed,llm-extracted candidate,null,null,other,Detail of the LU-5 shell bed,zanchetta2011,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.37,Section (c) of Figure 4. No contextual geocode result was found.,"{""page"": """", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Detail of the LU-5 shell bed""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
4bd808e4eb56a15eff574255eaabec207374ad1891bb39f4d6d99ec394a97bdc,zanchetta2011,sea_level_indicator,zanchetta2011,T2f,,,inferred_map,,null,unknown,other,marine_terrace,llm-extracted candidate,null,null,other,Internal stratigraphy of the T2f terrace,zanchetta2011,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.37,Part of the stratigraphic sequence. No contextual geocode result was found.,"{""page"": """", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Internal stratigraphy of the T2f terrace""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
70179c24e16f11397124c14be30f0123eb9002b6c0570bef79db55f3609dfb80,zanchetta2011,sea_level_indicator,zanchetta2011,LU-4,,,inferred_map,,null,unknown,other,lagoonal_sediment,llm-extracted candidate,null,null,other,basal lagoonal LU-4 unit,zanchetta2011,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.37,Underlying marine deposits in the T2f terrace context. No contextual geocode result was found.,"{""page"": """", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""basal lagoonal LU-4 unit""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
df1f91b03c41aaf66c4fcd75dcff7af6cc261689254f9b30a402c4fb49b60e99,zanchetta2011,sea_level_indicator,zanchetta2011,H2,,,inferred_map,,null,unknown,other,raised_beach,llm-extracted candidate,null,null,other,View of the H2 beach ridge,zanchetta2011,zanchetta2011.pdf,https://doi.org/10.3301/IJG.2011.20,0.37,Part of the coastal geomorphology. No contextual geocode result was found.,"{""page"": """", ""figure"": ""4"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""View of the H2 beach ridge""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
