id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
60244011f5ba284f413fba181904b1d77b98059d1a933e1522b319b982216e59,zhou2014,sea_level_indicator,ZK3,mineru_llm_4_1,,,inferred_map,,-22.15,BPSL,reported,marine_over_terrestrial_contact,"Peat, salt marsh",null,9.192,Radiocarbon,Subbottom depth: 23.7–23.75 m; Elevation: -22.15 m BPSL; Midpoint: 9192 cal yr BP,ZK3,Unpublished data (Ye Siyuan),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 23.7\u201323.75 m; Elevation: -22.15 m BPSL; Midpoint: 9192 \u00b1 35 cal yr BP; Remark: Peat, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.192, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-22.15,-22.15,-22.15,-22.15
1749fd30f5c08d5f2fd71977bf298418c2ca43e6727d5843f4200eaf5f0f0664,zhou2014,sea_level_indicator,ZK224,mineru_llm_4_2,,,inferred_map,,-21.4,BPSL,reported,marine_over_terrestrial_contact,"Peaty clayed silt, salt marsh",null,8.793,Radiocarbon,Subbottom depth: 22.48–22.65 m; Elevation: -21.4 m BPSL; Midpoint: 8793 ± 188 cal yr BP,ZK224,"Wang and Fan, (2005)",https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 22.48\u201322.65 m; Elevation: -21.4 m BPSL; Midpoint: 8793 \u00b1 188 cal yr BP; Remark: Peaty clayed silt, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.793, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-21.4,-21.4,-21.4,-21.4
77620672fc40cb1e265068aee8af8eb2e4d2910202ea646657d8d9ada63e5fb6,zhou2014,sea_level_indicator,ZK228,mineru_llm_4_3,,,inferred_map,,-17.7,BPSL,reported,marine_over_terrestrial_contact,"Charcoal, salt marsh",null,9.758,Radiocarbon,Subbottom depth: 22.48–22.65 m; Elevation: -17.7 m BPSL; Midpoint: 9758 ± 129 cal yr BP,ZK228,This study,https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 22.48\u201322.65 m; Elevation: -17.7 m BPSL; Midpoint: 9758 \u00b1 129 cal yr BP; Remark: Charcoal, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.758, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-17.7,-17.7,-17.7,-17.7
530dcd452d51e7237fdac01d5c878499c404d677a466e680c68cdd76217fedb1,zhou2014,sea_level_indicator,ZK106,mineru_llm_4_4,,,inferred_map,,-15.3,BPSL,reported,marine_over_terrestrial_contact,"Muddy sediments, salt marsh",null,9.203,Radiocarbon,Subbottom depth: 19.36–19.42 m; Elevation: -15.3 m BPSL; Midpoint: 9203 ± 196 cal yr BP,ZK106,Wang and Fan (2005),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 19.36\u201319.42 m; Elevation: -15.3 m BPSL; Midpoint: 9203 \u00b1 196 cal yr BP; Remark: Muddy sediments, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.203, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-15.3,-15.3,-15.3,-15.3
54777927cd0ffb595834018903c076b853e708cc811f5ab4702b148d78195445,zhou2014,sea_level_indicator,ZK214,mineru_llm_4_5,,,inferred_map,,-13.23,BPSL,reported,marine_over_terrestrial_contact,"Peat, salt marsh",null,8.975,Radiocarbon,Subbottom depth: 15.68–15.90 m; Elevation: -13.23 m BPSL; Midpoint: 8975 ± 299 cal yr BP,ZK214,Wang and Fan (2005),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 15.68\u201315.90 m; Elevation: -13.23 m BPSL; Midpoint: 8975 \u00b1 299 cal yr BP; Remark: Peat, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.975, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-13.23,-13.23,-13.23,-13.23
ea9b50d268625cec3bc483dd2f35093c2a35511fe4ccc7086ab6e6e52a43688d,zhou2014,sea_level_indicator,ZK1,mineru_llm_4_6,52.9093714,18.1412537,inferred_text,10000.0,-14.4,BPSL,reported,marine_over_terrestrial_contact,"Peat, tidal flat",null,8.908,Radiocarbon,Subbottom depth: 19.40 m; Elevation: -14.40 m BPSL; Midpoint: 8908 ± 114 cal yr BP,ZK1,Li et al. (2013),https://doi.org/10.1016/j.csr.2014.06.012,0.85,Optional Ollama interpretation output. Geocoded from contextual query 'ZK1'.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 19.40 m; Elevation: -14.40 m BPSL; Midpoint: 8908 \u00b1 114 cal yr BP; Remark: Peat, tidal flat""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.908, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-14.4,-14.4,-14.4,-14.4
b5894072a73828ca864b05118d8055ce1886e802a75c1324a54521f94b2f143f,zhou2014,sea_level_indicator,TG*,mineru_llm_4_7,,,inferred_map,,-14.4,BPSL,reported,marine_over_terrestrial_contact,Peat,null,7.976,Radiocarbon,Subbottom depth: 16.25–16.55 m; Elevation: -14.4 m BPSL; Midpoint: 7976 ± 180 cal yr BP,TG*,Wang and Fan (2005),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 16.25\u201316.55 m; Elevation: -14.4 m BPSL; Midpoint: 7976 \u00b1 180 cal yr BP; Remark: Peat""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.976, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-14.4,-14.4,-14.4,-14.4
637d3d0f6766ad2ff4533efe6f32b075463fbf5f57ad3fc0f08d69a57e8526e9,zhou2014,sea_level_indicator,YDZ3*,mineru_llm_4_8,,,inferred_map,,-16.94,BPSL,reported,marine_over_terrestrial_contact,"Peat, tidal flat",null,9.583,Radiocarbon,Subbottom depth: 17.94 m; Elevation: -16.94 m BPSL; Midpoint: 9583 ± 33 cal yr BP,YDZ3*,Ren (2012),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 17.94 m; Elevation: -16.94 m BPSL; Midpoint: 9583 \u00b1 33 cal yr BP; Remark: Peat, tidal flat""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 9.583, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-16.94,-16.94,-16.94,-16.94
25f49c12b87fb55231daeb04b187e92d5af7ba5b80e98a576c152014f70a24f7,zhou2014,sea_level_indicator,ZK101,mineru_llm_4_9,,,inferred_map,,-8.77,BPSL,reported,marine_over_terrestrial_contact,"Peat, salt marsh",null,8.354,Radiocarbon,Subbottom depth: 11.45–11.50 m; Elevation: -8.77 m BPSL; Midpoint: 8354 ± 182 cal yr BP,ZK101,Wang and Fan (2005),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 11.45\u201311.50 m; Elevation: -8.77 m BPSL; Midpoint: 8354 \u00b1 182 cal yr BP; Remark: Peat, salt marsh""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.354, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-8.77,-8.77,-8.77,-8.77
e8327fb2f202509e5ddc2238ecdc4b141b87a10858b42b88c72cd02a704e8238,zhou2014,sea_level_indicator,Qing8,mineru_llm_4_10,,,inferred_map,,-8.2,BPSL,reported,marine_over_terrestrial_contact,"Peat, floodplain",null,8.191,Radiocarbon,Subbottom depth: 16.53–16.88 m; Elevation: -8.2 m BPSL; Midpoint: 8191 ± 146 cal yr BP,Qing8,Wu et al. (1982); Chen and Ni (1987),https://doi.org/10.1016/j.csr.2014.06.012,0.55,Optional Ollama interpretation output. No contextual geocode result was found.,"{""page"": """", ""figure"": null, ""table"": ""Table 2 ( continued )"", ""section"": null, ""quote_or_paraphrase"": ""Subbottom depth: 16.53\u201316.88 m; Elevation: -8.2 m BPSL; Midpoint: 8191 \u00b1 146 cal yr BP; Remark: Peat, floodplain""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""Radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 8.191, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",-8.2,-8.2,-8.2,-8.2
